,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,国晟科技,603778,19.2,19.27,19.83,19.02,93354,28473831.0,4.22,0.36,0.07,1.45
239,2025-01-24,国晟科技,603778,18.95,19.2,19.33,18.7,89438,26627488.0,3.34,1.64,0.31,1.39
238,2025-01-23,国晟科技,603778,19.2,18.89,19.45,18.89,75320,22594310.0,2.96,0.0,0.0,1.17
237,2025-01-22,国晟科技,603778,18.89,18.89,19.08,18.64,67860,20043085.0,2.31,-1.0,-0.19,1.06
236,2025-01-21,国晟科技,603778,19.95,19.08,19.95,18.95,110076,33231504.0,5.11,-2.55,-0.5,1.71
235,2025-01-20,国晟科技,603778,19.58,19.58,19.89,19.14,123029,37694860.0,3.87,0.98,0.19,1.91
234,2025-01-17,国晟科技,603778,19.77,19.39,19.77,19.27,76766,23286132.0,2.54,-1.57,-0.31,1.19
233,2025-01-16,国晟科技,603778,19.45,19.7,19.83,19.27,89797,27517693.0,2.88,1.29,0.25,1.4
232,2025-01-15,国晟科技,603778,19.39,19.45,19.89,18.89,118722,35954996.0,5.19,0.93,0.18,1.85
231,2025-01-14,国晟科技,603778,18.33,19.27,19.27,18.33,92940,27358361.0,5.16,5.88,1.07,1.45
230,2025-01-13,国晟科技,603778,18.14,18.2,18.27,17.64,53019,14913024.0,3.46,0.0,0.0,0.82
229,2025-01-10,国晟科技,603778,19.08,18.2,19.08,18.2,73719,21347613.0,4.64,-3.96,-0.75,1.15
228,2025-01-09,国晟科技,603778,18.77,18.95,19.2,18.64,70330,20865731.0,2.96,0.32,0.06,1.09
227,2025-01-08,国晟科技,603778,18.77,18.89,19.08,18.27,97212,28449903.0,4.3,0.32,0.06,1.51
226,2025-01-07,国晟科技,603778,18.27,18.83,18.83,18.2,95619,27566484.0,3.45,3.07,0.56,1.49
225,2025-01-06,国晟科技,603778,18.58,18.27,18.64,17.89,93266,26584243.0,4.04,-1.67,-0.31,1.45
