,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,志邦家居,603801,38.6,39.25,39.34,38.49,42720,48321177.0,2.2,1.55,0.6,0.98
240,2025-01-23,志邦家居,603801,38.73,38.65,39.28,38.49,55520,62618255.0,2.05,0.49,0.19,1.28
239,2025-01-22,志邦家居,603801,39.75,38.46,40.0,38.35,101637,114187903.0,4.11,-4.16,-1.67,2.34
238,2025-01-21,志邦家居,603801,40.16,40.13,40.71,39.56,62367,73128061.0,2.89,0.68,0.27,1.44
237,2025-01-20,志邦家居,603801,39.47,39.86,40.19,39.39,46740,54304428.0,2.03,1.27,0.5,1.08
236,2025-01-17,志邦家居,603801,39.58,39.36,39.91,38.71,43738,49940835.0,3.03,-0.63,-0.25,1.01
235,2025-01-16,志邦家居,603801,39.47,39.61,40.19,39.25,41659,48192573.0,2.39,0.69,0.27,0.96
234,2025-01-15,志邦家居,603801,39.61,39.34,40.11,39.09,57580,66105954.0,2.57,-0.83,-0.33,1.33
233,2025-01-14,志邦家居,603801,39.09,39.67,39.67,38.71,70763,80393194.0,2.46,1.77,0.69,1.63
232,2025-01-13,志邦家居,603801,38.29,38.98,38.98,37.75,50528,56474769.0,3.21,1.72,0.66,1.16
231,2025-01-10,志邦家居,603801,39.97,38.32,40.08,38.29,57387,64771207.0,4.48,-4.13,-1.65,1.32
230,2025-01-09,志邦家居,603801,39.97,39.97,40.13,39.58,27581,32094456.0,1.37,-0.35,-0.14,0.63
229,2025-01-08,志邦家居,603801,40.54,40.11,40.68,39.53,44960,52466424.0,2.83,-1.4,-0.57,1.04
228,2025-01-07,志邦家居,603801,40.21,40.68,41.23,40.21,31262,37349325.0,2.51,0.12,0.05,0.72
227,2025-01-06,志邦家居,603801,40.49,40.63,41.39,39.78,58912,70123468.0,4.0,0.89,0.36,1.36
226,2025-01-03,志邦家居,603801,42.68,40.27,42.79,39.91,92505,111686574.0,6.77,-5.36,-2.28,2.13
225,2025-01-02,志邦家居,603801,43.12,42.55,43.86,42.11,54638,69941826.0,4.06,-1.32,-0.57,1.26
224,2024-12-31,志邦家居,603801,43.34,43.12,44.0,43.04,38022,49205639.0,2.22,-0.51,-0.22,0.88
223,2024-12-30,志邦家居,603801,44.14,43.34,44.22,43.29,35287,46040375.0,2.11,-1.81,-0.8,0.81
222,2024-12-27,志邦家居,603801,43.84,44.14,44.61,43.56,36872,48712058.0,2.39,0.64,0.28,0.85
221,2024-12-26,志邦家居,603801,43.75,43.86,44.14,43.4,34158,44617994.0,1.69,0.05,0.02,0.79
220,2024-12-25,志邦家居,603801,44.41,43.84,44.55,43.29,42000,54917132.0,2.85,-0.99,-0.44,0.97
219,2024-12-24,志邦家居,603801,43.04,44.28,44.41,43.04,62603,82082280.0,3.19,2.95,1.27,1.44
218,2024-12-23,志邦家居,603801,43.37,43.01,43.84,42.93,40819,52673435.0,2.1,-0.97,-0.42,0.94
217,2024-12-20,志邦家居,603801,43.51,43.43,43.64,43.1,35023,45264231.0,1.24,-0.11,-0.05,0.81
216,2024-12-19,志邦家居,603801,43.62,43.48,43.75,42.55,56279,72012595.0,2.72,-1.56,-0.69,1.3
215,2024-12-18,志邦家居,603801,44.36,44.17,44.58,43.73,46145,60969924.0,1.92,-0.18,-0.08,1.06
214,2024-12-17,志邦家居,603801,45.02,44.25,45.26,43.84,70178,93436911.0,3.15,-1.88,-0.85,1.62
213,2024-12-16,志邦家居,603801,46.17,45.1,46.39,44.74,92920,126116902.0,3.54,-3.18,-1.48,2.14
212,2024-12-13,志邦家居,603801,49.41,46.58,49.54,46.11,145648,207055934.0,6.9,-6.24,-3.1,3.35
211,2024-12-12,志邦家居,603801,47.43,49.68,50.31,46.97,117730,175842638.0,7.04,4.74,2.25,2.71
210,2024-12-11,志邦家居,603801,46.55,47.43,48.8,46.53,63019,91684983.0,4.88,1.89,0.88,1.45
209,2024-12-10,志邦家居,603801,48.2,46.55,49.46,46.44,110213,161257718.0,6.53,0.65,0.3,2.54
208,2024-12-09,志邦家居,603801,46.47,46.25,47.05,45.84,39010,54475194.0,2.59,-0.84,-0.39,0.9
207,2024-12-06,志邦家居,603801,45.89,46.64,47.13,45.57,47999,67553550.0,3.39,1.44,0.66,1.11
206,2024-12-05,志邦家居,603801,46.61,45.98,46.61,45.02,67854,93240106.0,3.41,-1.46,-0.68,1.56
205,2024-12-04,志邦家居,603801,47.35,46.66,48.36,46.39,52200,74425389.0,4.14,-1.85,-0.88,1.2
204,2024-12-03,志邦家居,603801,47.62,47.54,48.04,46.25,54654,77995929.0,3.76,-0.23,-0.11,1.26
