,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,海峡环保,603817,6.09,6.09,6.1,6.0,40366,22481710.0,1.65,0.5,0.03,0.76
240,2025-01-23,海峡环保,603817,6.03,6.06,6.14,6.03,41240,23101515.0,1.84,1.17,0.07,0.77
239,2025-01-22,海峡环保,603817,6.0,5.99,6.05,5.97,26501,14636093.0,1.33,-0.5,-0.03,0.5
238,2025-01-21,海峡环保,603817,6.11,6.02,6.13,5.99,37408,20784173.0,2.3,-1.15,-0.07,0.7
237,2025-01-20,海峡环保,603817,6.0,6.09,6.13,5.94,45973,25660116.0,3.17,1.67,0.1,0.86
236,2025-01-17,海峡环保,603817,5.98,5.99,6.01,5.93,23048,12672775.0,1.34,0.34,0.02,0.43
235,2025-01-16,海峡环保,603817,5.89,5.97,6.0,5.89,38460,21067012.0,1.86,1.19,0.07,0.72
234,2025-01-15,海峡环保,603817,5.88,5.9,5.93,5.86,35230,19061505.0,1.19,0.17,0.01,0.66
233,2025-01-14,海峡环保,603817,5.79,5.89,5.9,5.78,52585,28208039.0,2.08,2.08,0.12,0.98
232,2025-01-13,海峡环保,603817,5.68,5.77,5.79,5.6,36462,19110291.0,3.33,1.05,0.06,0.68
231,2025-01-10,海峡环保,603817,5.82,5.71,5.84,5.7,35109,18556599.0,2.41,-1.89,-0.11,0.66
230,2025-01-09,海峡环保,603817,5.82,5.82,5.84,5.75,30834,16461875.0,1.55,0.0,0.0,0.58
229,2025-01-08,海峡环保,603817,5.81,5.82,5.85,5.67,42520,22497908.0,3.09,-0.17,-0.01,0.8
228,2025-01-07,海峡环保,603817,5.78,5.83,5.85,5.73,41389,21997225.0,2.07,0.69,0.04,0.77
227,2025-01-06,海峡环保,603817,5.74,5.79,5.85,5.58,57853,30453307.0,4.69,0.52,0.03,1.08
226,2025-01-03,海峡环保,603817,5.99,5.76,6.04,5.74,70389,37908653.0,5.01,-3.84,-0.23,1.32
225,2025-01-02,海峡环保,603817,6.02,5.99,6.15,5.93,56581,31519107.0,3.63,-1.16,-0.07,1.06
224,2024-12-31,海峡环保,603817,6.14,6.06,6.23,6.04,49667,28069099.0,3.09,-1.3,-0.08,0.93
223,2024-12-30,海峡环保,603817,6.18,6.14,6.18,6.04,46553,26206596.0,2.26,-0.81,-0.05,0.87
222,2024-12-27,海峡环保,603817,6.06,6.19,6.23,6.04,55931,31806199.0,3.14,2.15,0.13,1.05
221,2024-12-26,海峡环保,603817,6.03,6.06,6.13,6.03,44485,24961083.0,1.65,0.0,0.0,0.83
220,2024-12-25,海峡环保,603817,6.13,6.06,6.14,5.96,61857,34344943.0,2.94,-1.14,-0.07,1.16
219,2024-12-24,海峡环保,603817,6.11,6.13,6.18,6.04,50396,28354494.0,2.29,0.33,0.02,0.94
218,2024-12-23,海峡环保,603817,6.41,6.11,6.43,6.08,74591,42676547.0,5.49,-4.08,-0.26,1.4
217,2024-12-20,海峡环保,603817,6.36,6.37,6.42,6.33,42036,24772152.0,1.42,0.63,0.04,0.79
216,2024-12-19,海峡环保,603817,6.31,6.33,6.37,6.24,66529,38699207.0,2.04,-0.47,-0.03,1.25
215,2024-12-18,海峡环保,603817,6.43,6.36,6.48,6.29,81168,47971371.0,2.98,-0.31,-0.02,1.52
214,2024-12-17,海峡环保,603817,6.73,6.38,6.76,6.36,131441,79135266.0,5.93,-5.48,-0.37,2.46
213,2024-12-16,海峡环保,603817,6.68,6.75,6.79,6.65,97811,61183125.0,2.11,1.5,0.1,1.83
212,2024-12-13,海峡环保,603817,6.75,6.65,6.79,6.63,76445,47650121.0,2.37,-1.63,-0.11,1.43
211,2024-12-12,海峡环保,603817,6.69,6.76,6.77,6.65,72384,45262744.0,1.79,1.05,0.07,1.35
210,2024-12-11,海峡环保,603817,6.62,6.69,6.72,6.59,66103,40910538.0,1.96,1.06,0.07,1.24
209,2024-12-10,海峡环保,603817,6.78,6.62,6.82,6.62,89739,55633773.0,2.99,-0.9,-0.06,1.68
208,2024-12-09,海峡环保,603817,6.85,6.68,6.94,6.62,101775,63713895.0,4.73,-1.33,-0.09,1.9
207,2024-12-06,海峡环保,603817,6.57,6.77,6.83,6.54,125593,78311021.0,4.41,3.04,0.2,2.35
206,2024-12-05,海峡环保,603817,6.58,6.57,6.69,6.51,76729,46714993.0,2.74,-0.15,-0.01,1.44
205,2024-12-04,海峡环保,603817,6.63,6.58,6.77,6.56,119465,73934449.0,3.18,-0.3,-0.02,2.24
204,2024-12-03,海峡环保,603817,6.5,6.6,6.72,6.45,106732,64909410.0,4.16,1.69,0.11,2.0
203,2024-12-02,海峡环保,603817,6.44,6.49,6.51,6.41,79954,47865173.0,1.56,0.93,0.06,1.5
202,2024-11-29,海峡环保,603817,6.5,6.43,6.54,6.37,85846,51206090.0,2.64,-0.16,-0.01,1.61
201,2024-11-28,海峡环保,603817,6.33,6.44,6.51,6.33,100414,59880151.0,2.84,1.58,0.1,1.88
200,2024-11-27,海峡环保,603817,6.37,6.34,6.39,6.18,109557,63469066.0,3.29,-0.78,-0.05,2.05
199,2024-11-26,海峡环保,603817,6.3,6.39,6.62,6.3,157278,93777092.0,5.08,1.43,0.09,2.94
198,2024-11-25,海峡环保,603817,6.21,6.3,6.33,6.18,73115,42276712.0,2.41,1.29,0.08,1.37
197,2024-11-22,海峡环保,603817,6.31,6.22,6.42,6.19,87830,51369768.0,3.63,-1.74,-0.11,1.64
196,2024-11-21,海峡环保,603817,6.31,6.33,6.36,6.26,78244,45637605.0,1.58,0.32,0.02,1.46
195,2024-11-20,海峡环保,603817,6.26,6.31,6.32,6.21,69111,40031010.0,1.76,0.8,0.05,1.29
