,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,桃李面包,603866,27.91,27.94,28.04,27.81,160852,93861158.0,0.82,0.0,0.0,1.01
240,2025-01-23,桃李面包,603866,28.07,27.94,28.3,27.94,171992,101356853.0,1.29,0.47,0.13,1.08
239,2025-01-22,桃李面包,603866,28.24,27.81,28.24,27.74,155817,90693776.0,1.77,-1.73,-0.49,0.97
238,2025-01-21,桃李面包,603866,28.57,28.3,28.6,28.14,143655,85275234.0,1.62,-0.49,-0.14,0.9
237,2025-01-20,桃李面包,603866,28.57,28.44,28.76,28.37,131209,78916258.0,1.37,0.0,0.0,0.82
236,2025-01-17,桃李面包,603866,28.4,28.44,28.6,28.14,172859,103181731.0,1.61,-0.21,-0.06,1.08
235,2025-01-16,桃李面包,603866,28.27,28.5,28.73,28.24,212178,127563039.0,1.74,1.06,0.3,1.33
234,2025-01-15,桃李面包,603866,28.44,28.2,28.53,28.11,162877,96786869.0,1.48,-0.6,-0.17,1.02
233,2025-01-14,桃李面包,603866,27.71,28.37,28.44,27.71,232149,137255969.0,2.64,2.49,0.69,1.45
232,2025-01-13,桃李面包,603866,27.35,27.68,27.74,27.12,215451,122849479.0,2.24,0.11,0.03,1.35
231,2025-01-10,桃李面包,603866,28.63,27.65,28.73,27.61,260471,153388066.0,3.91,-3.42,-0.98,1.63
230,2025-01-09,桃李面包,603866,28.73,28.63,28.96,28.5,186460,113089013.0,1.59,-0.8,-0.23,1.17
229,2025-01-08,桃李面包,603866,28.76,28.86,29.0,28.24,230938,139710940.0,2.64,0.1,0.03,1.44
228,2025-01-07,桃李面包,603866,28.7,28.83,28.86,28.47,203873,123529768.0,1.36,0.45,0.13,1.27
227,2025-01-06,桃李面包,603866,29.0,28.7,29.16,28.44,274039,167042614.0,2.48,-1.24,-0.36,1.71
226,2025-01-03,桃李面包,603866,31.04,29.06,31.14,29.0,568753,363132381.0,6.93,-5.95,-1.84,3.56
225,2025-01-02,桃李面包,603866,30.44,30.9,31.7,30.44,469159,320143389.0,4.14,1.51,0.46,2.93
224,2024-12-31,桃李面包,603866,31.14,30.44,31.46,30.44,307996,207086417.0,3.28,-2.25,-0.7,1.93
223,2024-12-30,桃李面包,603866,31.2,31.14,31.6,30.84,312540,213536066.0,2.42,-0.83,-0.26,1.95
222,2024-12-27,桃李面包,603866,32.02,31.4,32.09,31.37,362010,252442091.0,2.24,-2.45,-0.79,2.26
221,2024-12-26,桃李面包,603866,32.09,32.19,32.39,31.79,362544,257501280.0,1.87,0.31,0.1,2.27
220,2024-12-25,桃李面包,603866,31.6,32.09,32.35,31.1,440052,308660052.0,3.94,1.04,0.33,2.75
219,2024-12-24,桃李面包,603866,31.23,31.76,31.89,31.14,343104,238127939.0,2.4,1.47,0.46,2.14
218,2024-12-23,桃李面包,603866,31.93,31.3,32.45,31.2,335284,233648147.0,3.93,-1.67,-0.53,2.1
217,2024-12-20,桃李面包,603866,31.99,31.83,32.35,31.63,406165,287502817.0,2.27,0.22,0.07,2.54
216,2024-12-19,桃李面包,603866,31.5,31.76,31.86,31.07,441945,305340950.0,2.48,-0.22,-0.07,2.76
215,2024-12-18,桃李面包,603866,32.09,31.83,32.35,31.7,447038,315789782.0,2.02,-0.9,-0.29,2.79
214,2024-12-17,桃李面包,603866,33.51,32.12,33.61,31.96,778099,560674901.0,4.83,-5.97,-2.04,4.86
213,2024-12-16,桃李面包,603866,33.57,34.16,35.65,33.01,1233718,952568858.0,7.86,1.76,0.59,7.71
212,2024-12-13,桃李面包,603866,34.89,33.57,35.61,33.54,1278664,993799875.0,5.93,-3.78,-1.32,7.99
211,2024-12-12,桃李面包,603866,33.08,34.89,34.89,32.85,1511241,1150491799.0,6.27,7.29,2.37,9.45
210,2024-12-11,桃李面包,603866,30.64,32.52,32.52,30.35,805592,570375973.0,7.15,7.15,2.17,5.04
209,2024-12-10,桃李面包,603866,30.11,30.35,31.17,30.08,644181,428800433.0,3.7,2.92,0.86,4.03
208,2024-12-09,桃李面包,603866,29.85,29.49,30.18,29.39,268064,170893366.0,2.64,-1.54,-0.46,1.68
207,2024-12-06,桃李面包,603866,30.05,29.95,30.18,29.72,252002,162398617.0,1.53,-0.53,-0.16,1.58
206,2024-12-05,桃李面包,603866,30.31,30.11,30.44,29.88,202597,131524134.0,1.84,-1.21,-0.37,1.27
205,2024-12-04,桃李面包,603866,30.05,30.48,30.84,29.82,346918,229888754.0,3.38,0.89,0.27,2.17
204,2024-12-03,桃李面包,603866,30.11,30.21,30.31,29.65,229942,148641160.0,2.19,0.1,0.03,1.44
203,2024-12-02,桃李面包,603866,29.98,30.18,30.61,29.69,293011,191595008.0,3.08,1.0,0.3,1.83
202,2024-11-29,桃李面包,603866,28.8,29.88,30.05,28.76,302309,191609035.0,4.47,3.64,1.05,1.89
201,2024-11-28,桃李面包,603866,28.53,28.83,29.09,28.5,168712,102953699.0,2.06,0.7,0.2,1.05
200,2024-11-27,桃李面包,603866,28.5,28.63,28.67,28.04,177918,106020747.0,2.21,0.21,0.06,1.11
199,2024-11-26,桃李面包,603866,28.73,28.57,28.86,28.47,122398,74159799.0,1.36,-0.56,-0.16,0.77
198,2024-11-25,桃李面包,603866,28.63,28.73,28.93,28.5,104555,63495857.0,1.5,0.35,0.1,0.65
197,2024-11-22,桃李面包,603866,29.46,28.63,29.55,28.57,153002,94196457.0,3.32,-3.01,-0.89,0.96
196,2024-11-21,桃李面包,603866,29.62,29.52,29.75,29.29,103522,65340961.0,1.55,-0.34,-0.1,0.65
195,2024-11-20,桃李面包,603866,29.59,29.62,29.75,29.39,104088,65916214.0,1.21,-0.1,-0.03,0.65
194,2024-11-19,桃李面包,603866,29.26,29.65,29.75,29.23,119802,75792639.0,1.78,1.33,0.39,0.75
193,2024-11-18,桃李面包,603866,29.82,29.26,30.11,29.13,157659,100085218.0,3.28,-1.98,-0.59,0.99
192,2024-11-15,桃李面包,603866,29.82,29.85,30.31,29.75,122211,79133644.0,1.88,0.0,0.0,0.76
191,2024-11-14,桃李面包,603866,30.15,29.85,30.25,29.79,117397,76031206.0,1.52,-1.42,-0.43,0.73
190,2024-11-13,桃李面包,603866,30.18,30.28,30.38,29.82,185820,120794974.0,1.85,-0.1,-0.03,1.16
189,2024-11-12,桃李面包,603866,30.51,30.31,30.84,30.15,196157,130218886.0,2.26,-0.56,-0.17,1.23
188,2024-11-11,桃李面包,603866,30.28,30.48,30.48,30.05,211232,138232631.0,1.41,-0.33,-0.1,1.32
187,2024-11-08,桃李面包,603866,31.14,30.58,31.3,30.25,282435,187521976.0,3.41,-0.62,-0.19,1.77
186,2024-11-07,桃李面包,603866,29.19,30.77,31.0,29.09,382955,252473784.0,6.51,4.8,1.41,2.39
185,2024-11-06,桃李面包,603866,29.46,29.36,29.79,29.23,171932,108384754.0,1.9,-0.2,-0.06,1.07
