,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,奥锐特,605116,20.79,20.72,21.05,20.63,8946,18041612.0,2.02,-0.29,-0.06,0.23
239,2025-01-24,奥锐特,605116,20.93,20.78,20.98,20.77,11706,23672367.0,1.01,-0.34,-0.07,0.29
238,2025-01-23,奥锐特,605116,21.23,20.85,21.34,20.84,13785,28194608.0,2.36,-1.65,-0.35,0.35
237,2025-01-22,奥锐特,605116,21.01,21.2,21.55,20.87,22294,45918080.0,3.27,1.87,0.39,0.56
236,2025-01-21,奥锐特,605116,20.98,20.81,21.19,20.66,9185,18540380.0,2.53,-0.53,-0.11,0.23
235,2025-01-20,奥锐特,605116,21.01,20.92,21.35,20.83,17722,36305515.0,2.49,0.19,0.04,0.45
234,2025-01-17,奥锐特,605116,20.13,20.88,21.08,20.13,27040,54335389.0,4.68,2.76,0.56,0.68
233,2025-01-16,奥锐特,605116,20.36,20.32,20.77,20.13,25651,50761074.0,3.17,0.79,0.16,0.65
232,2025-01-15,奥锐特,605116,20.23,20.16,20.32,19.89,25425,49332800.0,2.13,-0.35,-0.07,0.64
231,2025-01-14,奥锐特,605116,20.44,20.23,20.98,20.11,52708,104542936.0,4.25,-1.22,-0.25,1.33
230,2025-01-13,奥锐特,605116,19.64,20.48,20.58,19.53,24515,47933542.0,5.33,3.91,0.77,0.62
229,2025-01-10,奥锐特,605116,19.78,19.71,19.92,19.52,14604,27926430.0,2.03,-0.15,-0.03,0.37
228,2025-01-09,奥锐特,605116,20.03,19.74,20.16,19.61,20245,38856577.0,2.73,-2.08,-0.42,0.51
227,2025-01-08,奥锐特,605116,20.57,20.16,20.71,19.88,22539,44101189.0,4.02,-2.37,-0.49,0.57
226,2025-01-07,奥锐特,605116,21.03,20.65,21.3,20.39,21724,43468064.0,4.3,-2.46,-0.52,0.55
225,2025-01-06,奥锐特,605116,20.88,21.17,21.48,20.88,14404,29603011.0,2.87,1.15,0.24,0.36
224,2025-01-03,奥锐特,605116,21.13,20.93,21.46,20.73,15753,32335272.0,3.46,-0.9,-0.19,0.4
223,2025-01-02,奥锐特,605116,21.67,21.12,21.85,20.95,19860,41079888.0,4.14,-2.9,-0.63,0.5
222,2024-12-31,奥锐特,605116,22.13,21.75,22.5,21.75,19346,41502120.0,3.37,-2.2,-0.49,0.49
221,2024-12-30,奥锐特,605116,21.26,22.24,22.59,21.26,33296,71760124.0,6.1,2.02,0.44,0.84
220,2024-12-27,奥锐特,605116,21.48,21.8,21.87,21.23,16940,35541118.0,2.98,1.49,0.32,0.43
219,2024-12-26,奥锐特,605116,21.63,21.48,21.71,21.38,9083,18968081.0,1.52,-0.88,-0.19,0.23
218,2024-12-25,奥锐特,605116,21.63,21.67,21.77,21.48,10090,21167576.0,1.34,0.18,0.04,0.25
217,2024-12-24,奥锐特,605116,21.16,21.63,21.71,21.08,16386,34228067.0,2.98,2.22,0.47,0.41
216,2024-12-23,奥锐特,605116,21.57,21.16,21.57,21.11,11849,24518537.0,2.13,-1.99,-0.43,0.3
215,2024-12-20,奥锐特,605116,21.38,21.59,21.61,21.28,10859,22660404.0,1.54,0.94,0.2,0.27
214,2024-12-19,奥锐特,605116,21.43,21.39,21.49,21.09,15325,31697743.0,1.86,-0.65,-0.14,0.39
213,2024-12-18,奥锐特,605116,21.33,21.53,21.65,20.98,18255,37828355.0,3.17,1.94,0.41,0.46
212,2024-12-17,奥锐特,605116,21.24,21.12,21.44,21.06,16268,33457530.0,1.79,-0.56,-0.12,0.41
211,2024-12-16,奥锐特,605116,21.69,21.24,21.78,21.01,24117,49741359.0,3.53,-2.75,-0.6,0.61
210,2024-12-13,奥锐特,605116,22.36,21.84,22.37,21.65,34862,74130330.0,3.22,-2.28,-0.51,0.88
209,2024-12-12,奥锐特,605116,22.14,22.35,22.5,22.01,24360,52750529.0,2.21,0.77,0.17,0.61
208,2024-12-11,奥锐特,605116,22.1,22.18,22.31,22.06,16940,36498358.0,1.14,1.0,0.22,0.43
207,2024-12-10,奥锐特,605116,22.53,21.96,22.55,21.96,21138,45508988.0,2.67,-0.5,-0.11,0.53
206,2024-12-09,奥锐特,605116,21.78,22.07,22.21,21.77,18307,39156194.0,2.02,1.38,0.3,0.46
205,2024-12-06,奥锐特,605116,21.69,21.77,21.81,21.59,13743,28949367.0,1.02,0.51,0.11,0.35
204,2024-12-05,奥锐特,605116,21.78,21.66,21.78,21.54,13006,27343284.0,1.11,-0.09,-0.02,0.33
203,2024-12-04,奥锐特,605116,22.11,21.68,22.14,21.63,12550,26625260.0,2.31,-1.94,-0.43,0.32
202,2024-12-03,奥锐特,605116,22.22,22.11,22.23,21.96,12025,25829959.0,1.22,-0.5,-0.11,0.3
201,2024-12-02,奥锐特,605116,22.76,22.22,22.76,22.06,21036,45561740.0,3.19,1.23,0.27,0.53
200,2024-11-29,奥锐特,605116,21.74,21.95,22.1,21.69,14133,30123588.0,1.88,0.78,0.17,0.36
199,2024-11-28,奥锐特,605116,22.01,21.78,22.01,21.7,11280,23961147.0,1.41,-1.09,-0.24,0.28
198,2024-11-27,奥锐特,605116,21.93,22.02,22.12,21.48,16946,35887295.0,2.93,0.96,0.21,0.43
197,2024-11-26,奥锐特,605116,21.62,21.81,22.02,21.61,11127,23617885.0,1.89,0.69,0.15,0.28
196,2024-11-25,奥锐特,605116,21.97,21.66,21.97,21.39,19401,40759665.0,2.67,-0.41,-0.09,0.49
195,2024-11-22,奥锐特,605116,22.53,21.75,22.53,21.73,18241,39199007.0,3.55,-3.46,-0.78,0.46
194,2024-11-21,奥锐特,605116,22.83,22.53,22.84,22.38,13627,29887131.0,2.01,-1.36,-0.31,0.34
