,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,派克新材,605123,54.62,53.94,55.13,53.85,8057,41274850.0,2.34,-1.26,-0.69,0.66
239,2025-01-24,派克新材,605123,54.02,54.63,54.73,53.79,8615,44208261.0,1.74,1.26,0.68,0.71
238,2025-01-23,派克新材,605123,54.33,53.95,55.19,53.95,10409,53624185.0,2.3,0.02,0.01,0.86
237,2025-01-22,派克新材,605123,54.14,53.94,54.47,53.68,7925,40340587.0,1.45,-1.05,-0.57,0.65
236,2025-01-21,派克新材,605123,54.69,54.51,55.04,53.92,7853,40259858.0,2.06,0.06,0.03,0.65
235,2025-01-20,派克新材,605123,53.89,54.48,55.16,53.89,9614,49551907.0,2.36,1.28,0.69,0.79
234,2025-01-17,派克新材,605123,53.3,53.79,54.25,53.03,7546,38110531.0,2.29,0.9,0.48,0.62
233,2025-01-16,派克新材,605123,53.63,53.31,54.28,53.03,8249,41591904.0,2.35,0.02,0.01,0.68
232,2025-01-15,派克新材,605123,54.03,53.3,54.08,53.16,7650,38438878.0,1.7,-1.35,-0.73,0.63
231,2025-01-14,派克新材,605123,52.83,54.03,54.27,52.28,11806,59562738.0,3.78,2.72,1.43,0.97
230,2025-01-13,派克新材,605123,52.75,52.6,53.43,52.0,10437,51780985.0,2.7,-0.81,-0.43,0.86
229,2025-01-10,派克新材,605123,55.58,53.03,57.66,52.88,22298,115629391.0,8.54,-5.2,-2.91,1.84
228,2025-01-09,派克新材,605123,53.91,55.94,56.23,53.85,19548,101367585.0,4.39,3.29,1.78,1.61
227,2025-01-08,派克新材,605123,54.97,54.16,54.97,52.99,10079,51202630.0,3.62,-0.88,-0.48,0.83
226,2025-01-07,派克新材,605123,54.79,54.64,54.98,53.69,10452,53571577.0,2.35,-0.29,-0.16,0.86
225,2025-01-06,派克新材,605123,54.82,54.8,55.62,54.28,9429,48792875.0,2.43,-0.44,-0.24,0.78
224,2025-01-03,派克新材,605123,54.65,55.04,55.39,54.28,11560,59781135.0,2.04,0.92,0.5,0.95
223,2025-01-02,派克新材,605123,56.7,54.54,56.78,54.1,11958,62691701.0,4.71,-4.13,-2.35,0.99
222,2024-12-31,派克新材,605123,58.48,56.89,58.59,56.89,8136,44266538.0,2.91,-2.65,-1.55,0.67
221,2024-12-30,派克新材,605123,59.18,58.44,59.53,58.25,8050,44879431.0,2.16,-1.23,-0.73,0.66
220,2024-12-27,派克新材,605123,59.13,59.17,59.89,58.72,12221,68767762.0,1.99,0.89,0.52,1.01
219,2024-12-26,派克新材,605123,58.23,58.65,59.23,58.23,7876,43913228.0,1.72,0.72,0.42,0.65
218,2024-12-25,派克新材,605123,59.13,58.23,59.13,57.95,8532,47154781.0,2.0,-1.44,-0.85,0.7
217,2024-12-24,派克新材,605123,60.26,59.08,60.68,58.68,15305,86357981.0,3.33,-1.55,-0.93,1.26
216,2024-12-23,派克新材,605123,60.34,60.01,61.8,58.51,21824,123915551.0,5.43,-1.02,-0.62,1.8
215,2024-12-20,派克新材,605123,60.63,60.63,61.54,59.79,22172,127737957.0,2.88,-0.1,-0.06,1.83
214,2024-12-19,派克新材,605123,59.13,60.69,60.76,58.83,15837,89686091.0,3.23,1.69,1.01,1.31
213,2024-12-18,派克新材,605123,58.57,59.68,60.11,58.22,12515,70054868.0,3.24,2.19,1.28,1.03
212,2024-12-17,派克新材,605123,59.15,58.4,59.57,58.2,9374,52219493.0,2.32,-1.3,-0.77,0.77
211,2024-12-16,派克新材,605123,59.61,59.17,59.82,58.73,8630,48395615.0,1.83,-0.54,-0.32,0.71
210,2024-12-13,派克新材,605123,60.88,59.49,60.94,59.49,13437,76329112.0,2.37,-2.7,-1.65,1.11
209,2024-12-12,派克新材,605123,60.92,61.14,61.51,60.44,11402,66015184.0,1.76,0.79,0.48,0.94
208,2024-12-11,派克新材,605123,61.13,60.66,61.41,60.49,8794,50827305.0,1.5,-0.85,-0.52,0.73
207,2024-12-10,派克新材,605123,62.43,61.18,62.88,61.01,14839,87336416.0,3.06,0.08,0.05,1.22
206,2024-12-09,派克新材,605123,61.6,61.13,61.87,60.63,9383,54312431.0,2.0,-1.24,-0.77,0.77
205,2024-12-06,派克新材,605123,60.7,61.9,62.46,60.38,12202,71081125.0,3.43,2.08,1.26,1.01
204,2024-12-05,派克新材,605123,60.81,60.64,61.29,60.33,7792,44910173.0,1.58,-0.49,-0.3,0.64
203,2024-12-04,派克新材,605123,61.68,60.94,63.1,60.53,12513,72856139.0,4.17,-1.2,-0.74,1.03
202,2024-12-03,派克新材,605123,62.13,61.68,63.1,61.3,16246,95691628.0,2.89,-0.96,-0.6,1.34
201,2024-12-02,派克新材,605123,60.28,62.28,62.33,60.15,13793,80203948.0,3.61,3.23,1.95,1.14
200,2024-11-29,派克新材,605123,59.74,60.33,61.37,59.19,9703,55551280.0,3.65,0.99,0.59,0.8
