,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,同力日升,605286,33.09,32.87,33.15,32.57,11303,36081905.0,1.75,-0.69,-0.23,0.67
240,2025-01-23,同力日升,605286,33.37,33.1,33.83,32.97,14982,48616784.0,2.58,-0.57,-0.19,0.89
239,2025-01-22,同力日升,605286,33.49,33.29,33.5,32.81,14999,48506324.0,2.08,0.27,0.09,0.89
238,2025-01-21,同力日升,605286,33.31,33.2,33.37,32.3,16786,53669986.0,3.24,0.55,0.18,1.0
237,2025-01-20,同力日升,605286,33.77,33.02,34.09,32.77,26867,86839475.0,3.94,-1.49,-0.5,1.6
236,2025-01-17,同力日升,605286,32.67,33.52,34.77,32.67,34880,114285310.0,6.29,0.48,0.16,2.08
235,2025-01-16,同力日升,605286,32.03,33.36,34.63,31.77,35922,116209734.0,9.01,5.1,1.62,2.14
234,2025-01-15,同力日升,605286,30.85,31.74,32.15,30.53,24675,75946944.0,5.28,3.35,1.03,1.47
233,2025-01-14,同力日升,605286,28.84,30.71,30.72,28.84,18705,54540400.0,6.49,6.01,1.74,1.11
232,2025-01-13,同力日升,605286,29.44,28.97,29.61,28.69,14563,41070105.0,3.13,-1.6,-0.47,0.87
231,2025-01-10,同力日升,605286,30.17,29.44,30.34,29.27,16325,47201857.0,3.57,-1.87,-0.56,0.97
230,2025-01-09,同力日升,605286,30.08,30.0,30.42,29.85,9955,29126402.0,1.89,-0.27,-0.08,0.59
229,2025-01-08,同力日升,605286,30.17,30.08,30.31,29.22,11390,32995773.0,3.62,-0.1,-0.03,0.68
228,2025-01-07,同力日升,605286,29.09,30.11,30.12,29.07,14927,42805092.0,3.58,2.76,0.81,0.89
227,2025-01-06,同力日升,605286,29.46,29.3,29.84,28.36,15172,42952435.0,5.08,0.58,0.17,0.9
226,2025-01-03,同力日升,605286,30.37,29.13,30.6,28.87,14724,42536246.0,5.69,-4.27,-1.3,0.88
225,2025-01-02,同力日升,605286,31.05,30.43,31.42,30.04,15689,46769097.0,4.45,-1.93,-0.6,0.93
224,2024-12-31,同力日升,605286,31.99,31.03,32.36,30.92,14912,45363025.0,4.5,-2.94,-0.94,0.89
223,2024-12-30,同力日升,605286,31.64,31.97,32.57,31.37,12218,38106851.0,3.76,0.22,0.07,0.73
222,2024-12-27,同力日升,605286,31.81,31.9,32.11,31.58,9246,28643206.0,1.66,0.19,0.06,0.55
221,2024-12-26,同力日升,605286,31.23,31.84,32.32,31.11,15348,47268273.0,3.86,1.66,0.52,0.91
220,2024-12-25,同力日升,605286,32.57,31.32,32.63,31.2,14732,45193442.0,4.38,-4.01,-1.31,0.88
219,2024-12-24,同力日升,605286,32.28,32.63,32.74,31.98,9268,29203596.0,2.34,0.52,0.17,0.55
218,2024-12-23,同力日升,605286,33.27,32.46,33.7,31.93,14024,44352561.0,5.31,-2.7,-0.9,0.83
217,2024-12-20,同力日升,605286,33.07,33.36,33.66,32.72,16943,54840374.0,2.84,0.94,0.31,1.01
216,2024-12-19,同力日升,605286,32.28,33.05,33.32,32.12,12916,41402260.0,3.66,0.92,0.3,0.77
215,2024-12-18,同力日升,605286,32.06,32.75,32.77,30.87,14075,44341505.0,5.87,1.17,0.38,0.84
214,2024-12-17,同力日升,605286,32.67,32.37,33.33,32.07,18518,58938474.0,3.84,-1.46,-0.48,1.1
213,2024-12-16,同力日升,605286,32.08,32.85,32.87,32.08,16627,52625338.0,2.44,1.3,0.42,0.99
212,2024-12-13,同力日升,605286,33.37,32.43,33.39,32.37,16478,52584463.0,3.05,-2.88,-0.96,0.98
211,2024-12-12,同力日升,605286,33.42,33.39,33.56,32.97,11238,36428497.0,1.77,0.21,0.07,0.67
210,2024-12-11,同力日升,605286,33.22,33.32,33.52,32.67,16438,52966356.0,2.57,0.76,0.25,0.98
209,2024-12-10,同力日升,605286,33.93,33.07,34.16,33.02,21421,69927398.0,3.41,-1.02,-0.34,1.28
208,2024-12-09,同力日升,605286,32.95,33.41,35.12,32.87,37921,125126556.0,6.81,1.12,0.37,2.26
207,2024-12-06,同力日升,605286,33.07,33.04,33.27,32.56,14452,46203835.0,2.14,-0.33,-0.11,0.86
206,2024-12-05,同力日升,605286,32.5,33.15,33.33,32.47,19246,61687620.0,2.64,1.78,0.58,1.15
205,2024-12-04,同力日升,605286,32.89,32.57,33.62,32.28,35952,115293691.0,4.06,-1.24,-0.41,2.14
204,2024-12-03,同力日升,605286,33.55,32.98,33.87,32.81,36564,118391898.0,3.15,-1.93,-0.65,2.18
203,2024-12-02,同力日升,605286,35.23,33.63,35.26,33.37,47284,157084240.0,5.38,-4.35,-1.53,2.81
202,2024-11-29,同力日升,605286,34.38,35.16,35.17,34.28,29270,99335997.0,2.57,1.44,0.5,1.74
201,2024-11-28,同力日升,605286,34.27,34.66,34.85,33.74,27040,90625586.0,3.23,0.87,0.3,1.61
200,2024-11-27,同力日升,605286,33.85,34.36,34.75,33.09,26410,87413720.0,4.91,1.57,0.53,1.57
199,2024-11-26,同力日升,605286,33.49,33.83,34.37,33.27,26143,86413862.0,3.29,1.17,0.39,1.56
198,2024-11-25,同力日升,605286,32.57,33.44,34.31,32.57,29233,95312810.0,5.23,0.51,0.17,1.74
197,2024-11-22,同力日升,605286,33.82,33.27,34.83,32.88,45899,150218522.0,5.74,-2.06,-0.7,2.73
196,2024-11-21,同力日升,605286,33.37,33.97,35.17,33.13,52340,173145915.0,6.08,1.28,0.43,3.12
195,2024-11-20,同力日升,605286,31.87,33.54,33.54,31.77,46821,149581114.0,5.51,4.32,1.39,2.79
194,2024-11-19,同力日升,605286,31.23,32.15,32.38,30.97,51995,160317776.0,4.46,1.64,0.52,3.09
193,2024-11-18,同力日升,605286,30.78,31.63,32.36,30.47,71804,219373117.0,6.17,3.23,0.99,4.27
192,2024-11-15,同力日升,605286,29.47,30.64,31.25,29.25,46313,137085704.0,6.77,3.72,1.1,2.76
191,2024-11-14,同力日升,605286,29.31,29.54,30.23,29.31,26076,75644426.0,3.11,-0.03,-0.01,1.55
190,2024-11-13,同力日升,605286,29.03,29.55,29.55,28.69,15605,44046027.0,2.97,1.93,0.56,0.93
189,2024-11-12,同力日升,605286,30.37,28.99,30.39,28.79,33032,94420144.0,5.32,-3.59,-1.08,1.97
188,2024-11-11,同力日升,605286,28.71,30.07,30.09,28.71,24669,71015586.0,4.75,3.55,1.03,1.47
187,2024-11-08,同力日升,605286,29.37,29.04,29.65,28.87,21438,60719979.0,2.7,0.66,0.19,1.28
186,2024-11-07,同力日升,605286,28.1,28.85,29.34,27.87,23853,66484645.0,5.2,2.09,0.59,1.42
185,2024-11-06,同力日升,605286,27.99,28.26,28.99,27.73,28875,79363967.0,4.52,1.47,0.41,1.72
184,2024-11-05,同力日升,605286,27.54,27.85,28.01,27.27,21924,58976964.0,2.69,1.09,0.3,1.31
183,2024-11-04,同力日升,605286,27.59,27.55,27.71,27.17,21376,56740004.0,1.98,0.99,0.27,1.27
182,2024-11-01,同力日升,605286,28.86,27.28,28.91,26.85,43682,117179234.0,7.13,-5.64,-1.63,2.6
181,2024-10-31,同力日升,605286,28.87,28.91,29.29,28.59,20650,58018546.0,2.42,0.14,0.04,1.23
180,2024-10-30,同力日升,605286,29.28,28.87,29.36,28.62,21536,60379470.0,2.52,-1.53,-0.45,1.28
179,2024-10-29,同力日升,605286,30.47,29.32,31.07,29.07,43876,127717906.0,6.56,-3.77,-1.15,2.61
178,2024-10-28,同力日升,605286,28.22,30.47,30.54,27.95,60657,174474550.0,9.17,7.93,2.24,3.61
177,2024-10-25,同力日升,605286,27.71,28.23,28.32,27.71,19362,52774858.0,2.2,1.91,0.53,1.15
176,2024-10-24,同力日升,605286,27.81,27.7,27.92,27.39,17490,46777724.0,1.91,-0.36,-0.1,1.04
175,2024-10-23,同力日升,605286,27.27,27.8,28.14,27.27,28421,76548747.0,3.16,1.02,0.28,1.69
174,2024-10-22,同力日升,605286,26.87,27.52,27.84,26.83,23853,63326255.0,3.73,1.74,0.47,1.42
173,2024-10-21,同力日升,605286,26.65,27.05,27.57,26.65,34671,91285784.0,3.45,1.54,0.41,2.06
172,2024-10-18,同力日升,605286,26.12,26.64,27.16,26.12,39209,101594600.0,3.99,2.19,0.57,2.33
171,2024-10-17,同力日升,605286,27.49,26.07,27.7,26.06,49391,127487629.0,5.98,-4.99,-1.37,2.94
170,2024-10-16,同力日升,605286,27.02,27.44,27.66,27.02,17848,47259348.0,2.32,-0.33,-0.09,1.06
169,2024-10-15,同力日升,605286,27.37,27.53,28.06,27.12,24232,64772522.0,3.4,-0.51,-0.14,1.44
168,2024-10-14,同力日升,605286,27.34,27.67,27.87,26.38,47582,125779860.0,5.55,3.09,0.83,2.83
167,2024-10-11,同力日升,605286,27.06,26.84,27.56,26.3,47686,124354360.0,4.79,2.01,0.53,2.84
166,2024-10-10,同力日升,605286,25.67,26.31,27.14,25.67,34083,86945463.0,5.73,2.49,0.64,2.03
165,2024-10-09,同力日升,605286,27.27,25.67,27.49,25.67,44023,113005590.0,6.63,-6.55,-1.8,2.62
164,2024-10-08,同力日升,605286,29.17,27.47,29.17,25.77,70657,188083572.0,12.76,3.12,0.83,4.21
163,2024-09-30,同力日升,605286,26.87,26.64,26.87,24.79,53020,133526937.0,8.41,7.77,1.92,3.16
162,2024-09-27,同力日升,605286,23.38,24.72,24.77,23.28,18833,43673890.0,6.43,6.6,1.53,1.12
161,2024-09-26,同力日升,605286,22.53,23.19,23.25,22.26,19494,42831135.0,4.41,3.34,0.75,1.16
160,2024-09-25,同力日升,605286,22.55,22.44,23.08,22.42,15214,33418650.0,2.94,0.04,0.01,0.91
159,2024-09-24,同力日升,605286,21.57,22.43,22.55,21.34,18003,38329384.0,5.64,4.57,0.98,1.07
158,2024-09-23,同力日升,605286,21.72,21.45,21.81,21.42,8053,16760171.0,1.79,-1.33,-0.29,0.48
157,2024-09-20,同力日升,605286,22.06,21.74,22.06,21.54,9060,19001013.0,2.36,-1.32,-0.29,0.54
156,2024-09-19,同力日升,605286,21.87,22.03,22.2,21.68,9740,20678868.0,2.38,0.87,0.19,0.58
155,2024-09-18,同力日升,605286,22.09,21.84,22.38,21.53,10635,22381386.0,3.85,-1.13,-0.25,0.63
154,2024-09-13,同力日升,605286,22.99,22.09,23.17,22.08,11357,24612116.0,4.74,-3.91,-0.9,0.68
153,2024-09-12,同力日升,605286,22.69,22.99,23.25,22.69,15624,34917418.0,2.44,0.31,0.07,0.93
152,2024-09-11,同力日升,605286,22.6,22.92,23.41,22.48,18538,41046513.0,4.11,1.28,0.29,1.1
151,2024-09-10,同力日升,605286,22.45,22.63,22.73,22.19,7733,16787074.0,2.42,1.25,0.28,0.46
150,2024-09-09,同力日升,605286,22.45,22.35,22.57,22.1,7074,15296602.0,2.09,-0.75,-0.17,0.42
149,2024-09-06,同力日升,605286,22.84,22.52,22.84,22.35,7778,16989937.0,2.14,-1.44,-0.33,0.46
148,2024-09-05,同力日升,605286,22.81,22.85,23.08,22.75,10533,23331350.0,1.45,0.44,0.1,0.63
147,2024-09-04,同力日升,605286,22.6,22.75,23.02,22.55,10829,23848184.0,2.07,0.4,0.09,0.64
146,2024-09-03,同力日升,605286,22.67,22.66,22.86,22.48,11395,24981762.0,1.68,0.13,0.03,0.68
145,2024-09-02,同力日升,605286,22.92,22.63,23.1,22.51,17025,37638412.0,2.57,-1.27,-0.29,1.01
144,2024-08-30,同力日升,605286,23.04,22.92,23.35,22.58,24609,54739627.0,3.38,0.7,0.16,1.46
143,2024-08-29,同力日升,605286,21.98,22.76,22.98,21.81,23733,51665576.0,5.32,3.45,0.76,1.41
142,2024-08-28,同力日升,605286,21.44,22.0,22.14,21.25,17749,37392634.0,4.15,2.66,0.57,1.06
141,2024-08-27,同力日升,605286,21.34,21.43,21.59,21.14,14586,30113919.0,2.1,0.09,0.02,0.87
140,2024-08-26,同力日升,605286,20.55,21.41,21.49,20.36,20938,42586320.0,5.49,3.98,0.82,1.25
139,2024-08-23,同力日升,605286,20.68,20.59,20.85,20.25,11717,23139956.0,2.91,-0.29,-0.06,0.7
138,2024-08-22,同力日升,605286,20.93,20.65,21.2,20.65,10843,21830228.0,2.61,-2.09,-0.44,0.65
137,2024-08-21,同力日升,605286,21.04,21.09,21.15,20.9,6677,13531995.0,1.19,0.48,0.1,0.4
136,2024-08-20,同力日升,605286,21.38,20.99,21.55,20.88,8935,18182956.0,3.13,-1.96,-0.42,0.53
135,2024-08-19,同力日升,605286,21.5,21.41,21.75,21.35,7531,15641054.0,1.86,-0.42,-0.09,0.45
134,2024-08-16,同力日升,605286,21.88,21.5,22.02,21.46,10126,21208187.0,2.56,-1.74,-0.38,0.6
133,2024-08-15,同力日升,605286,21.93,21.88,22.05,21.6,8953,18906363.0,2.05,-0.23,-0.05,0.53
132,2024-08-14,同力日升,605286,22.09,21.93,22.22,21.81,6281,13315386.0,1.86,-0.68,-0.15,0.37
131,2024-08-13,同力日升,605286,21.8,22.08,22.11,21.64,6590,13951907.0,2.14,0.73,0.16,0.39
130,2024-08-12,同力日升,605286,21.83,21.92,22.17,21.76,7561,16032450.0,1.87,0.0,0.0,0.45
129,2024-08-09,同力日升,605286,22.2,21.92,22.3,21.9,7943,16925902.0,1.82,-0.32,-0.07,0.47
128,2024-08-08,同力日升,605286,22.4,21.99,22.54,21.77,13169,28017635.0,3.42,-2.31,-0.52,0.78
127,2024-08-07,同力日升,605286,22.67,22.51,22.72,22.31,10189,22196149.0,1.83,0.4,0.09,0.61
126,2024-08-06,同力日升,605286,21.95,22.42,22.55,21.9,16013,34368299.0,2.99,2.99,0.65,0.95
125,2024-08-05,同力日升,605286,22.53,21.77,22.8,21.77,16207,34821159.0,4.58,-3.29,-0.74,0.96
124,2024-08-02,同力日升,605286,22.86,22.51,23.2,22.47,19464,42982410.0,3.18,-1.79,-0.41,1.16
123,2024-08-01,同力日升,605286,22.63,22.92,23.39,22.48,25006,55286762.0,4.02,1.28,0.29,1.49
122,2024-07-31,同力日升,605286,22.14,22.63,22.72,21.88,15625,33961475.0,3.81,2.77,0.61,0.93
121,2024-07-30,同力日升,605286,22.0,22.02,22.25,21.8,10078,21456037.0,2.02,-0.94,-0.21,0.6
120,2024-07-29,同力日升,605286,22.18,22.23,22.46,22.18,12900,27843598.0,1.26,-0.36,-0.08,0.77
119,2024-07-26,同力日升,605286,22.13,22.31,22.46,21.91,16851,36074554.0,2.55,3.53,0.76,1.0
118,2024-07-25,同力日升,605286,21.25,21.55,21.78,21.15,8931,18545713.0,2.95,0.8,0.17,0.53
117,2024-07-24,同力日升,605286,21.57,21.38,21.71,21.26,10173,21069087.0,2.09,-0.93,-0.2,0.61
