,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,福莱蒽特,605566,19.12,19.55,19.89,19.11,14895,27751914.0,4.09,2.41,0.46,2.39
239,2025-01-24,福莱蒽特,605566,19.89,19.09,19.89,18.95,20725,37995870.0,4.73,-3.97,-0.79,3.33
238,2025-01-23,福莱蒽特,605566,19.51,19.88,19.93,19.51,10850,20442842.0,2.14,1.07,0.21,1.74
237,2025-01-22,福莱蒽特,605566,19.59,19.67,19.97,19.31,9208,17286566.0,3.36,0.25,0.05,1.48
236,2025-01-21,福莱蒽特,605566,19.91,19.62,19.97,19.57,7808,14710069.0,2.02,-0.76,-0.15,1.25
235,2025-01-20,福莱蒽特,605566,19.49,19.77,20.2,19.31,11871,22437863.0,4.61,2.44,0.47,1.91
234,2025-01-17,福莱蒽特,605566,19.45,19.3,19.85,19.19,7436,13861938.0,3.38,-1.13,-0.22,1.19
233,2025-01-16,福莱蒽特,605566,19.46,19.52,19.76,19.27,7360,13703814.0,2.53,0.93,0.18,1.18
232,2025-01-15,福莱蒽特,605566,19.75,19.34,19.86,19.24,8581,15977408.0,3.14,-2.08,-0.41,1.38
231,2025-01-14,福莱蒽特,605566,19.21,19.75,19.86,19.21,11768,22028220.0,3.39,2.97,0.57,1.89
230,2025-01-13,福莱蒽特,605566,19.35,19.18,19.68,18.81,15915,28982992.0,4.44,-2.19,-0.43,2.56
229,2025-01-10,福莱蒽特,605566,20.03,19.61,20.1,19.56,13470,25445812.0,2.68,-2.68,-0.54,2.16
228,2025-01-09,福莱蒽特,605566,18.71,20.15,20.34,18.51,27552,51625731.0,9.7,6.84,1.29,4.42
227,2025-01-08,福莱蒽特,605566,19.66,18.86,19.87,18.54,18999,34603211.0,6.73,-4.51,-0.89,3.05
226,2025-01-07,福莱蒽特,605566,19.27,19.75,19.75,19.12,14630,27188336.0,3.27,2.6,0.5,2.35
225,2025-01-06,福莱蒽特,605566,18.4,19.25,19.45,18.01,16830,30507991.0,7.78,4.0,0.74,2.7
224,2025-01-03,福莱蒽特,605566,19.01,18.51,19.4,18.42,12899,23072498.0,5.16,-2.58,-0.49,2.07
223,2025-01-02,福莱蒽特,605566,18.91,19.0,19.3,18.57,10799,19471022.0,3.86,0.48,0.09,1.73
222,2024-12-31,福莱蒽特,605566,18.69,18.91,19.39,18.69,11422,20760038.0,3.75,1.18,0.22,1.83
221,2024-12-30,福莱蒽特,605566,18.54,18.69,18.84,18.44,8649,15292175.0,2.13,-0.53,-0.1,1.39
220,2024-12-27,福莱蒽特,605566,18.71,18.79,18.98,18.51,6733,12048680.0,2.51,0.27,0.05,1.08
219,2024-12-26,福莱蒽特,605566,18.34,18.74,18.81,18.16,9894,17530338.0,3.58,3.08,0.56,1.59
218,2024-12-25,福莱蒽特,605566,17.32,18.18,18.63,17.32,12871,22133192.0,7.06,-2.05,-0.38,2.07
217,2024-12-24,福莱蒽特,605566,18.22,18.56,18.69,18.12,7727,13539226.0,3.13,1.87,0.34,1.24
216,2024-12-23,福莱蒽特,605566,18.96,18.22,18.96,18.17,13477,23605534.0,4.18,-3.6,-0.68,2.16
215,2024-12-20,福莱蒽特,605566,18.7,18.9,19.13,18.7,10893,19626047.0,2.3,1.07,0.2,1.75
214,2024-12-19,福莱蒽特,605566,18.72,18.7,18.97,18.46,10089,17944166.0,2.7,-1.01,-0.19,1.62
213,2024-12-18,福莱蒽特,605566,18.86,18.89,19.26,18.69,13118,23641523.0,3.01,-0.37,-0.07,2.11
212,2024-12-17,福莱蒽特,605566,20.12,18.96,20.27,18.94,21017,39133112.0,6.58,-6.19,-1.25,3.37
211,2024-12-16,福莱蒽特,605566,20.11,20.21,20.54,20.11,13144,25471998.0,2.13,0.1,0.02,2.11
210,2024-12-13,福莱蒽特,605566,20.65,20.19,20.81,20.14,16072,31345094.0,3.25,-2.18,-0.45,2.58
209,2024-12-12,福莱蒽特,605566,20.99,20.64,20.99,20.49,18237,36010393.0,2.39,-1.34,-0.28,2.93
208,2024-12-11,福莱蒽特,605566,21.31,20.92,21.49,20.81,16311,32867536.0,3.17,-2.38,-0.51,2.62
207,2024-12-10,福莱蒽特,605566,21.73,21.43,22.19,21.36,24476,50698948.0,3.84,-0.83,-0.18,3.93
206,2024-12-09,福莱蒽特,605566,21.11,21.61,22.11,21.11,21051,43836464.0,4.72,2.08,0.44,3.38
205,2024-12-06,福莱蒽特,605566,21.5,21.17,21.55,20.99,15906,32302955.0,2.64,-0.28,-0.06,2.55
204,2024-12-05,福莱蒽特,605566,20.96,21.23,21.38,20.82,19285,38966912.0,2.65,0.33,0.07,3.1
203,2024-12-04,福莱蒽特,605566,20.23,21.16,21.71,20.1,49936,100838067.0,7.84,3.07,0.63,8.02
202,2024-12-03,福莱蒽特,605566,20.14,20.53,20.94,19.32,44558,85647002.0,8.12,2.96,0.59,7.15
201,2024-12-02,福莱蒽特,605566,20.27,19.94,20.55,19.71,28064,53976367.0,4.18,-0.85,-0.17,4.51
200,2024-11-29,福莱蒽特,605566,20.08,20.11,20.69,19.49,34422,66228230.0,6.0,0.5,0.1,5.53
199,2024-11-28,福莱蒽特,605566,19.81,20.01,20.43,19.57,27308,52071287.0,4.34,0.96,0.19,4.38
198,2024-11-27,福莱蒽特,605566,19.78,19.82,20.11,19.11,24461,45705871.0,5.03,-0.3,-0.06,3.93
197,2024-11-26,福莱蒽特,605566,20.12,19.88,20.57,19.62,22532,43013128.0,4.67,-2.36,-0.48,3.62
196,2024-11-25,福莱蒽特,605566,20.61,20.36,21.17,19.99,37102,72786322.0,5.83,0.64,0.13,5.96
195,2024-11-22,福莱蒽特,605566,21.22,20.23,21.46,20.06,67428,133689986.0,6.34,-8.42,-1.86,10.83
194,2024-11-21,福莱蒽特,605566,20.35,22.09,22.09,20.0,87987,179879780.0,10.16,7.39,1.52,14.13
193,2024-11-20,福莱蒽特,605566,20.13,20.57,21.01,20.13,64955,127162565.0,4.25,-0.58,-0.12,10.43
192,2024-11-19,福莱蒽特,605566,20.73,20.69,21.21,19.57,89608,173694690.0,8.38,5.72,1.12,14.39
191,2024-11-18,福莱蒽特,605566,17.88,19.57,19.57,17.86,46318,83536760.0,9.57,9.51,1.7,7.44
190,2024-11-15,福莱蒽特,605566,18.11,17.87,18.36,17.79,17858,30580554.0,3.14,-1.54,-0.28,2.87
189,2024-11-14,福莱蒽特,605566,18.71,18.15,19.0,18.14,13336,23583708.0,4.6,-2.89,-0.54,2.14
188,2024-11-13,福莱蒽特,605566,18.58,18.69,18.88,18.12,15333,27024106.0,4.07,0.11,0.02,2.46
187,2024-11-12,福莱蒽特,605566,19.86,18.67,19.88,18.46,32883,59738195.0,7.35,-3.31,-0.64,5.28
186,2024-11-11,福莱蒽特,605566,18.55,19.31,20.03,18.42,53474,98926968.0,8.75,5.0,0.92,8.58
185,2024-11-08,福莱蒽特,605566,17.98,18.39,18.5,17.7,29608,50880346.0,4.5,3.55,0.63,4.75
184,2024-11-07,福莱蒽特,605566,17.08,17.76,17.97,17.08,17622,29576527.0,5.02,0.17,0.03,2.83
183,2024-11-06,福莱蒽特,605566,18.0,17.73,18.06,17.63,13137,22286116.0,2.39,-1.45,-0.26,2.11
182,2024-11-05,福莱蒽特,605566,17.53,17.99,18.17,17.51,16969,28572848.0,3.75,2.33,0.41,2.72
181,2024-11-04,福莱蒽特,605566,17.61,17.58,17.76,17.4,8057,13415502.0,2.04,-0.51,-0.09,1.29
180,2024-11-01,福莱蒽特,605566,17.51,17.67,18.21,17.51,12479,21232497.0,3.87,-2.27,-0.41,2.0
179,2024-10-31,福莱蒽特,605566,17.86,18.08,18.21,17.79,13026,22269425.0,2.35,1.12,0.2,2.09
178,2024-10-30,福莱蒽特,605566,18.27,17.88,18.56,17.61,22822,39281159.0,5.21,-2.03,-0.37,3.66
177,2024-10-29,福莱蒽特,605566,18.76,18.25,18.78,17.84,16883,29267395.0,5.05,-1.93,-0.36,2.71
176,2024-10-28,福莱蒽特,605566,17.91,18.61,18.62,17.82,21788,37891733.0,4.47,3.91,0.7,3.5
175,2024-10-25,福莱蒽特,605566,16.28,17.91,18.25,16.28,16111,27205295.0,11.24,2.23,0.39,2.59
174,2024-10-24,福莱蒽特,605566,17.32,17.52,17.87,17.12,15170,25347338.0,4.32,0.81,0.14,2.44
173,2024-10-23,福莱蒽特,605566,17.01,17.38,17.46,16.85,16133,26316732.0,3.58,2.0,0.34,2.59
172,2024-10-22,福莱蒽特,605566,16.81,17.04,17.17,16.6,9862,15857801.0,3.4,1.73,0.29,1.58
171,2024-10-21,福莱蒽特,605566,16.9,16.75,16.96,16.65,12864,20415212.0,1.84,-0.36,-0.06,2.07
170,2024-10-18,福莱蒽特,605566,16.89,16.81,16.99,16.62,16435,26154002.0,2.21,0.6,0.1,2.64
169,2024-10-17,福莱蒽特,605566,16.77,16.71,17.01,16.69,7407,11787378.0,1.91,-0.36,-0.06,1.19
168,2024-10-16,福莱蒽特,605566,16.65,16.77,16.93,16.65,8028,12776259.0,1.65,-0.95,-0.16,1.29
167,2024-10-15,福莱蒽特,605566,17.22,16.93,17.34,16.92,10510,17005184.0,2.44,-1.68,-0.29,1.69
