,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,奥福环保,688021,10.67,10.8,11.05,10.45,9386,9318243.0,5.62,1.22,0.13,1.23
240,2025-01-23,奥福环保,688021,10.69,10.67,11.01,10.67,8589,8622815.0,3.22,1.14,0.12,1.12
239,2025-01-22,奥福环保,688021,10.51,10.55,10.67,10.35,8395,8200368.0,3.04,0.29,0.03,1.1
238,2025-01-21,奥福环保,688021,10.76,10.52,10.76,10.4,9685,9481494.0,3.38,-1.31,-0.14,1.27
237,2025-01-20,奥福环保,688021,10.55,10.66,10.79,10.33,11337,11168966.0,4.38,1.52,0.16,1.48
236,2025-01-17,奥福环保,688021,10.71,10.5,10.74,10.49,9708,9511734.0,2.35,-1.22,-0.13,1.27
235,2025-01-16,奥福环保,688021,10.95,10.63,10.95,10.56,8710,8675736.0,3.67,0.09,0.01,1.14
234,2025-01-15,奥福环保,688021,10.95,10.62,10.96,10.56,8764,8692063.0,3.65,-3.1,-0.34,1.15
233,2025-01-14,奥福环保,688021,10.36,10.96,10.96,10.31,8141,8057714.0,6.32,6.51,0.67,1.07
232,2025-01-13,奥福环保,688021,10.14,10.29,10.45,9.93,10060,9493486.0,5.04,-0.19,-0.02,1.32
231,2025-01-10,奥福环保,688021,10.78,10.31,10.88,10.13,8421,8181389.0,7.02,-3.46,-0.37,1.1
230,2025-01-09,奥福环保,688021,10.67,10.68,10.74,10.51,6326,6225805.0,2.19,1.52,0.16,0.83
229,2025-01-08,奥福环保,688021,10.7,10.52,10.76,10.15,9211,8939948.0,5.7,-1.68,-0.18,1.21
228,2025-01-07,奥福环保,688021,10.43,10.7,10.73,10.37,7848,7673454.0,3.47,3.08,0.32,1.03
227,2025-01-06,奥福环保,688021,10.51,10.38,10.67,10.13,11872,11484534.0,5.14,-1.24,-0.13,1.55
226,2025-01-03,奥福环保,688021,11.03,10.51,11.28,10.51,15659,15654751.0,6.98,-4.71,-0.52,2.05
225,2025-01-02,奥福环保,688021,11.1,11.03,11.83,10.99,16052,16977080.0,7.49,-1.69,-0.19,2.1
224,2024-12-31,奥福环保,688021,11.61,11.22,11.61,11.16,9904,10462757.0,3.92,-2.35,-0.27,1.3
223,2024-12-30,奥福环保,688021,11.38,11.49,11.53,11.02,11348,11970369.0,4.4,-0.95,-0.11,1.49
222,2024-12-27,奥福环保,688021,11.63,11.6,11.86,11.36,9850,10783093.0,4.36,1.05,0.12,1.29
221,2024-12-26,奥福环保,688021,11.2,11.48,11.71,11.11,11073,11876182.0,5.36,2.5,0.28,1.45
220,2024-12-25,奥福环保,688021,11.63,11.2,11.66,11.08,11153,11666348.0,4.98,-3.78,-0.44,1.46
219,2024-12-24,奥福环保,688021,11.58,11.64,11.91,11.52,16576,18092827.0,3.36,0.17,0.02,2.17
218,2024-12-23,奥福环保,688021,12.58,11.62,12.58,11.61,17366,19306695.0,7.77,-6.89,-0.86,2.27
217,2024-12-20,奥福环保,688021,12.16,12.48,12.59,12.03,12593,14655172.0,4.58,2.04,0.25,1.65
216,2024-12-19,奥福环保,688021,12.34,12.23,12.56,12.08,13267,15269417.0,3.82,-2.7,-0.34,1.74
215,2024-12-18,奥福环保,688021,12.42,12.57,12.96,11.92,16481,19357449.0,8.37,1.21,0.15,2.16
214,2024-12-17,奥福环保,688021,13.08,12.42,13.18,12.3,16101,19048778.0,6.67,-5.91,-0.78,2.11
213,2024-12-16,奥福环保,688021,13.08,13.2,13.31,12.88,11274,13915909.0,3.3,1.23,0.16,1.48
212,2024-12-13,奥福环保,688021,13.39,13.04,13.4,13.03,7134,8837972.0,2.77,-2.47,-0.33,0.93
211,2024-12-12,奥福环保,688021,13.13,13.37,13.39,13.04,14656,18227776.0,2.67,1.83,0.24,1.92
210,2024-12-11,奥福环保,688021,12.99,13.13,13.23,12.96,8987,11041359.0,2.07,0.77,0.1,1.18
209,2024-12-10,奥福环保,688021,13.38,13.03,13.53,13.0,14488,18133962.0,4.05,-0.38,-0.05,1.9
208,2024-12-09,奥福环保,688021,13.23,13.08,13.34,12.89,9446,11631278.0,3.42,-0.61,-0.08,1.24
207,2024-12-06,奥福环保,688021,13.1,13.16,13.23,12.8,10848,13304754.0,3.3,0.92,0.12,1.42
206,2024-12-05,奥福环保,688021,12.7,13.04,13.07,12.69,9845,11958743.0,2.97,1.8,0.23,1.29
205,2024-12-04,奥福环保,688021,13.09,12.81,13.09,12.63,11289,13600475.0,3.51,-2.14,-0.28,1.48
204,2024-12-03,奥福环保,688021,12.96,13.09,13.14,12.66,16869,20511465.0,3.73,1.63,0.21,2.21
203,2024-12-02,奥福环保,688021,12.76,12.88,12.96,12.6,10174,12225548.0,2.86,2.38,0.3,1.33
202,2024-11-29,奥福环保,688021,12.36,12.58,12.67,12.23,11157,13102169.0,3.54,1.29,0.16,1.46
201,2024-11-28,奥福环保,688021,12.18,12.42,12.55,12.12,14039,16335831.0,3.53,1.97,0.24,1.84
200,2024-11-27,奥福环保,688021,12.18,12.18,12.24,11.63,13134,14627886.0,5.01,0.0,0.0,1.72
199,2024-11-26,奥福环保,688021,12.38,12.18,12.52,12.1,9236,10626004.0,3.38,-1.93,-0.24,1.21
198,2024-11-25,奥福环保,688021,12.14,12.42,12.42,12.11,10125,11637908.0,2.54,1.72,0.21,1.33
197,2024-11-22,奥福环保,688021,12.77,12.21,12.81,11.91,15488,18123722.0,7.09,-3.86,-0.49,2.03
196,2024-11-21,奥福环保,688021,12.78,12.7,12.83,12.39,12644,14972250.0,3.46,-0.16,-0.02,1.65
195,2024-11-20,奥福环保,688021,12.32,12.72,12.73,12.24,13113,15430529.0,3.99,3.67,0.45,1.72
194,2024-11-19,奥福环保,688021,12.11,12.27,12.32,11.82,9615,10892851.0,4.15,1.83,0.22,1.26
193,2024-11-18,奥福环保,688021,12.65,12.05,12.68,11.88,13450,15453164.0,6.36,-4.14,-0.52,1.76
192,2024-11-15,奥福环保,688021,12.48,12.57,12.91,12.38,11645,13890794.0,4.11,-2.41,-0.31,1.52
191,2024-11-14,奥福环保,688021,13.18,12.88,13.27,12.58,13144,15951350.0,5.22,-2.65,-0.35,1.72
190,2024-11-13,奥福环保,688021,13.08,13.23,13.38,12.81,12526,15464801.0,4.34,0.84,0.11,1.64
189,2024-11-12,奥福环保,688021,13.67,13.12,13.67,12.98,22919,28686060.0,5.05,-3.95,-0.54,3.0
188,2024-11-11,奥福环保,688021,12.87,13.66,13.73,12.76,25566,31981934.0,7.48,5.32,0.69,3.35
187,2024-11-08,奥福环保,688021,12.74,12.97,13.26,12.5,23973,29086673.0,6.0,2.37,0.3,3.14
186,2024-11-07,奥福环保,688021,12.28,12.67,12.73,12.08,14165,16609036.0,5.31,3.51,0.43,1.85
185,2024-11-06,奥福环保,688021,12.31,12.24,12.63,12.1,15389,17940773.0,4.31,-0.49,-0.06,2.01
184,2024-11-05,奥福环保,688021,12.18,12.3,12.33,12.08,13047,14904184.0,2.08,2.24,0.27,1.71
183,2024-11-04,奥福环保,688021,12.36,12.03,12.37,11.68,15611,17544851.0,5.68,-0.91,-0.11,2.04
182,2024-11-01,奥福环保,688021,12.15,12.14,13.28,11.78,21719,24973985.0,12.4,0.33,0.04,2.84
181,2024-10-31,奥福环保,688021,11.67,12.1,12.23,11.42,13043,14495123.0,6.95,3.77,0.44,1.71
180,2024-10-30,奥福环保,688021,11.96,11.66,12.07,11.46,16649,18185220.0,5.1,-2.51,-0.3,2.18
179,2024-10-29,奥福环保,688021,12.57,11.96,12.78,11.84,22848,26307180.0,7.51,-4.4,-0.55,2.99
178,2024-10-28,奥福环保,688021,12.21,12.51,12.53,12.01,18577,21456663.0,4.34,4.34,0.52,2.43
177,2024-10-25,奥福环保,688021,11.66,11.99,12.03,11.53,15371,16987694.0,4.28,2.74,0.32,2.01
176,2024-10-24,奥福环保,688021,11.78,11.67,11.92,11.58,11354,12425900.0,2.87,-1.6,-0.19,1.49
175,2024-10-23,奥福环保,688021,11.76,11.86,12.24,11.59,14775,16439400.0,5.54,1.11,0.13,1.93
174,2024-10-22,奥福环保,688021,11.43,11.73,11.73,11.38,15594,16848276.0,3.06,2.53,0.29,2.04
173,2024-10-21,奥福环保,688021,11.31,11.44,11.54,11.04,17955,18847846.0,4.44,1.69,0.19,2.35
172,2024-10-18,奥福环保,688021,10.99,11.25,11.49,10.88,13807,14389169.0,5.55,2.37,0.26,1.81
171,2024-10-17,奥福环保,688021,11.27,10.99,11.27,10.93,9854,10202675.0,3.09,-0.27,-0.03,1.29
170,2024-10-16,奥福环保,688021,11.01,11.02,11.3,10.84,11217,11479984.0,4.14,-0.9,-0.1,1.47
169,2024-10-15,奥福环保,688021,11.22,11.12,11.41,11.0,12812,13396373.0,3.65,-0.89,-0.1,1.68
168,2024-10-14,奥福环保,688021,10.78,11.22,11.25,10.7,19030,19506879.0,5.15,5.15,0.55,2.49
167,2024-10-11,奥福环保,688021,11.08,10.67,11.08,10.53,22619,22687145.0,5.0,-2.91,-0.32,2.96
166,2024-10-10,奥福环保,688021,10.93,10.99,11.64,10.86,21251,21886137.0,7.14,0.55,0.06,2.78
165,2024-10-09,奥福环保,688021,11.78,10.93,11.78,10.9,42679,45373680.0,7.24,-10.04,-1.22,5.59
164,2024-10-08,奥福环保,688021,12.77,12.15,12.77,11.39,44295,49128089.0,12.68,11.67,1.27,5.8
163,2024-09-30,奥福环保,688021,10.13,10.88,11.16,9.96,36069,35135390.0,12.36,12.05,1.17,4.72
162,2024-09-27,奥福环保,688021,9.29,9.71,9.97,9.28,11108,9700725.0,7.53,6.0,0.55,1.45
161,2024-09-26,奥福环保,688021,8.85,9.16,9.18,8.83,9971,8227503.0,3.95,3.5,0.31,1.3
