,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,瀚川智能,688022,17.34,16.77,17.81,16.74,82109,97234902.0,5.93,-7.04,-1.27,4.67
239,2025-01-24,瀚川智能,688022,16.92,18.04,18.16,16.69,87095,106304766.0,8.72,7.06,1.19,4.95
238,2025-01-23,瀚川智能,688022,17.09,16.85,17.86,16.85,58188,70070897.0,6.06,1.14,0.19,3.31
237,2025-01-22,瀚川智能,688022,17.08,16.66,17.08,16.57,23448,27099498.0,2.99,-2.34,-0.4,1.33
236,2025-01-21,瀚川智能,688022,17.23,17.06,17.3,16.69,27675,32463295.0,3.58,0.0,0.0,1.57
235,2025-01-20,瀚川智能,688022,17.34,17.06,17.41,16.84,25239,29836717.0,3.33,-0.41,-0.07,1.44
234,2025-01-17,瀚川智能,688022,17.36,17.13,17.61,17.02,33503,39900855.0,3.39,-1.5,-0.26,1.9
233,2025-01-16,瀚川智能,688022,17.79,17.39,18.06,17.25,40078,48895602.0,4.61,-1.02,-0.18,2.28
232,2025-01-15,瀚川智能,688022,17.85,17.57,18.03,17.43,43873,53609518.0,3.4,-0.57,-0.1,2.49
231,2025-01-14,瀚川智能,688022,16.01,17.67,17.89,16.01,68573,80757472.0,11.71,10.02,1.61,3.9
230,2025-01-13,瀚川智能,688022,15.83,16.06,16.42,15.52,39704,43644558.0,5.56,-0.86,-0.14,2.26
229,2025-01-10,瀚川智能,688022,17.55,16.2,18.0,16.2,74948,88024593.0,10.45,-5.98,-1.03,4.26
228,2025-01-09,瀚川智能,688022,17.26,17.23,17.58,17.05,65136,77640134.0,3.05,-0.75,-0.13,3.7
227,2025-01-08,瀚川智能,688022,17.53,17.36,17.62,16.95,72565,87042183.0,3.82,-0.97,-0.17,4.13
226,2025-01-07,瀚川智能,688022,17.79,17.53,17.79,16.81,94908,113544012.0,5.51,-1.46,-0.26,5.4
225,2025-01-06,瀚川智能,688022,15.24,17.79,17.79,15.17,95274,110589153.0,17.56,19.24,2.87,5.42
224,2025-01-03,瀚川智能,688022,15.65,14.92,15.76,14.73,34935,36484219.0,6.58,-4.66,-0.73,1.99
223,2025-01-02,瀚川智能,688022,15.92,15.65,16.18,15.36,25744,27970030.0,5.15,-1.7,-0.27,1.46
222,2024-12-31,瀚川智能,688022,16.52,15.92,16.55,15.89,26794,29840001.0,4.05,-2.21,-0.36,1.52
221,2024-12-30,瀚川智能,688022,16.66,16.28,16.67,15.97,27807,31299291.0,4.18,-2.69,-0.45,1.58
220,2024-12-27,瀚川智能,688022,16.83,16.73,17.22,16.53,30814,36146290.0,4.13,0.12,0.02,1.75
219,2024-12-26,瀚川智能,688022,16.36,16.71,16.9,16.35,26317,30351077.0,3.36,1.95,0.32,1.5
218,2024-12-25,瀚川智能,688022,17.02,16.39,17.13,16.18,41972,47685580.0,5.55,-4.32,-0.74,2.39
217,2024-12-24,瀚川智能,688022,17.81,17.13,17.88,16.74,46809,55653813.0,6.5,-2.39,-0.42,2.66
216,2024-12-23,瀚川智能,688022,19.0,17.55,19.08,17.48,57718,72016679.0,8.43,-7.53,-1.43,3.28
215,2024-12-20,瀚川智能,688022,18.69,18.98,19.26,18.51,43814,57603055.0,3.98,0.64,0.12,2.49
214,2024-12-19,瀚川智能,688022,18.52,18.86,19.12,18.49,42104,54876633.0,3.36,0.48,0.09,2.39
213,2024-12-18,瀚川智能,688022,19.19,18.77,19.36,18.44,55744,72670684.0,4.75,-3.1,-0.6,3.17
212,2024-12-17,瀚川智能,688022,20.52,19.37,20.86,18.97,80800,110473326.0,9.21,-5.6,-1.15,4.59
211,2024-12-16,瀚川智能,688022,20.4,20.52,20.66,19.49,70190,97619763.0,5.83,2.24,0.45,3.99
210,2024-12-13,瀚川智能,688022,20.26,20.07,21.21,19.86,87754,124398980.0,6.6,-1.86,-0.38,4.99
209,2024-12-12,瀚川智能,688022,21.08,20.45,21.29,20.03,115396,164849573.0,5.87,-4.71,-1.01,6.56
