,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,思科瑞,688053,23.47,22.41,23.49,22.4,14408,32328270.0,4.69,-3.57,-0.83,3.33
239,2025-01-24,思科瑞,688053,23.44,23.24,23.44,22.74,15436,35140088.0,3.02,0.13,0.03,3.57
238,2025-01-23,思科瑞,688053,23.76,23.21,24.23,23.21,18121,42489884.0,4.34,-1.23,-0.29,4.19
237,2025-01-22,思科瑞,688053,24.11,23.5,24.27,23.38,16436,38503861.0,3.72,-1.67,-0.4,3.8
236,2025-01-21,思科瑞,688053,24.1,23.9,24.44,23.76,26236,62352644.0,2.78,-2.33,-0.57,6.06
235,2025-01-20,思科瑞,688053,25.49,24.47,25.54,23.24,49836,118795836.0,8.25,-12.2,-3.4,11.52
234,2025-01-17,思科瑞,688053,27.24,27.87,28.49,27.03,11261,30946182.0,5.27,0.65,0.18,2.6
233,2025-01-16,思科瑞,688053,27.63,27.69,28.21,27.15,8191,22403922.0,3.86,0.73,0.2,1.89
232,2025-01-15,思科瑞,688053,28.01,27.49,28.02,27.41,8790,24024444.0,2.18,-1.86,-0.52,2.03
231,2025-01-14,思科瑞,688053,26.71,28.01,28.09,26.6,12636,34358645.0,5.61,5.42,1.44,2.92
230,2025-01-13,思科瑞,688053,26.61,26.57,27.1,25.69,9138,23840972.0,5.28,-0.56,-0.15,2.11
229,2025-01-10,思科瑞,688053,27.17,26.72,28.26,26.71,12325,33471635.0,5.67,-2.34,-0.64,2.85
228,2025-01-09,思科瑞,688053,27.0,27.36,27.77,26.51,9868,26624500.0,4.69,1.94,0.52,2.28
227,2025-01-08,思科瑞,688053,26.42,26.84,27.4,26.01,13352,35056035.0,5.22,0.75,0.2,3.09
226,2025-01-07,思科瑞,688053,25.59,26.64,26.87,25.59,14046,36293845.0,5.0,4.02,1.03,3.25
225,2025-01-06,思科瑞,688053,25.89,25.61,26.44,25.41,11005,28164924.0,3.9,-3.14,-0.83,2.54
