,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,世华科技,688093,28.53,29.27,29.31,28.52,15988,30879520.0,2.76,2.09,0.6,0.61
240,2025-01-23,世华科技,688093,29.33,28.67,29.54,28.67,19003,36924008.0,3.0,-1.21,-0.35,0.72
239,2025-01-22,世华科技,688093,29.44,29.02,29.61,28.91,20748,40553623.0,2.38,-1.53,-0.45,0.79
238,2025-01-21,世华科技,688093,29.26,29.47,29.47,28.78,21510,41908542.0,2.38,1.55,0.45,0.82
237,2025-01-20,世华科技,688093,28.17,29.02,29.59,27.82,35308,67699491.0,6.36,4.31,1.2,1.34
236,2025-01-17,世华科技,688093,27.35,27.82,28.0,27.09,31931,58491500.0,3.31,1.2,0.33,1.22
235,2025-01-16,世华科技,688093,27.4,27.49,27.66,27.13,21345,38837514.0,1.95,1.03,0.28,0.81
234,2025-01-15,世华科技,688093,27.76,27.21,27.86,27.12,14885,27099749.0,2.67,-1.98,-0.55,0.57
233,2025-01-14,世华科技,688093,26.6,27.76,27.79,26.43,26507,48157355.0,5.12,4.44,1.18,1.01
232,2025-01-13,世华科技,688093,26.88,26.58,27.09,26.14,24226,42695400.0,3.53,-1.26,-0.34,0.92
231,2025-01-10,世华科技,688093,27.58,26.92,28.21,26.92,30789,56464395.0,4.7,-1.82,-0.5,1.17
230,2025-01-09,世华科技,688093,28.28,27.42,29.01,27.41,37766,70967058.0,5.81,-0.51,-0.14,1.44
229,2025-01-08,世华科技,688093,26.67,27.56,27.86,26.46,42330,76056171.0,5.24,3.22,0.86,1.61
228,2025-01-07,世华科技,688093,28.49,26.7,28.59,26.26,62889,113399376.0,8.1,-7.13,-2.05,2.39
227,2025-01-06,世华科技,688093,28.77,28.75,29.31,27.93,29050,55636806.0,4.7,-2.01,-0.59,1.11
226,2025-01-03,世华科技,688093,29.64,29.34,30.22,29.27,21292,42146629.0,3.2,-1.28,-0.38,0.81
225,2025-01-02,世华科技,688093,30.17,29.72,30.34,29.27,24648,49096786.0,3.55,-1.43,-0.43,0.94
224,2024-12-31,世华科技,688093,30.31,30.15,30.56,29.75,16696,33716653.0,2.67,-0.79,-0.24,0.64
223,2024-12-30,世华科技,688093,29.83,30.39,30.7,29.33,28646,57862391.0,4.59,1.88,0.56,1.09
222,2024-12-27,世华科技,688093,30.28,29.83,30.45,29.69,22099,44421924.0,2.53,-0.57,-0.17,0.84
