,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,中国电研,688128,23.45,23.79,23.8,23.45,28845,63143402.0,1.5,1.62,0.38,0.71
240,2025-01-23,中国电研,688128,23.58,23.41,23.88,23.41,32256,70434216.0,2.01,0.04,0.01,0.8
239,2025-01-22,中国电研,688128,23.66,23.4,23.67,23.2,19599,42261853.0,1.99,-1.06,-0.25,0.48
238,2025-01-21,中国电研,688128,23.45,23.65,23.7,23.3,34105,74098791.0,1.71,1.24,0.29,0.84
237,2025-01-20,中国电研,688128,23.54,23.36,23.65,23.0,36210,77724218.0,2.78,0.04,0.01,0.9
236,2025-01-17,中国电研,688128,23.13,23.35,23.67,23.13,27231,58763625.0,2.32,0.34,0.08,0.67
235,2025-01-16,中国电研,688128,23.56,23.27,23.75,23.13,28596,61843967.0,2.63,-1.36,-0.32,0.71
234,2025-01-15,中国电研,688128,23.83,23.59,23.92,23.51,34184,74834787.0,1.72,-0.97,-0.23,0.85
233,2025-01-14,中国电研,688128,22.35,23.82,24.07,22.21,61124,132270609.0,8.33,6.67,1.49,1.51
232,2025-01-13,中国电研,688128,21.5,22.33,22.53,21.5,44524,90306575.0,4.82,4.39,0.94,1.1
231,2025-01-10,中国电研,688128,21.66,21.39,21.97,21.39,24659,49046609.0,2.68,-1.02,-0.22,0.61
230,2025-01-09,中国电研,688128,21.53,21.61,21.88,21.46,22168,44154145.0,1.94,-0.28,-0.06,0.55
229,2025-01-08,中国电研,688128,21.73,21.67,21.86,21.0,26695,52611890.0,3.94,-0.78,-0.17,0.66
228,2025-01-07,中国电研,688128,21.67,21.84,21.89,21.41,22323,44365981.0,2.22,0.78,0.17,0.55
227,2025-01-06,中国电研,688128,21.54,21.67,21.86,21.39,30365,60274558.0,2.18,0.6,0.13,0.75
226,2025-01-03,中国电研,688128,22.06,21.54,22.4,21.43,27511,55380018.0,4.4,-2.36,-0.52,0.68
225,2025-01-02,中国电研,688128,22.68,22.06,22.88,21.8,33549,68936654.0,4.73,-3.29,-0.75,0.83
224,2024-12-31,中国电研,688128,23.39,22.81,23.68,22.79,30849,65769142.0,3.77,-3.31,-0.78,0.76
223,2024-12-30,中国电研,688128,23.51,23.59,23.86,23.3,22653,49429752.0,2.38,0.13,0.03,0.56
222,2024-12-27,中国电研,688128,23.8,23.56,23.87,23.47,25372,55453392.0,1.69,-0.59,-0.14,0.63
221,2024-12-26,中国电研,688128,23.34,23.7,23.77,23.31,22525,49150972.0,1.97,1.28,0.3,0.56
220,2024-12-25,中国电研,688128,23.75,23.4,23.75,23.22,21242,45880195.0,2.25,-0.85,-0.2,0.53
219,2024-12-24,中国电研,688128,23.13,23.6,23.87,23.13,30743,67039645.0,3.2,2.03,0.47,0.76
218,2024-12-23,中国电研,688128,23.6,23.13,23.66,23.0,21319,45791975.0,2.8,-1.99,-0.47,0.53
217,2024-12-20,中国电研,688128,23.26,23.6,23.71,23.1,26141,56613999.0,2.62,1.29,0.3,0.65
216,2024-12-19,中国电研,688128,23.08,23.3,23.4,22.88,26681,56991643.0,2.24,0.43,0.1,0.66
215,2024-12-18,中国电研,688128,23.05,23.2,23.46,22.99,27546,59055532.0,2.04,0.91,0.21,0.68
214,2024-12-17,中国电研,688128,23.2,22.99,23.42,22.89,24778,52857559.0,2.28,-0.91,-0.21,0.61
213,2024-12-16,中国电研,688128,23.43,23.2,23.48,22.99,25271,54117472.0,2.09,-0.85,-0.2,0.62
212,2024-12-13,中国电研,688128,23.86,23.4,24.0,23.33,31220,68064678.0,2.79,-2.54,-0.61,0.77
211,2024-12-12,中国电研,688128,24.12,24.01,24.18,23.87,30351,67480772.0,1.29,-0.17,-0.04,0.75
210,2024-12-11,中国电研,688128,24.0,24.05,24.14,23.83,26703,59292219.0,1.29,0.29,0.07,0.66
209,2024-12-10,中国电研,688128,24.6,23.98,24.69,23.91,39481,88633223.0,3.28,0.76,0.18,0.98
208,2024-12-09,中国电研,688128,23.88,23.8,24.03,23.46,25584,56291990.0,2.39,-0.34,-0.08,0.63
207,2024-12-06,中国电研,688128,23.8,23.88,24.03,23.38,28157,61724442.0,2.74,0.76,0.18,0.7
206,2024-12-05,中国电研,688128,23.18,23.7,24.11,23.1,32678,71456227.0,4.34,1.76,0.41,0.81
205,2024-12-04,中国电研,688128,23.65,23.29,23.69,23.09,28722,62038605.0,2.53,-1.85,-0.44,0.71
204,2024-12-03,中国电研,688128,23.72,23.73,23.86,23.45,28956,63371780.0,1.73,0.08,0.02,0.72
203,2024-12-02,中国电研,688128,23.45,23.71,24.1,23.4,31634,69421684.0,2.99,1.41,0.33,0.78
202,2024-11-29,中国电研,688128,22.96,23.38,23.78,22.83,32666,70443241.0,4.14,1.83,0.42,0.81
201,2024-11-28,中国电研,688128,23.21,22.96,23.29,22.87,26107,55630398.0,1.81,-1.12,-0.26,0.65
200,2024-11-27,中国电研,688128,22.55,23.22,23.23,22.02,35603,74028922.0,5.34,2.38,0.54,0.88
199,2024-11-26,中国电研,688128,22.99,22.68,23.1,22.5,28424,59590621.0,2.61,-1.35,-0.31,0.7
198,2024-11-25,中国电研,688128,22.77,22.99,23.03,22.53,32597,68449462.0,2.2,0.97,0.22,0.81
197,2024-11-22,中国电研,688128,23.89,22.77,23.89,22.7,42294,90748225.0,4.98,-4.73,-1.13,1.05
196,2024-11-21,中国电研,688128,24.23,23.9,24.23,23.62,31657,69964380.0,2.52,-1.2,-0.29,0.78
195,2024-11-20,中国电研,688128,24.0,24.19,24.53,23.85,42007,93837299.0,2.82,0.37,0.09,1.04
194,2024-11-19,中国电研,688128,23.2,24.1,24.15,23.1,55407,121727636.0,4.51,3.61,0.84,1.37
193,2024-11-18,中国电研,688128,23.49,23.26,24.26,22.99,48910,106463891.0,5.44,-0.39,-0.09,1.21
192,2024-11-15,中国电研,688128,23.88,23.35,24.26,23.31,43617,95999715.0,3.98,-2.22,-0.53,1.08
191,2024-11-14,中国电研,688128,24.62,23.88,24.79,23.8,46017,103232341.0,3.99,-3.71,-0.92,1.14
190,2024-11-13,中国电研,688128,24.52,24.8,25.28,24.46,45961,105473538.0,3.31,0.12,0.03,1.14
189,2024-11-12,中国电研,688128,25.58,24.77,25.58,24.51,77975,179999066.0,4.19,-3.05,-0.78,1.93
188,2024-11-11,中国电研,688128,24.07,25.55,26.46,23.8,99005,231799635.0,11.07,6.37,1.53,2.45
187,2024-11-08,中国电研,688128,24.12,24.02,24.52,23.88,58188,129925750.0,2.7,1.18,0.28,1.44
186,2024-11-07,中国电研,688128,23.08,23.74,23.75,22.82,47689,103286238.0,4.0,2.06,0.48,1.18
185,2024-11-06,中国电研,688128,23.38,23.26,23.74,23.08,48800,105699297.0,2.82,-0.51,-0.12,1.21
184,2024-11-05,中国电研,688128,22.76,23.38,23.55,22.62,46471,99405548.0,4.1,2.95,0.67,1.15
183,2024-11-04,中国电研,688128,22.14,22.71,22.78,22.14,38164,79365211.0,2.87,1.98,0.44,0.94
182,2024-11-01,中国电研,688128,22.91,22.27,22.99,22.18,54508,113213724.0,3.51,-3.38,-0.78,1.35
181,2024-10-31,中国电研,688128,23.15,23.05,23.29,22.6,54994,116564492.0,2.99,0.04,0.01,1.36
180,2024-10-30,中国电研,688128,22.56,23.04,23.28,22.56,52906,111963564.0,3.18,1.68,0.38,1.31
179,2024-10-29,中国电研,688128,23.13,22.66,23.3,22.6,59465,125314790.0,3.08,-0.18,-0.04,1.47
178,2024-10-28,中国电研,688128,22.48,22.7,22.72,22.3,34019,70512456.0,1.87,0.84,0.19,0.84
177,2024-10-25,中国电研,688128,22.05,22.51,22.65,21.97,41710,85750133.0,3.09,2.18,0.48,1.03
176,2024-10-24,中国电研,688128,22.1,22.03,22.18,21.85,29223,59027086.0,1.49,-0.68,-0.15,0.72
175,2024-10-23,中国电研,688128,22.13,22.18,22.61,21.89,43079,88131190.0,3.26,0.5,0.11,1.07
174,2024-10-22,中国电研,688128,22.28,22.07,22.35,21.8,40788,82430757.0,2.47,-0.85,-0.19,1.01
173,2024-10-21,中国电研,688128,21.96,22.26,22.84,21.92,67329,138712809.0,4.24,2.49,0.54,1.66
172,2024-10-18,中国电研,688128,20.8,21.72,22.34,20.8,65220,128663853.0,7.37,3.97,0.83,1.61
171,2024-10-17,中国电研,688128,21.07,20.89,21.41,20.84,29627,57297674.0,2.71,-0.67,-0.14,0.73
170,2024-10-16,中国电研,688128,21.03,21.03,21.43,20.86,33031,63750772.0,2.67,-1.41,-0.3,0.82
169,2024-10-15,中国电研,688128,21.7,21.33,22.12,21.3,52171,104144278.0,3.74,-2.65,-0.58,1.29
168,2024-10-14,中国电研,688128,21.06,21.91,22.08,20.95,64196,126200306.0,5.36,3.84,0.81,1.59
167,2024-10-11,中国电研,688128,22.73,21.1,22.73,20.8,93076,183884909.0,8.21,-10.29,-2.42,2.3
166,2024-10-10,中国电研,688128,21.99,23.52,25.28,21.42,138621,300203737.0,17.67,7.69,1.68,3.43
165,2024-10-09,中国电研,688128,23.24,21.84,23.53,21.62,84180,175553699.0,7.73,-11.58,-2.86,2.08
164,2024-10-08,中国电研,688128,25.89,24.7,25.89,23.01,120782,272610939.0,13.1,12.37,2.72,2.99
163,2024-09-30,中国电研,688128,20.63,21.98,22.38,20.21,90396,176758533.0,11.03,11.74,2.31,2.23
162,2024-09-27,中国电研,688128,19.3,19.67,19.78,19.1,23416,41234017.0,3.59,3.91,0.74,0.58
161,2024-09-26,中国电研,688128,18.33,18.93,18.98,18.32,24299,41028392.0,3.58,2.66,0.49,0.6
160,2024-09-25,中国电研,688128,18.25,18.44,18.83,18.25,26384,44166905.0,3.19,1.49,0.27,0.65
159,2024-09-24,中国电研,688128,17.52,18.17,18.19,17.52,18892,30414019.0,3.84,4.13,0.72,0.47
158,2024-09-23,中国电研,688128,17.43,17.45,17.63,17.29,10092,15812976.0,1.95,0.06,0.01,0.25
157,2024-09-20,中国电研,688128,17.65,17.44,17.72,17.32,9150,14330413.0,2.27,-1.25,-0.22,0.23
