,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
231,2025-01-24,海尔生物,688139,33.71,33.93,34.41,33.69,21110,67675659.0,2.13,0.24,0.08,0.66
230,2025-01-23,海尔生物,688139,34.27,33.85,34.58,33.83,20672,66449717.0,2.21,-0.29,-0.1,0.65
229,2025-01-22,海尔生物,688139,33.93,33.95,34.09,33.45,25908,82134716.0,1.89,0.0,0.0,0.81
228,2025-01-21,海尔生物,688139,33.98,33.95,34.23,33.61,18946,60559834.0,1.83,0.41,0.14,0.6
227,2025-01-20,海尔生物,688139,34.45,33.81,35.11,33.74,30845,99090911.0,4.0,-1.34,-0.46,0.97
226,2025-01-17,海尔生物,688139,34.52,34.27,35.08,34.2,28731,93330783.0,2.55,-0.75,-0.26,0.9
225,2025-01-16,海尔生物,688139,33.79,34.53,34.83,33.53,39985,129088391.0,3.86,2.65,0.89,1.26
224,2025-01-15,海尔生物,688139,34.33,33.64,34.33,33.39,33211,105263990.0,2.73,-2.18,-0.75,1.04
223,2025-01-14,海尔生物,688139,33.34,34.39,34.49,33.08,34227,109021925.0,4.23,3.15,1.05,1.08
222,2025-01-13,海尔生物,688139,33.11,33.34,33.49,32.6,23869,74352146.0,2.69,0.79,0.26,0.75
221,2025-01-10,海尔生物,688139,33.53,33.08,33.69,32.93,33618,104795645.0,2.26,-1.43,-0.48,1.06
220,2025-01-09,海尔生物,688139,32.98,33.56,34.31,32.71,40748,128688655.0,4.83,1.36,0.45,1.28
219,2025-01-08,海尔生物,688139,32.93,33.11,33.33,31.74,67160,205083395.0,4.76,-0.96,-0.32,2.11
218,2025-01-07,海尔生物,688139,32.63,33.43,35.04,32.13,103133,322518404.0,7.82,-10.21,-3.8,3.24
217,2024-12-20,海尔生物,688139,37.12,37.23,37.96,36.97,34693,122444048.0,2.67,0.38,0.14,1.09
216,2024-12-19,海尔生物,688139,36.18,37.09,37.4,35.73,31165,107810642.0,4.58,1.64,0.6,0.98
215,2024-12-18,海尔生物,688139,36.54,36.49,36.98,36.06,22668,78068143.0,2.54,0.8,0.29,0.71
214,2024-12-17,海尔生物,688139,36.71,36.2,36.78,35.91,28602,98320177.0,2.37,-1.44,-0.53,0.9
213,2024-12-16,海尔生物,688139,37.3,36.73,37.82,36.47,38753,135316997.0,3.62,-1.53,-0.57,1.22
212,2024-12-13,海尔生物,688139,38.53,37.3,38.64,37.04,57620,204707329.0,4.17,-2.74,-1.05,1.81
211,2024-12-12,海尔生物,688139,38.28,38.35,40.53,38.03,80264,297499118.0,6.53,0.18,0.07,2.52
210,2024-12-11,海尔生物,688139,36.18,38.28,38.9,36.18,66689,239529273.0,7.53,5.92,2.14,2.1
209,2024-12-10,海尔生物,688139,36.42,36.14,36.73,36.14,42098,144822567.0,1.68,2.64,0.93,1.32
208,2024-12-09,海尔生物,688139,36.13,35.21,36.51,35.04,34221,114389155.0,4.06,-2.73,-0.99,1.08
207,2024-12-06,海尔生物,688139,35.91,36.2,36.3,34.98,29709,100189511.0,3.73,2.32,0.82,0.93
206,2024-12-05,海尔生物,688139,34.93,35.38,35.66,34.89,19164,63753078.0,2.19,0.86,0.3,0.6
205,2024-12-04,海尔生物,688139,35.7,35.08,35.71,34.91,19782,65721862.0,2.24,-1.76,-0.63,0.62
204,2024-12-03,海尔生物,688139,35.82,35.71,36.15,35.06,21916,73559439.0,3.05,-0.17,-0.06,0.69
203,2024-12-02,海尔生物,688139,35.16,35.77,36.58,34.84,28793,97323454.0,4.93,1.3,0.46,0.91
