,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,巨一科技,688162,23.42,23.92,24.07,23.21,19418,44407579.0,3.68,2.35,0.55,3.11
240,2025-01-23,巨一科技,688162,23.66,23.37,24.11,23.37,15499,35523499.0,3.17,0.17,0.04,2.48
239,2025-01-22,巨一科技,688162,23.8,23.33,23.81,23.16,14319,32286988.0,2.73,-2.18,-0.52,2.29
238,2025-01-21,巨一科技,688162,24.05,23.85,24.33,23.71,17278,39968843.0,2.58,-0.63,-0.15,2.76
237,2025-01-20,巨一科技,688162,23.88,24.0,24.73,23.88,21429,50002103.0,3.6,1.52,0.36,3.43
236,2025-01-17,巨一科技,688162,23.91,23.64,24.21,23.34,37171,84955438.0,3.62,-1.75,-0.42,5.95
235,2025-01-16,巨一科技,688162,27.21,24.06,27.36,23.73,63312,154510199.0,13.08,-13.3,-3.69,10.13
234,2025-01-15,巨一科技,688162,26.45,27.75,28.84,26.05,26431,70852703.0,10.5,4.44,1.18,4.23
233,2025-01-14,巨一科技,688162,24.61,26.57,27.15,24.61,19083,48262685.0,10.32,7.96,1.96,3.05
232,2025-01-13,巨一科技,688162,24.73,24.61,25.19,23.9,9046,21412371.0,5.19,-0.97,-0.24,1.45
231,2025-01-10,巨一科技,688162,25.69,24.85,26.05,24.85,17985,44099796.0,4.66,-3.46,-0.89,2.88
230,2025-01-09,巨一科技,688162,25.1,25.74,26.17,25.1,10123,25173460.0,4.12,-0.85,-0.22,1.62
229,2025-01-08,巨一科技,688162,25.16,25.96,26.43,24.17,27881,67964142.0,8.95,2.81,0.71,4.46
228,2025-01-07,巨一科技,688162,24.29,25.25,25.51,23.96,17651,42446184.0,6.47,5.38,1.29,2.82
227,2025-01-06,巨一科技,688162,24.42,23.96,24.98,23.75,13573,31736615.0,5.04,-1.84,-0.45,2.17
226,2025-01-03,巨一科技,688162,25.33,24.41,25.65,24.3,25243,60822687.0,5.33,-3.71,-0.94,4.04
225,2025-01-02,巨一科技,688162,28.06,25.35,28.06,24.86,36965,94126708.0,11.44,-9.4,-2.63,5.91
224,2024-12-31,巨一科技,688162,27.69,27.98,29.24,27.65,24053,66581970.0,5.7,0.29,0.08,3.85
223,2024-12-30,巨一科技,688162,27.9,27.9,28.73,26.5,17639,47513709.0,8.0,0.04,0.01,2.82
222,2024-12-27,巨一科技,688162,28.65,27.89,29.02,27.57,19508,53270578.0,5.06,-2.65,-0.76,3.12
221,2024-12-26,巨一科技,688162,26.36,28.65,29.03,26.36,48946,133967869.0,10.06,7.91,2.1,7.83
220,2024-12-25,巨一科技,688162,25.99,26.55,27.03,25.38,43481,111173893.0,6.38,2.59,0.67,6.95
219,2024-12-24,巨一科技,688162,26.78,25.88,27.0,25.52,29876,75230974.0,5.54,-3.07,-0.82,4.78
218,2024-12-23,巨一科技,688162,28.71,26.7,28.85,26.2,57621,151741739.0,9.18,-7.55,-2.18,9.22
217,2024-12-20,巨一科技,688162,29.52,28.88,29.76,28.6,47090,133008539.0,3.93,-2.17,-0.64,7.53
216,2024-12-19,巨一科技,688162,30.06,29.52,30.35,28.96,43749,125337846.0,4.49,-4.62,-1.43,7.0
215,2024-12-18,巨一科技,688162,29.97,30.95,31.75,28.36,80900,239175268.0,11.64,6.28,1.83,12.94
214,2024-12-17,巨一科技,688162,27.55,29.12,30.65,27.54,83379,239419671.0,11.29,5.7,1.57,13.34
213,2024-12-16,巨一科技,688162,25.77,27.55,29.33,25.39,58277,155031583.0,15.35,7.37,1.89,9.32
212,2024-12-13,巨一科技,688162,26.17,25.66,26.97,25.66,29796,75651338.0,5.0,-2.06,-0.54,4.77
211,2024-12-12,巨一科技,688162,25.73,26.2,27.33,25.46,39794,101423809.0,7.28,1.95,0.5,6.36
210,2024-12-11,巨一科技,688162,24.36,25.7,26.35,23.97,31011,75544259.0,9.83,6.2,1.5,4.96
209,2024-12-10,巨一科技,688162,24.34,24.2,24.82,24.13,18955,45119042.0,2.9,1.64,0.39,3.03
208,2024-12-09,巨一科技,688162,23.7,23.81,24.16,23.48,12901,29956491.0,2.88,0.68,0.16,2.06
207,2024-12-06,巨一科技,688162,23.88,23.65,23.88,23.23,13394,30702181.0,2.74,-0.34,-0.08,2.14
