,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,百克生物,688276,22.97,22.61,23.36,22.58,19695,44218609.0,3.4,-1.44,-0.33,0.48
239,2025-01-24,百克生物,688276,22.81,22.94,22.95,22.69,26168,58687495.0,1.12,-1.46,-0.34,0.63
238,2025-01-23,百克生物,688276,23.4,23.28,23.65,23.26,15394,35531246.0,1.68,0.39,0.09,0.37
237,2025-01-22,百克生物,688276,23.25,23.19,23.28,23.01,11809,26843299.0,1.16,-0.51,-0.12,0.29
236,2025-01-21,百克生物,688276,23.54,23.31,23.6,23.2,12179,27921023.0,1.7,-0.81,-0.19,0.29
235,2025-01-20,百克生物,688276,23.56,23.5,23.78,23.47,14168,32828759.0,1.32,-0.13,-0.03,0.34
234,2025-01-17,百克生物,688276,23.7,23.53,23.71,23.39,16367,37860771.0,1.35,-0.8,-0.19,0.4
233,2025-01-16,百克生物,688276,23.76,23.72,24.19,23.61,16746,39292159.0,2.44,-0.38,-0.09,0.4
232,2025-01-15,百克生物,688276,24.13,23.81,24.13,23.7,16725,39142605.0,1.78,-1.37,-0.33,0.4
231,2025-01-14,百克生物,688276,23.69,24.14,24.14,23.58,26906,63378715.0,2.37,2.07,0.49,0.65
230,2025-01-13,百克生物,688276,23.3,23.65,23.68,23.19,12378,28592458.0,2.09,1.11,0.26,0.3
229,2025-01-10,百克生物,688276,23.55,23.39,23.84,23.38,13581,31408925.0,1.94,-1.31,-0.31,0.33
228,2025-01-09,百克生物,688276,24.04,23.7,24.14,23.56,17040,39987758.0,2.42,-1.29,-0.31,0.41
227,2025-01-08,百克生物,688276,24.58,24.01,24.7,23.7,21871,51809727.0,4.07,-2.4,-0.59,0.53
226,2025-01-07,百克生物,688276,25.0,24.6,25.0,24.16,19089,46062113.0,3.36,-1.6,-0.4,0.46
225,2025-01-06,百克生物,688276,24.33,25.0,25.55,24.33,28875,71087755.0,5.07,3.91,0.94,0.7
224,2025-01-03,百克生物,688276,24.42,24.06,24.76,24.03,17225,41321427.0,2.97,-2.16,-0.53,0.42
223,2025-01-02,百克生物,688276,25.51,24.59,25.51,24.5,23803,58572558.0,3.96,-3.61,-0.92,0.58
222,2024-12-31,百克生物,688276,26.48,25.51,26.61,25.51,23564,60196879.0,4.15,-3.74,-0.99,0.57
