,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,华熙生物,688363,51.35,51.5,51.79,51.02,16125,79286205.0,1.5,0.41,0.21,0.33
240,2025-01-23,华熙生物,688363,51.69,51.29,52.35,51.26,16693,82754026.0,2.13,0.0,0.0,0.35
239,2025-01-22,华熙生物,688363,51.82,51.29,51.82,50.77,16054,78443464.0,2.03,-1.06,-0.55,0.33
238,2025-01-21,华熙生物,688363,52.46,51.84,52.79,51.39,16074,79632453.0,2.67,-0.96,-0.5,0.33
237,2025-01-20,华熙生物,688363,52.83,52.34,53.22,52.26,17080,86148282.0,1.83,-0.08,-0.04,0.35
236,2025-01-17,华熙生物,688363,52.43,52.38,52.95,52.19,13802,69446858.0,1.45,-0.34,-0.18,0.29
235,2025-01-16,华熙生物,688363,52.09,52.56,53.19,52.09,20304,102317652.0,2.11,0.69,0.36,0.42
234,2025-01-15,华熙生物,688363,52.56,52.2,52.56,51.84,14473,72080283.0,1.37,-0.82,-0.43,0.3
233,2025-01-14,华熙生物,688363,51.26,52.63,52.63,50.96,24168,120334745.0,3.28,3.32,1.69,0.5
232,2025-01-13,华熙生物,688363,50.67,50.94,51.12,50.5,17884,86844652.0,1.22,0.26,0.13,0.37
231,2025-01-10,华熙生物,688363,52.4,50.81,52.61,50.8,22613,111443751.0,3.45,-3.22,-1.69,0.47
230,2025-01-09,华熙生物,688363,53.42,52.5,53.77,52.35,21769,110109351.0,2.64,-2.31,-1.24,0.45
229,2025-01-08,华熙生物,688363,52.25,53.74,53.96,52.06,33774,171896858.0,3.63,2.79,1.46,0.7
228,2025-01-07,华熙生物,688363,52.49,52.28,52.49,51.25,23660,117366691.0,2.36,-0.49,-0.26,0.49
227,2025-01-06,华熙生物,688363,52.15,52.54,53.04,51.78,19653,98605744.0,2.42,0.86,0.45,0.41
226,2025-01-03,华熙生物,688363,52.88,52.09,53.6,51.26,27283,137687934.0,4.4,-1.98,-1.05,0.57
225,2025-01-02,华熙生物,688363,53.37,53.14,54.33,52.56,28206,144364252.0,3.32,-0.3,-0.16,0.59
224,2024-12-31,华熙生物,688363,54.76,53.3,55.13,53.29,22985,119200480.0,3.37,-2.52,-1.38,0.48
223,2024-12-30,华熙生物,688363,55.36,54.68,55.76,54.43,24668,129657323.0,2.4,-1.48,-0.82,0.51
222,2024-12-27,华熙生物,688363,55.8,55.5,56.02,55.28,24074,128452402.0,1.33,-0.48,-0.27,0.5
221,2024-12-26,华熙生物,688363,56.26,55.77,56.56,55.72,16531,88856090.0,1.49,-0.87,-0.49,0.34
220,2024-12-25,华熙生物,688363,56.94,56.26,57.09,55.7,19691,105946879.0,2.44,-1.06,-0.6,0.41
219,2024-12-24,华熙生物,688363,56.46,56.86,57.09,56.21,18764,102058965.0,1.56,1.07,0.6,0.39
218,2024-12-23,华熙生物,688363,57.61,56.26,58.04,56.12,24514,133784479.0,3.34,-2.22,-1.28,0.51
217,2024-12-20,华熙生物,688363,57.26,57.54,59.15,57.2,33060,184492693.0,3.41,0.59,0.34,0.69
216,2024-12-19,华熙生物,688363,57.86,57.2,57.86,56.51,29515,161490332.0,2.33,-1.48,-0.86,0.61
215,2024-12-18,华熙生物,688363,59.42,58.06,59.46,58.02,29393,165697016.0,2.44,-1.81,-1.07,0.61
214,2024-12-17,华熙生物,688363,59.73,59.13,59.77,58.41,32804,186565589.0,2.28,-0.97,-0.58,0.68
213,2024-12-16,华熙生物,688363,63.76,59.71,63.76,59.38,62795,366844115.0,6.96,-5.1,-3.21,1.3
212,2024-12-13,华熙生物,688363,64.26,62.92,64.75,62.48,96287,590943907.0,3.52,-2.53,-1.63,2.0
211,2024-12-12,华熙生物,688363,62.48,64.55,64.86,62.29,66212,409817851.0,4.09,2.75,1.73,1.37
210,2024-12-11,华熙生物,688363,62.24,62.82,63.66,61.64,43298,261897078.0,3.24,0.74,0.46,0.9
209,2024-12-10,华熙生物,688363,64.37,62.36,65.25,61.96,68919,420330871.0,5.43,2.94,1.78,1.43
208,2024-12-09,华熙生物,688363,61.4,60.58,61.85,60.31,24393,143123194.0,2.5,-1.53,-0.94,0.51
207,2024-12-06,华熙生物,688363,59.96,61.52,61.7,59.65,28757,168217536.0,3.42,2.6,1.56,0.6
206,2024-12-05,华熙生物,688363,60.14,59.96,60.4,59.55,17665,101894396.0,1.41,-0.38,-0.23,0.37
205,2024-12-04,华熙生物,688363,61.6,60.19,61.8,59.86,25984,152071612.0,3.14,-2.46,-1.52,0.54
204,2024-12-03,华熙生物,688363,62.67,61.71,62.94,61.51,27174,162459259.0,2.29,-1.39,-0.87,0.56
203,2024-12-02,华熙生物,688363,61.43,62.58,63.14,60.76,32656,196101239.0,3.87,1.89,1.16,0.68
