,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,青达环保,688501,18.96,18.62,19.03,18.6,7096,9960741.0,2.28,-1.38,-0.26,0.58
239,2025-01-24,青达环保,688501,18.71,18.88,18.95,18.38,18036,25112836.0,3.06,1.4,0.26,1.47
238,2025-01-23,青达环保,688501,18.82,18.62,19.0,18.52,12279,17213288.0,2.57,-0.16,-0.03,1.0
237,2025-01-22,青达环保,688501,18.99,18.65,19.18,18.56,10828,15191157.0,3.23,-2.76,-0.53,0.88
236,2025-01-21,青达环保,688501,18.99,19.18,19.26,18.82,10800,15400593.0,2.32,1.0,0.19,0.88
235,2025-01-20,青达环保,688501,18.94,18.99,19.14,18.68,11658,16481055.0,2.45,1.28,0.24,0.95
234,2025-01-17,青达环保,688501,18.22,18.75,18.88,18.06,14094,19563080.0,4.5,2.91,0.53,1.15
233,2025-01-16,青达环保,688501,18.19,18.22,18.44,18.03,6564,8913164.0,2.25,0.16,0.03,0.53
232,2025-01-15,青达环保,688501,18.26,18.19,18.36,18.01,7063,9571194.0,1.91,-0.55,-0.1,0.57
231,2025-01-14,青达环保,688501,17.53,18.29,18.31,17.51,12718,17067382.0,4.6,5.11,0.89,1.03
230,2025-01-13,青达环保,688501,17.22,17.4,17.53,17.04,9392,12103523.0,2.82,0.23,0.04,0.76
229,2025-01-10,青达环保,688501,17.86,17.36,17.97,17.36,11530,15151942.0,3.41,-2.85,-0.51,0.94
228,2025-01-09,青达环保,688501,17.95,17.87,17.97,17.61,7988,10611421.0,2.01,-0.06,-0.01,0.65
227,2025-01-08,青达环保,688501,17.86,17.88,17.96,17.32,8679,11420085.0,3.59,0.28,0.05,0.71
226,2025-01-07,青达环保,688501,17.86,17.83,18.03,17.43,12387,16307531.0,3.39,0.73,0.13,1.01
225,2025-01-06,青达环保,688501,17.86,17.7,18.0,16.95,10726,14124511.0,5.88,-0.9,-0.16,0.87
224,2025-01-03,青达环保,688501,18.57,17.86,18.57,17.8,14576,19651281.0,4.16,-3.56,-0.66,1.18
223,2025-01-02,青达环保,688501,18.77,18.52,18.96,18.38,13974,19380425.0,3.08,-1.54,-0.29,1.14
222,2024-12-31,青达环保,688501,19.34,18.81,19.34,18.65,15880,22418446.0,3.59,-2.03,-0.39,1.29
221,2024-12-30,青达环保,688501,18.69,19.2,19.57,18.32,25311,36186092.0,6.72,3.17,0.59,2.06
220,2024-12-27,青达环保,688501,18.53,18.61,18.88,18.53,7602,10598488.0,1.89,0.43,0.08,0.62
219,2024-12-26,青达环保,688501,18.43,18.53,18.71,18.43,8111,11240427.0,1.52,0.71,0.13,0.66
218,2024-12-25,青达环保,688501,18.65,18.4,18.94,18.25,14200,19503332.0,3.66,-2.44,-0.46,1.15
217,2024-12-24,青达环保,688501,18.82,18.86,18.99,18.55,12570,17608463.0,2.37,1.4,0.26,1.02
216,2024-12-23,青达环保,688501,19.55,18.6,19.66,18.42,22127,31157070.0,6.31,-5.34,-1.05,1.8
215,2024-12-20,青达环保,688501,18.81,19.65,19.7,18.57,19039,27370767.0,6.03,4.86,0.91,1.55
214,2024-12-19,青达环保,688501,18.65,18.74,18.87,18.48,9929,13809264.0,2.08,-0.05,-0.01,0.81
213,2024-12-18,青达环保,688501,18.92,18.75,19.2,18.7,11809,16678861.0,2.64,-0.9,-0.17,0.96
212,2024-12-17,青达环保,688501,19.87,18.92,19.87,18.83,16680,23829354.0,5.26,-4.35,-0.86,1.36
211,2024-12-16,青达环保,688501,19.61,19.78,19.96,19.44,14786,21783914.0,2.66,1.18,0.23,1.2
210,2024-12-13,青达环保,688501,19.92,19.55,20.08,19.55,15339,22653862.0,2.65,-2.3,-0.46,1.25
209,2024-12-12,青达环保,688501,20.01,20.01,20.11,19.72,14117,21005630.0,1.95,0.0,0.0,1.15
208,2024-12-11,青达环保,688501,20.18,20.01,20.33,19.85,12040,18013223.0,2.38,-0.84,-0.17,0.98
207,2024-12-10,青达环保,688501,20.86,20.18,20.9,20.08,18873,28773577.0,4.06,0.0,0.0,1.53
206,2024-12-09,青达环保,688501,20.69,20.18,20.74,19.95,21849,33016118.0,3.82,-2.32,-0.48,1.78
205,2024-12-06,青达环保,688501,19.65,20.66,20.78,19.29,48787,73975528.0,7.64,5.89,1.15,3.96
204,2024-12-05,青达环保,688501,19.31,19.51,19.66,19.29,10017,14587552.0,1.92,1.04,0.2,0.81
203,2024-12-04,青达环保,688501,19.66,19.31,19.87,19.16,15386,22395628.0,3.59,-2.38,-0.47,1.25
202,2024-12-03,青达环保,688501,20.07,19.78,20.07,19.55,19638,28983765.0,2.61,-0.9,-0.18,1.6
201,2024-12-02,青达环保,688501,20.43,19.96,20.43,19.72,24737,37096879.0,3.53,-0.84,-0.17,2.01
200,2024-11-29,青达环保,688501,19.98,20.13,20.3,19.75,22475,33789419.0,2.75,0.7,0.14,1.83
199,2024-11-28,青达环保,688501,19.99,19.99,20.13,19.79,13218,19776653.0,1.7,0.0,0.0,1.07
