,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,航亚科技,688510,16.0,16.24,16.29,15.8,23350,36875506.0,3.07,1.63,0.26,0.9
240,2025-01-23,航亚科技,688510,16.11,15.98,16.5,15.97,34277,54638178.0,3.35,0.88,0.14,1.33
239,2025-01-22,航亚科技,688510,15.75,15.84,16.0,15.7,21606,33557768.0,1.89,-0.13,-0.02,0.84
238,2025-01-21,航亚科技,688510,15.79,15.86,15.9,15.63,14922,23117821.0,1.71,0.44,0.07,0.58
237,2025-01-20,航亚科技,688510,15.76,15.79,15.95,15.61,22398,34708787.0,2.17,0.83,0.13,0.87
236,2025-01-17,航亚科技,688510,15.6,15.66,15.76,15.33,22220,33951757.0,2.79,1.49,0.23,0.86
235,2025-01-16,航亚科技,688510,15.59,15.43,15.75,15.33,21098,32099903.0,2.71,-0.58,-0.09,0.82
234,2025-01-15,航亚科技,688510,15.63,15.52,15.8,15.45,21066,32147177.0,2.23,-1.21,-0.19,0.82
233,2025-01-14,航亚科技,688510,15.36,15.71,15.77,15.28,52216,80001145.0,3.2,2.68,0.41,2.02
232,2025-01-13,航亚科技,688510,15.18,15.3,15.51,14.8,22756,33999073.0,4.67,0.72,0.11,0.88
231,2025-01-10,航亚科技,688510,15.47,15.19,15.75,15.19,21868,33167879.0,3.61,-2.0,-0.31,0.85
230,2025-01-09,航亚科技,688510,15.61,15.5,15.79,15.45,34548,52803358.0,2.18,-0.58,-0.09,1.34
229,2025-01-08,航亚科技,688510,15.94,15.59,15.95,15.28,24894,38131260.0,4.22,-1.89,-0.3,0.96
228,2025-01-07,航亚科技,688510,15.72,15.89,15.95,15.52,15139,23356748.0,2.75,1.53,0.24,0.59
227,2025-01-06,航亚科技,688510,15.75,15.65,16.06,15.5,15469,23931510.0,3.53,-1.26,-0.2,0.6
226,2025-01-03,航亚科技,688510,16.92,15.85,16.95,15.76,37093,59298459.0,7.09,-5.54,-0.93,1.44
225,2025-01-02,航亚科技,688510,17.62,16.78,17.95,16.5,42344,71960810.0,8.18,-5.3,-0.94,1.64
224,2024-12-31,航亚科技,688510,17.72,17.72,17.96,17.44,53759,93606801.0,2.92,-0.45,-0.08,2.08
223,2024-12-30,航亚科技,688510,17.38,17.8,17.98,17.01,53168,92075081.0,5.57,2.3,0.4,2.06
222,2024-12-27,航亚科技,688510,17.36,17.4,17.54,17.12,38286,65269339.0,2.47,2.35,0.4,1.48
221,2024-12-26,航亚科技,688510,16.44,17.0,17.17,16.38,41609,69263055.0,4.82,3.79,0.62,1.61
220,2024-12-25,航亚科技,688510,16.7,16.38,16.75,16.13,26006,41677768.0,3.71,-1.92,-0.32,1.01
219,2024-12-24,航亚科技,688510,16.68,16.7,16.82,16.46,24818,40639466.0,2.18,1.09,0.18,0.96
218,2024-12-23,航亚科技,688510,17.2,16.52,17.3,16.52,30181,50075579.0,4.52,-4.18,-0.72,1.17
217,2024-12-20,航亚科技,688510,16.81,17.24,17.38,16.78,19857,33518461.0,3.56,2.19,0.37,0.77
216,2024-12-19,航亚科技,688510,16.92,16.87,16.92,16.64,17365,28633496.0,1.66,-0.12,-0.02,0.67
215,2024-12-18,航亚科技,688510,17.08,16.89,17.14,16.65,19168,31780244.0,2.9,-0.12,-0.02,0.74
214,2024-12-17,航亚科技,688510,17.59,16.91,17.64,16.89,27608,46523780.0,4.27,-3.76,-0.66,1.07
213,2024-12-16,航亚科技,688510,17.95,17.57,17.95,17.45,21787,37754279.0,2.79,-2.12,-0.38,0.84
212,2024-12-13,航亚科技,688510,18.27,17.95,18.3,17.75,32497,57348570.0,3.01,-1.91,-0.35,1.26
211,2024-12-12,航亚科技,688510,18.15,18.3,18.46,17.93,33778,60856612.0,2.92,0.83,0.15,1.31
210,2024-12-11,航亚科技,688510,17.9,18.15,18.18,17.71,23364,41448905.0,2.62,1.0,0.18,0.9
209,2024-12-10,航亚科技,688510,18.24,17.97,18.4,17.93,45903,81851002.0,2.64,0.9,0.16,1.78
208,2024-12-09,航亚科技,688510,17.51,17.81,18.08,17.33,47267,82635176.0,4.3,2.0,0.35,1.83
207,2024-12-06,航亚科技,688510,17.4,17.46,17.57,17.06,27966,47624942.0,2.94,0.81,0.14,1.08
206,2024-12-05,航亚科技,688510,17.1,17.32,17.46,17.01,27589,46857850.0,2.62,0.81,0.14,1.07
205,2024-12-04,航亚科技,688510,17.46,17.18,17.51,17.1,22903,38908105.0,2.34,-1.83,-0.32,0.89
204,2024-12-03,航亚科技,688510,17.6,17.5,17.61,17.33,21185,36359755.0,1.59,-0.57,-0.1,0.82
203,2024-12-02,航亚科技,688510,17.47,17.6,17.69,17.32,28265,48773088.0,2.12,0.98,0.17,1.09
202,2024-11-29,航亚科技,688510,17.21,17.43,17.54,17.01,35512,60462159.0,3.08,1.22,0.21,1.37
201,2024-11-28,航亚科技,688510,17.47,17.22,17.58,17.17,27301,46699040.0,2.35,-1.43,-0.25,1.06
200,2024-11-27,航亚科技,688510,17.02,17.47,17.5,16.74,24007,40581066.0,4.44,2.16,0.37,0.93
199,2024-11-26,航亚科技,688510,17.0,17.1,17.47,16.86,35053,59611330.0,3.59,0.71,0.12,1.36
198,2024-11-25,航亚科技,688510,16.76,16.98,17.02,16.42,24089,39486899.0,3.58,1.31,0.22,0.93
197,2024-11-22,航亚科技,688510,17.6,16.76,17.6,16.73,34856,58777181.0,4.96,-4.5,-0.79,1.35
196,2024-11-21,航亚科技,688510,17.62,17.55,17.62,17.25,25140,43147680.0,2.1,-0.51,-0.09,0.97
195,2024-11-20,航亚科技,688510,17.44,17.64,17.7,17.18,33307,57283670.0,2.97,0.92,0.16,1.29
194,2024-11-19,航亚科技,688510,16.99,17.48,17.5,16.9,29350,49454176.0,3.54,3.07,0.52,1.14
193,2024-11-18,航亚科技,688510,17.2,16.96,17.39,16.69,42105,70343123.0,4.08,-1.11,-0.19,1.63
192,2024-11-15,航亚科技,688510,18.16,17.15,18.3,17.12,77508,134293265.0,6.47,-5.92,-1.08,3.0
191,2024-11-14,航亚科技,688510,18.97,18.23,18.97,18.15,46610,85083344.0,4.3,-4.35,-0.83,1.8
190,2024-11-13,航亚科技,688510,19.38,19.06,19.54,18.36,85119,157549859.0,6.08,-1.8,-0.35,3.29
189,2024-11-12,航亚科技,688510,19.18,19.41,19.87,18.87,110493,210543795.0,5.25,1.89,0.36,4.28
188,2024-11-11,航亚科技,688510,18.11,19.05,19.05,18.11,77290,141849191.0,5.17,4.79,0.87,2.99
187,2024-11-08,航亚科技,688510,18.18,18.18,18.49,17.9,69651,125048702.0,3.26,0.44,0.08,2.7
186,2024-11-07,航亚科技,688510,17.95,18.1,18.21,17.65,62431,110081240.0,3.07,-0.66,-0.12,2.42
185,2024-11-06,航亚科技,688510,18.8,18.22,19.0,18.0,81881,147918798.0,5.46,-0.6,-0.11,3.17
184,2024-11-05,航亚科技,688510,17.02,18.33,18.35,17.02,93652,164550039.0,7.85,8.14,1.38,3.62
183,2024-11-04,航亚科技,688510,16.41,16.95,17.09,16.41,37595,62236439.0,4.14,3.16,0.52,1.46
182,2024-11-01,航亚科技,688510,17.03,16.43,17.3,16.42,57371,93902411.0,5.11,-4.59,-0.79,2.22
181,2024-10-31,航亚科技,688510,16.92,17.22,17.38,16.74,39292,66160821.0,3.77,1.53,0.26,1.52
180,2024-10-30,航亚科技,688510,17.08,16.96,17.45,16.81,40144,67407084.0,3.74,-0.99,-0.17,1.55
179,2024-10-29,航亚科技,688510,17.57,17.13,17.74,17.05,46812,79700076.0,3.9,-3.11,-0.55,1.81
178,2024-10-28,航亚科技,688510,17.63,17.68,17.88,17.5,57777,100226491.0,2.16,0.45,0.08,2.24
177,2024-10-25,航亚科技,688510,17.18,17.6,17.81,17.1,58472,100610447.0,4.02,-0.23,-0.04,2.26
176,2024-10-24,航亚科技,688510,17.96,17.64,18.1,17.6,45108,78952724.0,2.78,-2.05,-0.37,1.75
175,2024-10-23,航亚科技,688510,17.58,18.01,18.68,17.44,80483,143266815.0,7.1,3.15,0.55,3.11
174,2024-10-22,航亚科技,688510,17.71,17.46,17.73,17.2,48753,83543902.0,3.01,-0.96,-0.17,1.89
173,2024-10-21,航亚科技,688510,17.18,17.63,18.03,16.91,74660,129004306.0,6.62,4.13,0.7,2.89
172,2024-10-18,航亚科技,688510,16.3,16.93,17.23,16.01,44175,72274387.0,7.58,5.22,0.84,1.71
171,2024-10-17,航亚科技,688510,15.99,16.09,16.52,15.98,30499,48721152.0,3.38,0.56,0.09,1.18
170,2024-10-16,航亚科技,688510,16.07,16.0,16.31,15.8,29137,45869351.0,3.15,-1.17,-0.19,1.13
169,2024-10-15,航亚科技,688510,16.37,16.19,16.8,15.95,50108,80410576.0,5.18,-1.28,-0.21,1.94
168,2024-10-14,航亚科技,688510,15.74,16.4,16.5,15.6,67902,107572955.0,5.81,5.81,0.9,2.63
167,2024-10-11,航亚科技,688510,16.66,15.5,16.73,15.3,65180,101083846.0,8.58,-6.96,-1.16,2.52
166,2024-10-10,航亚科技,688510,16.86,16.66,17.45,16.46,64719,107678985.0,5.87,-1.19,-0.2,2.5
165,2024-10-09,航亚科技,688510,18.28,16.86,18.28,16.77,95107,163882743.0,7.9,-11.77,-2.25,3.68
164,2024-10-08,航亚科技,688510,20.49,19.11,20.49,17.5,113535,210643940.0,17.34,10.85,1.87,4.39
163,2024-09-30,航亚科技,688510,16.16,17.24,17.48,15.64,101253,167129710.0,11.99,12.39,1.9,3.92
162,2024-09-27,航亚科技,688510,14.8,15.34,15.35,14.7,21990,32442432.0,4.48,5.79,0.84,0.85
161,2024-09-26,航亚科技,688510,13.82,14.5,14.54,13.8,25784,35705942.0,5.33,4.39,0.61,1.0
160,2024-09-25,航亚科技,688510,14.05,13.89,14.44,13.81,26978,37355751.0,4.51,-0.64,-0.09,1.04
159,2024-09-24,航亚科技,688510,13.3,13.98,13.99,13.3,21657,29021973.0,5.15,4.33,0.58,0.84
158,2024-09-23,航亚科技,688510,13.27,13.4,13.54,13.2,15499,20334820.0,2.53,-0.3,-0.04,0.6
157,2024-09-20,航亚科技,688510,13.41,13.44,13.59,13.31,21731,28533341.0,2.08,0.0,0.0,0.84
156,2024-09-19,航亚科技,688510,13.4,13.44,13.8,13.27,27024,35697210.0,3.96,0.37,0.05,1.05
155,2024-09-18,航亚科技,688510,14.12,13.39,14.12,13.24,31499,41485397.0,6.41,-2.41,-0.33,1.22
154,2024-09-13,航亚科技,688510,14.03,13.72,14.07,13.72,16423,22283165.0,2.49,-2.49,-0.35,0.64
153,2024-09-12,航亚科技,688510,14.15,14.07,14.42,14.06,12490,17405975.0,2.53,-1.12,-0.16,0.48
152,2024-09-11,航亚科技,688510,14.23,14.23,14.38,14.12,12788,17878597.0,1.82,-0.14,-0.02,0.49
151,2024-09-10,航亚科技,688510,14.24,14.25,14.4,13.99,14898,20626233.0,2.88,0.07,0.01,0.58
150,2024-09-09,航亚科技,688510,14.0,14.24,14.32,14.0,23040,32013192.0,2.27,1.14,0.16,0.89
149,2024-09-06,航亚科技,688510,14.56,14.08,14.65,14.05,17231,24030934.0,4.12,-3.3,-0.48,0.67
148,2024-09-05,航亚科技,688510,14.46,14.56,14.74,14.41,13010,18600392.0,2.29,0.9,0.13,0.5
147,2024-09-04,航亚科技,688510,14.53,14.43,14.55,14.31,15181,21422605.0,1.65,-0.69,-0.1,0.59
146,2024-09-03,航亚科技,688510,14.39,14.53,14.61,14.32,22083,31329872.0,2.02,0.97,0.14,0.85
145,2024-09-02,航亚科技,688510,15.41,14.39,15.41,14.35,31256,44905927.0,6.91,-6.13,-0.94,1.21
144,2024-08-30,航亚科技,688510,15.12,15.33,15.55,14.93,25683,38479508.0,4.1,1.39,0.21,0.99
143,2024-08-29,航亚科技,688510,14.86,15.12,15.32,14.7,19788,29303419.0,4.17,1.61,0.24,0.77
