,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
230,2025-01-27,华海诚科,688535,86.49,81.9,86.49,81.71,32035,264990359.0,5.53,-5.32,-4.6,6.23
229,2025-01-24,华海诚科,688535,87.29,86.5,88.48,85.6,35889,309844130.0,3.3,-0.91,-0.79,6.98
228,2025-01-23,华海诚科,688535,87.86,87.29,90.86,85.1,39490,346812869.0,6.59,-0.18,-0.16,7.68
227,2025-01-22,华海诚科,688535,91.45,87.45,91.45,87.0,38631,338719531.0,4.89,-3.91,-3.56,7.51
226,2025-01-21,华海诚科,688535,92.6,91.01,93.97,90.28,42339,384335570.0,4.0,-1.3,-1.2,8.23
225,2025-01-20,华海诚科,688535,90.85,92.21,94.91,88.8,55469,500910033.0,6.65,0.34,0.31,10.78
224,2025-01-17,华海诚科,688535,89.6,91.9,95.6,88.06,61283,559018966.0,8.39,2.22,2.0,11.91
223,2025-01-16,华海诚科,688535,89.0,89.9,92.9,85.0,58513,515121458.0,9.11,3.71,3.22,11.37
222,2025-01-15,华海诚科,688535,86.38,86.68,88.1,84.83,40621,348662817.0,3.78,0.1,0.09,7.9
221,2025-01-14,华海诚科,688535,81.92,86.59,87.6,80.59,62216,519113593.0,8.67,7.15,5.78,12.09
220,2025-01-13,华海诚科,688535,80.58,80.81,81.7,76.17,29073,228992597.0,6.92,1.18,0.94,5.65
219,2025-01-10,华海诚科,688535,81.62,79.87,84.4,78.48,49097,398072849.0,7.25,-2.17,-1.77,9.54
218,2025-01-09,华海诚科,688535,82.23,81.64,84.39,80.5,59125,484325608.0,4.78,0.32,0.26,11.49
217,2025-01-08,华海诚科,688535,79.03,81.38,83.49,77.88,51314,411024153.0,7.1,2.96,2.34,9.97
216,2025-01-07,华海诚科,688535,74.6,79.04,79.09,74.4,38111,291188729.0,6.22,4.74,3.58,7.41
215,2025-01-06,华海诚科,688535,78.6,75.46,80.48,72.11,46481,349434538.0,10.55,-4.84,-3.84,9.03
214,2025-01-03,华海诚科,688535,80.7,79.3,82.1,75.81,53767,423847754.0,7.89,-0.48,-0.38,10.45
213,2025-01-02,华海诚科,688535,75.6,79.68,81.56,74.29,60738,476150893.0,9.7,6.31,4.73,11.81
212,2024-12-31,华海诚科,688535,80.55,74.95,81.4,74.95,35420,272882943.0,8.11,-5.79,-4.61,6.88
211,2024-12-30,华海诚科,688535,80.88,79.56,84.58,79.1,47474,383547505.0,6.65,-3.51,-2.89,9.23
210,2024-12-27,华海诚科,688535,84.3,82.45,86.25,81.15,57592,477764952.0,6.06,-1.95,-1.64,11.75
209,2024-12-26,华海诚科,688535,78.15,84.09,84.6,77.88,65377,530740453.0,8.64,8.08,6.29,13.34
208,2024-12-25,华海诚科,688535,75.6,77.8,78.81,73.6,42968,330166365.0,6.98,4.29,3.2,8.76
207,2024-12-24,华海诚科,688535,75.23,74.6,75.35,72.56,19598,143800984.0,3.75,0.15,0.11,4.0
206,2024-12-23,华海诚科,688535,77.7,74.49,77.8,74.11,26751,201355228.0,4.76,-3.87,-3.0,5.46
205,2024-12-20,华海诚科,688535,74.59,77.49,79.04,73.73,39542,302755969.0,7.12,3.83,2.86,8.07
204,2024-12-19,华海诚科,688535,72.68,74.63,75.5,72.68,17915,132144403.0,3.77,-0.23,-0.17,3.65
203,2024-12-18,华海诚科,688535,74.2,74.8,75.64,71.3,32144,235876501.0,5.9,1.63,1.2,6.56
202,2024-12-17,华海诚科,688535,73.1,73.6,75.6,73.1,25950,191585636.0,3.39,-0.24,-0.18,5.29
201,2024-12-16,华海诚科,688535,75.77,73.78,76.9,73.24,22102,164167228.0,4.77,-3.82,-2.93,4.51
200,2024-12-13,华海诚科,688535,77.74,76.71,79.09,75.6,28858,220223714.0,4.45,-2.29,-1.8,5.89
199,2024-12-12,华海诚科,688535,78.61,78.51,80.15,76.85,21719,168757580.0,4.17,-0.88,-0.7,4.43
