,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,和辉光电-U,688538,2.25,2.23,2.29,2.22,452752,101796454.0,3.13,-0.45,-0.01,0.79
239,2025-01-24,和辉光电-U,688538,2.22,2.24,2.25,2.21,451892,101003632.0,1.8,0.9,0.02,0.79
238,2025-01-23,和辉光电-U,688538,2.24,2.22,2.29,2.22,504736,114007345.0,3.14,-0.45,-0.01,0.88
237,2025-01-22,和辉光电-U,688538,2.24,2.23,2.25,2.21,377053,83862320.0,1.79,-0.45,-0.01,0.66
236,2025-01-21,和辉光电-U,688538,2.27,2.24,2.28,2.24,352463,79387876.0,1.76,-1.32,-0.03,0.61
235,2025-01-20,和辉光电-U,688538,2.29,2.27,2.32,2.26,449354,102406961.0,2.63,-0.44,-0.01,0.78
234,2025-01-17,和辉光电-U,688538,2.27,2.28,2.3,2.25,400738,91345969.0,2.19,0.0,0.0,0.7
233,2025-01-16,和辉光电-U,688538,2.25,2.28,2.31,2.25,580677,132719575.0,2.67,1.33,0.03,1.01
232,2025-01-15,和辉光电-U,688538,2.26,2.25,2.27,2.23,465444,104645740.0,1.77,-0.44,-0.01,0.81
231,2025-01-14,和辉光电-U,688538,2.21,2.26,2.27,2.2,562365,125973385.0,3.18,2.73,0.06,0.98
230,2025-01-13,和辉光电-U,688538,2.18,2.2,2.21,2.15,424867,93015707.0,2.75,0.92,0.02,0.74
229,2025-01-10,和辉光电-U,688538,2.26,2.18,2.26,2.18,558567,123500667.0,3.56,-3.11,-0.07,0.97
228,2025-01-09,和辉光电-U,688538,2.22,2.25,2.27,2.22,540576,121397844.0,2.25,1.35,0.03,0.94
227,2025-01-08,和辉光电-U,688538,2.25,2.22,2.25,2.18,530100,117457889.0,3.11,-1.33,-0.03,0.92
226,2025-01-07,和辉光电-U,688538,2.24,2.25,2.26,2.23,462774,103913807.0,1.35,0.9,0.02,0.8
225,2025-01-06,和辉光电-U,688538,2.25,2.23,2.26,2.21,462126,103231950.0,2.23,-0.45,-0.01,0.8
224,2025-01-03,和辉光电-U,688538,2.28,2.24,2.31,2.23,680016,153924593.0,3.54,-0.88,-0.02,1.18
223,2025-01-02,和辉光电-U,688538,2.33,2.26,2.34,2.25,729342,167393929.0,3.88,-2.59,-0.06,1.27
222,2024-12-31,和辉光电-U,688538,2.38,2.32,2.4,2.31,661636,155896590.0,3.8,-2.11,-0.05,1.15
221,2024-12-30,和辉光电-U,688538,2.38,2.37,2.39,2.34,633168,149608866.0,2.1,-0.42,-0.01,1.1
220,2024-12-27,和辉光电-U,688538,2.35,2.38,2.41,2.34,630025,150433257.0,2.98,1.28,0.03,1.1
219,2024-12-26,和辉光电-U,688538,2.36,2.35,2.39,2.35,469648,111247751.0,1.69,-0.42,-0.01,0.82
218,2024-12-25,和辉光电-U,688538,2.43,2.36,2.44,2.36,662198,157384597.0,3.29,-2.88,-0.07,1.15
217,2024-12-24,和辉光电-U,688538,2.44,2.43,2.46,2.41,620439,151110557.0,2.05,-0.41,-0.01,1.08
216,2024-12-23,和辉光电-U,688538,2.53,2.44,2.54,2.43,903888,222883037.0,4.37,-3.17,-0.08,1.57
215,2024-12-20,和辉光电-U,688538,2.53,2.52,2.56,2.51,747517,189453399.0,1.98,-0.4,-0.01,1.3
214,2024-12-19,和辉光电-U,688538,2.55,2.53,2.57,2.51,698044,177201979.0,2.34,-1.17,-0.03,1.21
213,2024-12-18,和辉光电-U,688538,2.55,2.56,2.59,2.54,573939,147468724.0,1.96,0.39,0.01,1.0
212,2024-12-17,和辉光电-U,688538,2.6,2.55,2.61,2.54,735229,188644630.0,2.69,-1.92,-0.05,1.28
211,2024-12-16,和辉光电-U,688538,2.62,2.6,2.65,2.58,724023,188662665.0,2.66,-1.14,-0.03,1.26
210,2024-12-13,和辉光电-U,688538,2.66,2.63,2.7,2.61,1312188,347455341.0,3.36,-1.87,-0.05,2.28
209,2024-12-12,和辉光电-U,688538,2.7,2.68,2.7,2.64,1172739,312267855.0,2.23,-0.37,-0.01,2.04
208,2024-12-11,和辉光电-U,688538,2.63,2.69,2.73,2.62,1982503,532022692.0,4.26,4.26,0.11,3.45
207,2024-12-10,和辉光电-U,688538,2.67,2.58,2.69,2.57,1181736,309922075.0,4.62,-0.77,-0.02,2.05
206,2024-12-09,和辉光电-U,688538,2.63,2.6,2.68,2.58,1263964,330569410.0,3.83,-0.38,-0.01,2.2
205,2024-12-06,和辉光电-U,688538,2.46,2.61,2.63,2.45,1722723,441744273.0,7.29,5.67,0.14,2.99
204,2024-12-05,和辉光电-U,688538,2.44,2.47,2.48,2.43,551216,135665374.0,2.05,1.23,0.03,0.96
203,2024-12-04,和辉光电-U,688538,2.49,2.44,2.51,2.43,796387,196631768.0,3.23,-1.61,-0.04,1.38
202,2024-12-03,和辉光电-U,688538,2.52,2.48,2.52,2.47,953723,237015157.0,1.98,-1.59,-0.04,1.66
201,2024-12-02,和辉光电-U,688538,2.43,2.52,2.53,2.42,993398,247890816.0,4.51,3.28,0.08,1.73
200,2024-11-29,和辉光电-U,688538,2.47,2.44,2.48,2.41,950085,231976201.0,2.83,-1.21,-0.03,1.65
199,2024-11-28,和辉光电-U,688538,2.45,2.47,2.48,2.44,758319,187158102.0,1.64,1.23,0.03,1.32
