,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,新相微,688593,20.55,20.58,20.77,19.92,38405,77782497.0,4.14,0.15,0.03,1.2
239,2025-01-24,新相微,688593,20.76,20.55,21.0,20.44,37438,77267476.0,2.69,-1.11,-0.23,1.17
238,2025-01-23,新相微,688593,21.27,20.78,22.03,20.74,54427,116251838.0,6.11,-1.61,-0.34,1.71
237,2025-01-22,新相微,688593,21.84,21.12,21.84,20.85,44875,94548200.0,4.56,-2.67,-0.58,1.41
236,2025-01-21,新相微,688593,21.72,21.7,22.19,21.24,67048,145335857.0,4.36,-0.32,-0.07,2.1
235,2025-01-20,新相微,688593,21.12,21.77,22.22,20.92,117201,252997535.0,6.18,3.47,0.73,3.67
234,2025-01-17,新相微,688593,21.0,21.04,21.64,20.67,53428,112274128.0,4.62,0.19,0.04,1.67
233,2025-01-16,新相微,688593,21.28,21.0,21.71,20.48,90121,187935847.0,5.73,-2.14,-0.46,2.83
232,2025-01-15,新相微,688593,20.57,21.46,21.84,20.37,124384,260995807.0,7.13,4.02,0.83,3.9
231,2025-01-14,新相微,688593,20.41,20.63,21.62,20.07,135699,282074887.0,7.7,2.48,0.5,4.25
230,2025-01-13,新相微,688593,19.64,20.13,20.24,18.82,68344,133481088.0,7.16,1.56,0.31,2.14
229,2025-01-10,新相微,688593,19.57,19.82,20.43,19.23,70491,140811323.0,6.13,1.23,0.24,2.21
228,2025-01-09,新相微,688593,19.15,19.58,19.87,19.15,58323,114214634.0,3.71,0.82,0.16,1.83
227,2025-01-08,新相微,688593,19.29,19.42,19.72,18.49,62441,119457383.0,6.38,0.67,0.13,1.96
226,2025-01-07,新相微,688593,17.76,19.29,19.69,17.65,78312,144959261.0,11.64,10.1,1.77,2.45
225,2025-01-06,新相微,688593,17.4,17.52,17.62,16.64,39330,67778766.0,5.63,0.63,0.11,1.23
224,2025-01-03,新相微,688593,17.53,17.41,18.4,17.14,59302,104685746.0,7.19,-0.68,-0.12,1.86
223,2025-01-02,新相微,688593,18.31,17.53,18.31,17.22,70716,124735287.0,5.94,-4.42,-0.81,2.22
