,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,恒玄科技,688608,364.43,377.63,379.73,364.43,25027,935913562.0,4.2,3.62,13.2,2.08
240,2025-01-23,恒玄科技,688608,384.93,364.43,391.31,359.43,26475,980798475.0,8.51,-2.67,-10.0,2.21
239,2025-01-22,恒玄科技,688608,367.79,374.43,375.87,360.31,19733,726291795.0,4.15,-0.03,-0.13,1.64
238,2025-01-21,恒玄科技,688608,355.43,374.56,385.89,353.43,37148,1366638775.0,9.21,6.3,22.21,3.09
237,2025-01-20,恒玄科技,688608,354.42,352.35,360.73,347.61,18544,652323782.0,3.73,0.16,0.55,1.54
236,2025-01-17,恒玄科技,688608,330.43,351.8,363.69,327.43,29347,1014819055.0,10.97,6.47,21.37,2.44
235,2025-01-16,恒玄科技,688608,346.43,330.43,350.93,325.25,27454,912669700.0,7.45,-4.17,-14.39,2.29
234,2025-01-15,恒玄科技,688608,333.43,344.82,349.23,330.63,32713,1119880607.0,5.58,3.42,11.39,2.73
233,2025-01-14,恒玄科技,688608,315.53,333.43,335.43,307.61,33396,1081420144.0,8.89,6.55,20.5,2.78
232,2025-01-13,恒玄科技,688608,305.43,312.93,323.08,303.02,22032,684977025.0,6.4,-0.23,-0.73,1.84
231,2025-01-10,恒玄科技,688608,320.63,313.66,331.43,312.43,27686,887509343.0,5.92,-2.19,-7.03,2.31
230,2025-01-09,恒玄科技,688608,322.54,320.69,342.96,317.4,37496,1238506635.0,7.91,-0.75,-2.42,3.12
229,2025-01-08,恒玄科技,688608,314.58,323.11,332.41,314.58,31182,1007825814.0,5.55,0.58,1.87,2.6
228,2025-01-07,恒玄科技,688608,300.64,321.24,323.74,297.42,35838,1121777695.0,8.82,7.71,22.99,2.99
227,2025-01-06,恒玄科技,688608,310.43,298.25,315.87,293.2,43728,1317371779.0,7.2,-5.24,-16.48,3.64
226,2025-01-03,恒玄科技,688608,326.94,314.73,331.85,308.93,31938,1020752384.0,7.12,-2.22,-7.13,2.66
225,2025-01-02,恒玄科技,688608,325.17,321.86,332.33,317.52,27685,889859231.0,4.53,-1.51,-4.94,2.31
224,2024-12-31,恒玄科技,688608,328.95,326.8,334.33,321.93,31199,1024290128.0,3.78,-0.46,-1.51,2.6
223,2024-12-30,恒玄科技,688608,329.47,328.31,339.2,327.43,25376,836323678.0,3.52,-1.76,-5.87,2.11
222,2024-12-27,恒玄科技,688608,350.45,334.18,364.79,333.43,33941,1172027590.0,8.89,-5.29,-18.65,2.83
221,2024-12-26,恒玄科技,688608,331.43,352.83,367.41,331.43,33816,1173149723.0,10.86,6.46,21.4,2.82
220,2024-12-25,恒玄科技,688608,334.07,331.43,338.41,323.43,27512,905567530.0,4.44,-1.78,-6.0,2.29
219,2024-12-24,恒玄科技,688608,332.95,337.43,337.43,319.93,39133,1282404988.0,5.3,2.12,7.0,3.26
218,2024-12-23,恒玄科技,688608,350.93,330.43,356.43,327.42,45554,1527989453.0,8.3,-5.46,-19.1,3.79
217,2024-12-20,恒玄科技,688608,334.43,349.53,380.09,334.42,53778,1890131016.0,13.62,4.2,14.1,4.48
216,2024-12-19,恒玄科技,688608,326.43,335.43,356.43,322.44,49368,1655740576.0,10.26,1.21,4.0,4.11
215,2024-12-18,恒玄科技,688608,294.42,331.43,341.31,281.44,52922,1645096467.0,20.7,14.57,42.14,4.41
214,2024-12-17,恒玄科技,688608,302.81,289.29,305.31,288.43,28287,825420180.0,5.53,-5.25,-16.02,2.36
213,2024-12-16,恒玄科技,688608,316.93,305.31,336.43,297.66,47125,1473555898.0,12.25,-3.5,-11.06,3.93
212,2024-12-13,恒玄科技,688608,301.43,316.37,331.43,297.55,44061,1393051628.0,11.21,4.64,14.04,3.67
211,2024-12-12,恒玄科技,688608,306.43,302.33,307.42,289.69,36690,1086123419.0,5.94,1.23,3.66,3.06
210,2024-12-11,恒玄科技,688608,272.67,298.67,308.67,271.7,41422,1203695804.0,13.61,9.93,26.97,3.45
209,2024-12-10,恒玄科技,688608,273.47,271.7,277.94,265.67,28789,783575329.0,4.66,3.25,8.55,2.4
208,2024-12-09,恒玄科技,688608,255.67,263.15,267.67,254.76,17468,459275357.0,4.99,1.76,4.54,1.46
207,2024-12-06,恒玄科技,688608,252.66,258.61,261.66,246.77,28936,733926974.0,5.67,-1.45,-3.8,2.41
206,2024-12-05,恒玄科技,688608,258.34,262.41,266.47,251.17,26472,681152932.0,5.83,-0.01,-0.02,2.21
205,2024-12-04,恒玄科技,688608,262.16,262.43,269.6,253.67,19725,516619101.0,6.16,1.46,3.77,1.64
204,2024-12-03,恒玄科技,688608,274.35,258.66,274.35,255.67,28515,739585707.0,6.86,-4.96,-13.51,2.38
203,2024-12-02,恒玄科技,688608,280.67,272.17,284.17,269.63,28424,783819706.0,5.2,-2.68,-7.5,2.37
202,2024-11-29,恒玄科技,688608,273.01,279.67,289.25,267.67,29125,803494645.0,7.83,1.48,4.09,2.43
201,2024-11-28,恒玄科技,688608,261.32,275.58,293.11,258.47,34282,944270712.0,13.27,5.57,14.55,2.86
200,2024-11-27,恒玄科技,688608,243.88,261.03,261.52,240.85,24415,613095622.0,8.47,6.97,17.01,2.03
199,2024-11-26,恒玄科技,688608,244.77,244.02,255.17,242.19,18132,450886407.0,5.3,-0.43,-1.05,1.51
198,2024-11-25,恒玄科技,688608,256.3,245.07,257.07,238.67,21768,529091124.0,7.23,-3.77,-9.6,1.81
197,2024-11-22,恒玄科技,688608,254.77,254.67,272.97,253.67,32596,858182131.0,7.53,-0.66,-1.68,2.72
196,2024-11-21,恒玄科技,688608,256.67,256.35,267.67,251.03,27037,704553220.0,6.58,1.31,3.32,2.25
195,2024-11-20,恒玄科技,688608,242.67,253.03,258.44,239.57,24689,622148534.0,7.76,4.03,9.81,2.06
194,2024-11-19,恒玄科技,688608,242.68,243.22,252.11,235.23,19634,474832472.0,6.96,0.25,0.6,1.64
