,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,安凯微,688620,11.27,12.52,13.19,11.09,448338,555115421.0,18.53,10.5,1.19,19.63
239,2025-01-24,安凯微,688620,11.43,11.33,11.83,11.33,131585,151805072.0,4.37,-1.05,-0.12,5.76
238,2025-01-23,安凯微,688620,11.65,11.45,12.01,11.36,163590,189199120.0,5.63,-0.87,-0.1,7.16
237,2025-01-22,安凯微,688620,10.85,11.55,11.91,10.75,220233,247339899.0,10.55,5.0,0.55,9.64
236,2025-01-21,安凯微,688620,10.58,11.0,11.26,10.45,169863,184106003.0,7.69,4.46,0.47,7.44
235,2025-01-20,安凯微,688620,10.53,10.53,10.75,10.33,111864,117446071.0,3.97,-0.38,-0.04,4.9
234,2025-01-17,安凯微,688620,9.99,10.57,10.83,9.87,152031,157191164.0,9.54,5.07,0.51,6.66
233,2025-01-16,安凯微,688620,10.27,10.06,10.5,9.99,113783,115609010.0,4.95,-2.42,-0.25,4.98
232,2025-01-15,安凯微,688620,9.68,10.31,10.98,9.61,169478,173159497.0,14.05,5.74,0.56,7.42
231,2025-01-14,安凯微,688620,9.04,9.75,9.78,9.04,84658,80368861.0,8.16,7.5,0.68,3.71
230,2025-01-13,安凯微,688620,8.98,9.07,9.17,8.81,70857,63454701.0,3.9,-1.73,-0.16,3.1
229,2025-01-10,安凯微,688620,9.51,9.23,10.02,9.22,115642,110807897.0,8.35,-3.65,-0.35,5.06
228,2025-01-09,安凯微,688620,9.28,9.58,10.0,9.28,127328,123568634.0,7.68,2.13,0.2,5.57
227,2025-01-08,安凯微,688620,9.23,9.38,9.53,8.85,100125,91695057.0,7.29,0.54,0.05,4.38
226,2025-01-07,安凯微,688620,9.01,9.33,9.41,8.93,81875,74711030.0,5.38,4.6,0.41,3.58
225,2025-01-06,安凯微,688620,9.13,8.92,9.31,8.84,87049,78411620.0,5.11,-3.04,-0.28,3.81
224,2025-01-03,安凯微,688620,9.86,9.2,9.96,9.15,125231,118245123.0,8.27,-6.12,-0.6,5.48
223,2025-01-02,安凯微,688620,10.07,9.8,10.3,9.63,148408,146969507.0,6.65,-2.78,-0.28,6.5
222,2024-12-31,安凯微,688620,11.14,10.08,11.29,10.08,181485,189217881.0,10.97,-8.61,-0.95,7.95
221,2024-12-30,安凯微,688620,11.31,11.03,11.36,10.85,120124,132823954.0,4.48,-3.08,-0.35,5.26
220,2024-12-27,安凯微,688620,11.65,11.38,12.02,11.26,183160,212580756.0,6.48,-2.98,-0.35,8.02
219,2024-12-26,安凯微,688620,11.12,11.73,12.31,10.95,276398,320302535.0,12.27,5.87,0.65,12.1
218,2024-12-25,安凯微,688620,10.92,11.08,11.41,10.33,213372,231963286.0,9.73,-0.18,-0.02,9.34
217,2024-12-24,安凯微,688620,11.24,11.1,11.53,10.63,218510,240124127.0,8.15,0.54,0.06,9.57
216,2024-12-23,安凯微,688620,11.91,11.04,12.0,11.01,294626,336538364.0,8.2,-8.61,-1.04,12.9
215,2024-12-20,安凯微,688620,11.21,12.08,12.48,11.13,453685,537004903.0,11.81,5.69,0.65,19.86
214,2024-12-19,安凯微,688620,11.33,11.43,12.22,11.11,545944,635569590.0,9.8,0.88,0.1,23.9
213,2024-12-18,安凯微,688620,9.53,11.33,11.33,9.25,391314,420109468.0,22.01,19.89,1.88,17.13
212,2024-12-17,安凯微,688620,10.27,9.45,10.4,9.41,206013,200398376.0,9.63,-8.07,-0.83,9.02
211,2024-12-16,安凯微,688620,11.42,10.28,11.85,10.09,340326,373101503.0,16.13,-5.77,-0.63,14.9
210,2024-12-13,安凯微,688620,10.28,10.91,11.26,10.08,298083,318336438.0,11.51,6.44,0.66,13.05
209,2024-12-12,安凯微,688620,10.96,10.25,11.01,10.21,211346,221798785.0,7.51,-3.76,-0.4,9.25
208,2024-12-11,安凯微,688620,10.45,10.65,10.81,10.31,220731,233387206.0,4.83,2.8,0.29,9.66
207,2024-12-10,安凯微,688620,10.23,10.36,10.78,10.04,189159,197632426.0,7.45,4.33,0.43,8.28
206,2024-12-09,安凯微,688620,10.21,9.93,10.23,9.78,76565,76081786.0,4.4,-2.84,-0.29,3.35
205,2024-12-06,安凯微,688620,9.71,10.22,10.51,9.52,122997,123076173.0,10.34,6.79,0.65,5.39
204,2024-12-05,安凯微,688620,9.42,9.57,9.73,9.41,47801,45836826.0,3.38,1.06,0.1,2.09
203,2024-12-04,安凯微,688620,9.79,9.47,9.93,9.41,73407,71182801.0,5.42,-1.25,-0.12,3.21
202,2024-12-03,安凯微,688620,9.7,9.59,9.73,9.5,43697,41898116.0,2.38,-0.93,-0.09,1.91
201,2024-12-02,安凯微,688620,9.5,9.68,9.7,9.5,49277,47292002.0,2.09,1.26,0.12,2.16
200,2024-11-29,安凯微,688620,9.47,9.56,9.68,9.22,58863,55483012.0,4.89,1.59,0.15,2.58
199,2024-11-28,安凯微,688620,9.39,9.41,9.71,9.38,55898,53029490.0,3.5,-0.32,-0.03,2.45
198,2024-11-27,安凯微,688620,9.23,9.44,9.45,8.95,48450,44384535.0,5.41,2.05,0.19,2.12
197,2024-11-26,安凯微,688620,9.38,9.25,9.61,9.23,33405,31296342.0,4.03,-2.01,-0.19,1.46
196,2024-11-25,安凯微,688620,9.36,9.44,9.45,9.19,36052,33544537.0,2.79,1.18,0.11,1.58
