,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,中邮科技,688648,23.95,23.4,24.01,23.35,5748,13477380.0,2.76,-2.09,-0.5,0.87
239,2025-01-24,中邮科技,688648,23.7,23.9,23.91,23.45,5921,13961736.0,1.94,0.93,0.22,0.9
238,2025-01-23,中邮科技,688648,24.16,23.68,24.49,23.58,8418,20170487.0,3.81,-0.8,-0.19,1.27
237,2025-01-22,中邮科技,688648,23.83,23.87,24.11,23.61,5356,12682590.0,2.08,-0.91,-0.22,0.81
236,2025-01-21,中邮科技,688648,24.31,24.09,24.39,23.76,7120,16959083.0,2.61,-0.29,-0.07,1.08
235,2025-01-20,中邮科技,688648,23.06,24.16,24.42,23.06,19981,47285022.0,5.82,3.42,0.8,3.02
234,2025-01-17,中邮科技,688648,23.75,23.36,23.75,23.3,6047,14120719.0,1.91,-1.06,-0.25,0.91
233,2025-01-16,中邮科技,688648,23.31,23.61,23.97,23.14,13795,32321422.0,3.59,1.99,0.46,2.09
232,2025-01-15,中邮科技,688648,23.49,23.15,23.58,22.99,8939,20616360.0,2.51,-1.53,-0.36,1.35
231,2025-01-14,中邮科技,688648,23.05,23.51,23.57,22.67,11450,26451604.0,3.92,2.44,0.56,1.73
230,2025-01-13,中邮科技,688648,21.58,22.95,23.36,21.17,18370,41238327.0,10.03,5.08,1.11,2.78
229,2025-01-10,中邮科技,688648,22.36,21.84,22.59,21.81,7283,16049622.0,3.49,-2.15,-0.48,1.1
228,2025-01-09,中邮科技,688648,22.28,22.32,22.51,22.02,7433,16479563.0,2.2,0.04,0.01,1.12
227,2025-01-08,中邮科技,688648,22.24,22.31,22.48,21.21,8841,19320762.0,5.73,0.68,0.15,1.34
226,2025-01-07,中邮科技,688648,21.76,22.16,22.16,21.67,10374,22593973.0,2.25,1.74,0.38,1.57
225,2025-01-06,中邮科技,688648,21.85,21.78,22.04,21.17,9229,19897980.0,4.01,0.51,0.11,1.4
224,2025-01-03,中邮科技,688648,22.93,21.67,22.96,21.62,11112,24536400.0,5.85,-5.45,-1.25,1.68
223,2025-01-02,中邮科技,688648,23.56,22.92,23.79,22.71,10023,23151483.0,4.61,-2.26,-0.53,1.52
222,2024-12-31,中邮科技,688648,24.21,23.45,24.35,23.38,9711,22910081.0,4.01,-3.14,-0.76,1.47
221,2024-12-30,中邮科技,688648,24.45,24.21,24.56,24.01,7017,16901572.0,2.24,-1.3,-0.32,1.06
220,2024-12-27,中邮科技,688648,24.54,24.53,24.8,24.18,10063,24528164.0,2.53,-0.04,-0.01,1.52
219,2024-12-26,中邮科技,688648,24.36,24.54,24.84,24.06,10519,25661975.0,3.25,2.21,0.53,1.59
218,2024-12-25,中邮科技,688648,24.46,24.01,25.02,24.01,12257,29594743.0,4.1,-2.6,-0.64,1.85
217,2024-12-24,中邮科技,688648,25.06,24.65,25.06,24.36,10560,25818765.0,2.85,0.28,0.07,1.6
216,2024-12-23,中邮科技,688648,25.58,24.58,25.58,24.44,13912,34445886.0,4.46,-3.91,-1.0,2.1
215,2024-12-20,中邮科技,688648,25.74,25.58,26.1,25.46,16108,41352598.0,2.48,-0.7,-0.18,2.44
214,2024-12-19,中邮科技,688648,25.99,25.76,26.43,25.37,17615,45188396.0,4.03,-2.16,-0.57,2.66
213,2024-12-18,中邮科技,688648,26.06,26.33,27.16,25.79,26242,69041856.0,5.45,4.65,1.17,3.97
212,2024-12-17,中邮科技,688648,26.66,25.16,27.08,25.11,15872,40806668.0,7.41,-5.41,-1.44,2.4
211,2024-12-16,中邮科技,688648,26.81,26.6,26.99,26.36,16489,43614799.0,2.34,-1.12,-0.3,2.49
210,2024-12-13,中邮科技,688648,26.32,26.9,27.66,25.97,28005,74833827.0,6.4,1.86,0.49,4.23
209,2024-12-12,中邮科技,688648,26.64,26.41,26.64,25.99,13955,36460525.0,2.46,0.0,0.0,2.11
208,2024-12-11,中邮科技,688648,25.79,26.41,26.46,25.56,19443,50521807.0,3.51,2.96,0.76,2.94
207,2024-12-10,中邮科技,688648,26.12,25.65,26.51,25.51,22583,58634100.0,3.92,0.63,0.16,3.42
206,2024-12-09,中邮科技,688648,25.81,25.49,25.85,25.16,13402,33948398.0,2.68,-1.05,-0.27,2.03
205,2024-12-06,中邮科技,688648,25.75,25.76,25.95,25.26,13757,35085285.0,2.69,0.59,0.15,2.08
204,2024-12-05,中邮科技,688648,25.16,25.61,25.78,25.16,13998,35583305.0,2.45,1.27,0.32,2.12
203,2024-12-04,中邮科技,688648,25.9,25.29,26.02,25.14,20958,53240770.0,3.39,-2.54,-0.66,3.17
202,2024-12-03,中邮科技,688648,26.03,25.95,26.54,25.75,20749,53653603.0,3.03,-0.31,-0.08,3.14
201,2024-12-02,中邮科技,688648,26.19,26.03,26.35,25.69,38837,100148795.0,2.48,-2.33,-0.62,5.87
200,2024-11-29,中邮科技,688648,26.5,26.65,27.15,25.93,30637,80684999.0,4.59,0.26,0.07,4.63
199,2024-11-28,中邮科技,688648,28.25,26.58,29.54,26.44,62892,175332106.0,12.03,3.18,0.82,9.51
198,2024-11-27,中邮科技,688648,24.67,25.76,25.95,23.91,23263,57835632.0,8.21,3.66,0.91,3.52
197,2024-11-26,中邮科技,688648,25.27,24.85,25.55,24.77,12825,32061603.0,3.1,-1.31,-0.33,1.94
196,2024-11-25,中邮科技,688648,25.78,25.18,25.78,24.66,20682,51496759.0,4.36,-1.87,-0.48,3.13
195,2024-11-22,中邮科技,688648,27.34,25.66,27.42,25.37,23313,60928480.0,7.53,-5.7,-1.55,3.53
194,2024-11-21,中邮科技,688648,26.86,27.21,27.35,26.67,28829,77283142.0,2.51,0.29,0.08,4.36
193,2024-11-20,中邮科技,688648,26.53,27.13,27.28,25.91,26973,71561394.0,5.17,2.3,0.61,4.08
192,2024-11-19,中邮科技,688648,25.96,26.52,26.54,25.59,24880,64377250.0,3.63,1.22,0.32,3.76
