,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,新风光,688663,24.6,23.86,24.61,23.83,13029,29278193.0,3.2,-2.09,-0.51,0.93
239,2025-01-24,新风光,688663,24.2,24.37,24.44,24.01,14793,33597976.0,1.77,0.45,0.11,1.06
238,2025-01-23,新风光,688663,24.78,24.26,24.78,24.23,17932,40935691.0,2.25,-0.94,-0.23,1.28
237,2025-01-22,新风光,688663,24.33,24.49,24.55,24.2,17360,39557391.0,1.44,0.62,0.15,1.24
236,2025-01-21,新风光,688663,24.28,24.34,24.48,24.08,18977,43022996.0,1.65,0.66,0.16,1.36
235,2025-01-20,新风光,688663,23.9,24.18,24.24,23.84,20674,46524811.0,1.69,2.2,0.52,1.48
234,2025-01-17,新风光,688663,23.33,23.66,23.94,23.26,22850,50367741.0,2.9,0.98,0.23,1.63
233,2025-01-16,新风光,688663,23.2,23.43,23.95,23.01,21662,47498595.0,4.05,1.03,0.24,1.55
232,2025-01-15,新风光,688663,23.68,23.19,23.77,23.12,12551,27148991.0,2.76,-1.65,-0.39,0.9
231,2025-01-14,新风光,688663,22.2,23.58,23.8,22.11,27999,60242361.0,7.67,7.04,1.55,2.0
230,2025-01-13,新风光,688663,22.1,22.03,22.28,21.79,11087,22650253.0,2.2,-1.12,-0.25,0.79
229,2025-01-10,新风光,688663,23.04,22.28,23.19,22.28,17131,36118451.0,3.95,-3.34,-0.77,1.22
228,2025-01-09,新风光,688663,23.23,23.05,23.57,23.0,14479,31372867.0,2.45,-0.73,-0.17,1.03
227,2025-01-08,新风光,688663,23.1,23.22,23.51,22.5,21545,46230134.0,4.33,-0.39,-0.09,1.54
226,2025-01-07,新风光,688663,22.55,23.31,23.37,22.45,22707,48445897.0,4.07,3.1,0.7,1.62
225,2025-01-06,新风光,688663,22.15,22.61,22.97,21.66,19794,41316999.0,5.88,1.48,0.33,1.41
224,2025-01-03,新风光,688663,22.83,22.28,23.0,22.14,17799,37332139.0,3.78,-2.15,-0.49,1.27
223,2025-01-02,新风光,688663,23.3,22.77,23.48,22.5,23257,49625312.0,4.2,-2.32,-0.54,1.66
222,2024-12-31,新风光,688663,24.41,23.31,24.51,23.26,33002,73154361.0,5.1,-4.93,-1.21,2.36
221,2024-12-30,新风光,688663,24.73,24.52,24.94,24.14,20539,47156997.0,3.23,-0.85,-0.21,1.47
220,2024-12-27,新风光,688663,24.92,24.73,25.2,24.6,22984,53569240.0,2.4,-0.92,-0.23,1.64
219,2024-12-26,新风光,688663,23.86,24.96,25.3,23.86,39871,92456453.0,5.98,3.65,0.88,2.85
218,2024-12-25,新风光,688663,24.36,24.08,24.77,23.94,23131,52285465.0,3.38,-1.99,-0.49,1.65
217,2024-12-24,新风光,688663,23.56,24.57,24.88,23.56,46039,104837343.0,5.73,6.64,1.53,3.29
216,2024-12-23,新风光,688663,23.76,23.04,24.14,22.93,18938,41445526.0,5.09,-3.03,-0.72,1.35
215,2024-12-20,新风光,688663,23.25,23.76,24.09,23.25,15237,33749199.0,3.59,1.67,0.39,1.09
