,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,金迪克,688670,17.21,16.83,17.4,16.83,6356,7458906.0,3.36,-0.88,-0.15,0.52
239,2025-01-24,金迪克,688670,16.51,16.98,17.11,16.39,9941,11435209.0,4.34,2.35,0.39,0.81
238,2025-01-23,金迪克,688670,16.87,16.59,17.08,16.59,8862,10239882.0,2.96,0.06,0.01,0.72
237,2025-01-22,金迪克,688670,16.66,16.58,16.66,16.3,5959,6711181.0,2.17,0.12,0.02,0.48
236,2025-01-21,金迪克,688670,17.5,16.56,17.5,16.32,13002,14821909.0,6.84,-4.0,-0.69,1.06
235,2025-01-20,金迪克,688670,16.94,17.25,17.63,16.94,9914,11654269.0,3.98,-0.4,-0.07,0.8
234,2025-01-17,金迪克,688670,17.4,17.32,17.43,17.11,6400,7597269.0,1.85,-0.06,-0.01,0.52
233,2025-01-16,金迪克,688670,17.71,17.33,17.74,17.28,8550,10265098.0,2.63,-0.91,-0.16,0.69
232,2025-01-15,金迪克,688670,17.79,17.49,18.03,17.3,8949,10714244.0,4.1,-1.8,-0.32,0.73
231,2025-01-14,金迪克,688670,17.02,17.81,17.81,16.88,13813,16444272.0,5.59,6.97,1.16,1.12
230,2025-01-13,金迪克,688670,16.53,16.65,17.05,15.99,12433,14185736.0,6.4,0.6,0.1,1.01
229,2025-01-10,金迪克,688670,17.28,16.55,17.43,16.55,7115,8289024.0,5.09,-4.22,-0.73,0.58
228,2025-01-09,金迪克,688670,17.19,17.28,17.61,17.02,9273,11037117.0,3.37,-1.2,-0.21,0.75
227,2025-01-08,金迪克,688670,17.22,17.49,18.47,16.98,16616,20178183.0,8.63,1.33,0.23,1.35
226,2025-01-07,金迪克,688670,17.28,17.26,17.36,16.74,9782,11430874.0,3.58,-0.23,-0.04,0.79
225,2025-01-06,金迪克,688670,17.08,17.3,17.75,16.63,13897,16423481.0,6.61,2.13,0.36,1.13
