,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,银河微电,688689,22.37,22.64,22.71,22.25,9663,20754381.0,2.05,0.85,0.19,0.75
240,2025-01-23,银河微电,688689,23.01,22.45,23.09,22.37,12957,28181588.0,3.18,-0.75,-0.17,1.01
239,2025-01-22,银河微电,688689,22.72,22.62,22.87,22.44,12114,26181004.0,1.88,-1.09,-0.25,0.94
238,2025-01-21,银河微电,688689,22.69,22.87,22.92,22.47,13682,29693290.0,1.99,1.06,0.24,1.06
237,2025-01-20,银河微电,688689,22.87,22.63,23.01,22.33,23235,50180062.0,2.94,-1.99,-0.46,1.8
236,2025-01-17,银河微电,688689,22.02,23.09,23.3,21.38,31968,69475272.0,8.85,6.45,1.4,2.48
235,2025-01-16,银河微电,688689,21.75,21.69,22.32,21.35,9304,19295983.0,4.51,0.74,0.16,0.72
234,2025-01-15,银河微电,688689,21.74,21.53,21.86,21.47,8468,17479285.0,1.79,-1.06,-0.23,0.66
233,2025-01-14,银河微电,688689,20.93,21.76,21.78,20.59,10601,21625638.0,5.72,4.57,0.95,0.82
232,2025-01-13,银河微电,688689,20.42,20.81,20.95,20.11,7661,15020093.0,4.05,0.43,0.09,0.59
231,2025-01-10,银河微电,688689,21.02,20.72,21.65,20.66,11186,22576321.0,4.67,-2.36,-0.5,0.87
230,2025-01-09,银河微电,688689,21.22,21.22,21.65,21.04,12814,26124608.0,2.87,0.0,0.0,0.99
229,2025-01-08,银河微电,688689,21.22,21.22,21.49,20.41,14807,29556831.0,5.08,-0.28,-0.06,1.15
228,2025-01-07,银河微电,688689,20.54,21.28,21.28,20.52,11419,22758835.0,3.68,3.0,0.62,0.89
227,2025-01-06,银河微电,688689,20.59,20.66,20.89,19.8,12805,24956857.0,5.31,0.68,0.14,0.99
226,2025-01-03,银河微电,688689,21.52,20.52,21.67,20.52,12993,25997981.0,5.38,-4.07,-0.87,1.01
225,2025-01-02,银河微电,688689,22.21,21.39,22.34,21.22,12091,25147544.0,5.04,-3.69,-0.82,0.94
224,2024-12-31,银河微电,688689,23.43,22.21,23.54,22.2,15717,34085337.0,5.75,-4.76,-1.11,1.22
