,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,中控技术,688777,75.09,77.07,78.09,75.06,158898,817919611.0,4.01,2.05,1.55,2.03
240,2025-01-23,中控技术,688777,76.45,75.52,77.03,75.17,132162,672030524.0,2.46,-0.03,-0.02,1.69
239,2025-01-22,中控技术,688777,75.72,75.54,76.32,75.2,104766,529573392.0,1.47,-0.81,-0.62,1.34
238,2025-01-21,中控技术,688777,73.67,76.16,76.57,73.32,220981,1114132137.0,4.43,3.87,2.84,2.82
237,2025-01-20,中控技术,688777,71.98,73.32,73.45,71.46,134666,651959062.0,2.78,2.47,1.77,1.73
236,2025-01-17,中控技术,688777,71.27,71.55,72.56,71.27,86024,412140121.0,1.8,-0.42,-0.3,1.1
235,2025-01-16,中控技术,688777,72.24,71.85,73.56,71.16,106250,512603312.0,3.34,0.04,0.03,1.36
234,2025-01-15,中控技术,688777,73.03,71.82,73.42,71.45,108867,524387852.0,2.7,-1.74,-1.27,1.4
233,2025-01-14,中控技术,688777,69.62,73.09,73.23,68.55,165876,792894757.0,6.76,5.61,3.88,2.13
232,2025-01-13,中控技术,688777,68.49,69.21,70.69,67.65,96390,445011441.0,4.36,-0.65,-0.45,1.24
231,2025-01-10,中控技术,688777,69.79,69.66,72.65,69.5,168127,798162653.0,4.52,0.0,0.0,2.16
230,2025-01-09,中控技术,688777,68.74,69.66,70.26,68.65,107428,497784457.0,2.33,0.75,0.52,1.38
229,2025-01-08,中控技术,688777,69.95,69.14,70.36,67.17,154250,704549442.0,4.53,-1.87,-1.32,1.98
228,2025-01-07,中控技术,688777,69.61,70.46,70.82,68.65,89122,413971710.0,3.12,1.44,1.0,1.14
227,2025-01-06,中控技术,688777,70.62,69.46,71.07,68.82,105260,489364336.0,3.19,-1.52,-1.07,1.35
226,2025-01-03,中控技术,688777,73.67,70.53,73.85,70.46,131553,631797672.0,4.6,-4.26,-3.14,1.69
225,2025-01-02,中控技术,688777,74.3,73.67,75.68,72.56,156979,775618679.0,4.19,-0.99,-0.74,2.02
224,2024-12-31,中控技术,688777,77.78,74.41,77.78,74.39,166971,843825587.0,4.38,-3.93,-3.04,2.14
223,2024-12-30,中控技术,688777,76.38,77.45,79.6,76.38,181138,942505013.0,4.18,0.64,0.49,2.33
222,2024-12-27,中控技术,688777,78.6,76.96,79.22,76.8,188977,987834865.0,3.08,-2.09,-1.64,2.43
221,2024-12-26,中控技术,688777,75.64,78.6,79.09,75.64,238423,1242143017.0,4.56,4.0,3.02,3.06
220,2024-12-25,中控技术,688777,75.97,75.58,76.25,74.71,120341,605461760.0,2.02,-0.75,-0.57,1.55
219,2024-12-24,中控技术,688777,75.43,76.15,76.59,75.09,124829,632464719.0,2.0,1.34,1.01,1.6
218,2024-12-23,中控技术,688777,77.26,75.14,77.91,75.1,158362,804757010.0,3.65,-2.45,-1.89,2.03
217,2024-12-20,中控技术,688777,77.0,77.03,77.93,76.25,167998,864931610.0,2.18,0.01,0.01,2.16
216,2024-12-19,中控技术,688777,73.75,77.02,77.58,73.29,212084,1075907636.0,5.76,3.48,2.59,2.72
215,2024-12-18,中控技术,688777,73.71,74.43,75.17,73.43,107051,532483713.0,2.35,0.61,0.45,1.37
214,2024-12-17,中控技术,688777,73.45,73.98,74.99,73.29,102522,507485060.0,2.31,0.39,0.29,1.32
213,2024-12-16,中控技术,688777,74.88,73.69,76.03,73.33,128433,638130280.0,3.62,-1.23,-0.92,1.65
212,2024-12-13,中控技术,688777,74.45,74.61,75.65,73.69,153702,764937428.0,2.62,-0.23,-0.17,1.97
211,2024-12-12,中控技术,688777,75.3,74.78,75.39,73.64,143674,714515282.0,2.32,-0.72,-0.54,1.85
210,2024-12-11,中控技术,688777,75.75,75.32,76.88,74.74,185872,938678927.0,2.81,-0.95,-0.72,2.39
209,2024-12-10,中控技术,688777,77.78,76.04,79.64,75.71,301766,1569399107.0,5.24,1.43,1.07,3.88
208,2024-12-09,中控技术,688777,75.67,74.97,78.04,74.78,180479,918302551.0,4.33,-0.37,-0.28,2.32
207,2024-12-06,中控技术,688777,74.88,75.25,75.99,73.23,158221,789358246.0,3.7,0.86,0.64,2.03
206,2024-12-05,中控技术,688777,74.71,74.61,75.99,74.01,157843,788933362.0,2.63,-0.73,-0.55,2.03
205,2024-12-04,中控技术,688777,73.35,75.16,76.42,72.87,227943,1141245076.0,4.85,2.64,1.93,2.93
204,2024-12-03,中控技术,688777,74.27,73.23,74.27,72.38,112545,549672646.0,2.54,-1.44,-1.07,1.45
203,2024-12-02,中控技术,688777,72.85,74.3,75.1,72.62,170258,841020650.0,3.41,2.27,1.65,2.19
202,2024-11-29,中控技术,688777,69.52,72.65,73.62,69.24,176158,843044644.0,6.28,4.17,2.91,2.26
201,2024-11-28,中控技术,688777,70.79,69.74,71.19,69.68,97382,456237718.0,2.13,-1.64,-1.16,1.25
200,2024-11-27,中控技术,688777,69.16,70.9,71.13,68.33,122301,568329634.0,4.05,2.52,1.74,1.57
199,2024-11-26,中控技术,688777,70.1,69.16,70.42,69.08,85963,398977113.0,1.92,-0.99,-0.69,1.1
198,2024-11-25,中控技术,688777,70.39,69.85,71.1,68.82,139188,646770938.0,3.23,-1.15,-0.81,1.79
197,2024-11-22,中控技术,688777,74.25,70.66,75.1,70.53,162774,791029966.0,6.21,-4.02,-2.96,2.09
196,2024-11-21,中控技术,688777,74.96,73.62,75.07,73.0,126137,623183816.0,2.77,-1.64,-1.23,1.62
195,2024-11-20,中控技术,688777,73.77,74.85,75.84,73.75,142825,713898140.0,2.8,0.46,0.34,1.83
194,2024-11-19,中控技术,688777,72.07,74.51,74.87,71.72,141853,692423306.0,4.39,3.95,2.83,1.82
193,2024-11-18,中控技术,688777,73.94,71.68,74.71,71.35,155938,755581665.0,4.55,-2.93,-2.16,2.0
192,2024-11-15,中控技术,688777,77.1,73.84,77.94,73.65,190746,966175412.0,5.53,-4.77,-3.7,2.45
