,板块,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,专业服务,002564,*ST天沃,4.13,2.99,0.12,89664.0,37125879.0,2.74,4.2,4.09,4.14,4.01,1.04,484.83,29.58
1,专业服务,603060,国检集团,7.16,2.14,0.15,49420.0,35405035.0,3.0,7.23,7.02,7.02,7.01,0.61,28.33,2.77
2,专业服务,003035,南网能源,4.14,1.22,0.05,121834.0,50624756.45,2.2,4.19,4.1,4.1,4.09,0.54,77.32,2.29
3,专业服务,603698,航天工程,16.05,1.07,0.17,35740.0,57603958.0,2.9,16.27,15.81,15.81,15.88,0.67,50.58,2.57
4,专业服务,301169,零点有数,37.58,0.86,0.32,27210.0,102731174.85,4.24,38.8,37.22,38.61,37.26,3.79,-30.17,5.21
5,专业服务,600662,外服控股,5.05,0.6,0.03,219042.0,110366576.0,3.19,5.1,4.94,4.97,5.02,0.97,17.24,2.59
6,专业服务,836208,青矩技术,30.66,0.56,0.17,5516.0,16874747.82,3.84,31.2,30.03,30.9,30.49,0.91,22.11,3.21
7,专业服务,301115,建科股份,13.65,0.44,0.06,10600.0,14505717.0,1.91,13.8,13.54,13.6,13.59,1.0,90.5,0.98
8,专业服务,600861,北京人力,18.66,0.43,0.08,25460.0,47714722.0,2.64,19.0,18.51,18.51,18.58,0.69,12.35,1.66
9,专业服务,003008,开普检测,19.17,0.42,0.08,12785.0,24618378.0,1.73,19.43,19.1,19.1,19.09,1.64,26.71,1.9
10,专业服务,300572,安车检测,14.81,0.34,0.05,40633.0,60315200.2,3.25,15.05,14.57,14.94,14.76,2.21,-96.6,1.72
11,专业服务,688293,奥浦迈,39.16,0.0,0.0,,,0.0,,,,39.16,0.0,122.45,2.12
12,专业服务,603183,建研院,3.79,0.0,0.0,88762.0,34012136.0,2.64,3.88,3.78,3.8,3.79,1.79,57.27,1.2
13,专业服务,300384,三联虹普,18.3,-0.22,-0.04,207441.0,384054871.53,4.85,19.0,18.11,18.58,18.34,9.44,16.79,2.21
14,专业服务,300797,钢研纳克,11.65,-0.26,-0.03,21771.0,25497640.8,2.4,11.87,11.59,11.7,11.68,0.58,38.64,3.96
15,专业服务,831039,国义招标,7.75,-0.39,-0.03,5665.0,4389528.84,3.08,7.87,7.63,7.81,7.78,0.37,21.75,2.29
16,专业服务,300012,华测检测,12.35,-0.4,-0.05,172615.0,214391720.57,1.53,12.53,12.34,12.43,12.4,1.21,22.25,3.0
17,专业服务,688334,西高院,16.24,-0.49,-0.08,11590.0,18908615.0,1.53,16.45,16.2,16.4,16.32,0.75,23.68,1.89
18,专业服务,603373,安邦护卫,29.25,-0.51,-0.15,6458.0,19104947.0,2.45,29.97,29.25,29.45,29.4,1.42,27.4,1.8
19,专业服务,300215,电科院,5.77,-0.52,-0.03,66126.0,38558840.0,2.24,5.89,5.76,5.8,5.8,1.18,205.86,2.18
20,专业服务,871753,天纺标,27.18,-0.59,-0.16,6053.0,16752411.59,4.13,28.25,27.12,27.68,27.34,1.92,79.09,5.67
21,专业服务,300962,中金辐照,15.02,-0.66,-0.1,14664.0,22224147.0,1.92,15.3,15.01,15.16,15.12,0.56,31.01,4.24
22,专业服务,873122,中纺标,45.86,-1.04,-0.48,5016.0,23461392.26,4.29,47.85,45.86,47.0,46.34,1.47,169.3,12.73
23,专业服务,300416,苏试试验,11.22,-1.23,-0.14,55854.0,63096611.7,2.38,11.46,11.19,11.39,11.36,1.11,29.23,2.2
24,专业服务,002967,广电计量,18.36,-1.5,-0.28,64767.0,119846762.21,2.25,18.78,18.36,18.64,18.64,1.2,42.55,3.01
25,专业服务,920099,瑞华技术,27.82,-1.7,-0.48,2734.0,7683428.2,2.16,28.43,27.82,28.43,28.3,0.75,21.08,2.91
26,专业服务,301508,中机认检,32.1,-1.8,-0.59,16237.0,52904715.64,3.09,33.11,32.1,32.84,32.69,2.76,54.93,3.75
27,专业服务,300947,德必集团,17.51,-1.85,-0.33,65567.0,118622749.0,5.66,18.52,17.51,17.91,17.84,4.34,89.2,2.1
28,专业服务,688133,泰坦科技,18.61,-2.05,-0.39,12912.0,24308204.0,3.16,19.2,18.6,18.98,19.0,0.79,236.42,1.1
29,专业服务,603776,永安行,12.25,-2.47,-0.31,37725.0,47246957.0,3.82,12.73,12.25,12.63,12.56,1.58,-73.49,0.98
30,专业服务,301306,西测测试,33.38,-2.71,-0.93,10611.0,36026831.14,4.84,34.99,33.33,34.6,34.31,2.7,-22.29,2.59
31,专业服务,301289,国缆检测,45.39,-2.81,-1.31,10024.0,46107994.77,3.75,47.07,45.32,46.7,46.7,3.95,49.15,3.69
32,专业服务,300662,科锐国际,20.21,-3.3,-0.69,30058.0,61966012.56,5.02,21.21,20.16,20.88,20.9,1.53,22.06,2.07
33,专业服务,300887,谱尼测试,7.42,-3.51,-0.27,95574.0,72269004.22,4.68,7.77,7.41,7.69,7.69,2.64,-12.97,1.27
34,专业服务,300938,信测标准,29.72,-3.91,-1.21,35191.0,105717954.23,6.05,31.17,29.3,30.55,30.93,3.12,25.12,4.34
35,专业服务,301228,实朴检测,14.33,-5.1,-0.77,49727.0,73751079.4,6.89,15.37,14.33,15.35,15.1,9.1,-34.18,2.3
36,专业服务,002811,郑中设计,9.8,-6.31,-0.66,107032.0,108327174.05,8.89,10.7,9.77,10.58,10.46,4.3,21.18,2.49
