,日期,板块,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
240,2025-01-27,保险,1418.96,1382.17,1424.96,1381.2,-2.18,-30.83,4002186,6444900338.0,3.1,0.5
239,2025-01-24,保险,1397.36,1413.0,1423.49,1388.6,0.01,0.16,5562167,7995977008.0,2.47,0.69
238,2025-01-23,保险,1398.03,1412.84,1436.7,1393.48,5.14,69.09,6294228,12026868485.0,3.22,0.78
237,2025-01-22,保险,1332.97,1343.75,1346.05,1313.55,0.21,2.84,4292252,5868360514.0,2.42,0.53
236,2025-01-21,保险,1370.57,1340.91,1373.35,1335.42,-1.1,-14.92,2804298,4778034888.0,2.8,0.35
235,2025-01-20,保险,1358.42,1355.83,1372.22,1353.0,0.47,6.32,2304186,5073979112.0,1.42,0.29
234,2025-01-17,保险,1335.39,1349.51,1362.02,1322.43,0.66,8.91,2657325,5290526380.0,2.95,0.33
233,2025-01-16,保险,1332.86,1340.6,1352.69,1325.63,1.15,15.18,2609918,4654166147.0,2.04,0.32
232,2025-01-15,保险,1331.81,1325.42,1341.89,1321.66,-0.81,-10.88,2454329,4499815530.0,1.51,0.3
231,2025-01-14,保险,1299.57,1336.3,1343.14,1290.56,3.32,42.95,3525394,6523674265.0,4.07,0.44
230,2025-01-13,保险,1287.5,1293.35,1297.34,1275.85,-0.77,-10.0,2769803,5283164089.0,1.65,0.34
229,2025-01-10,保险,1332.66,1303.35,1339.02,1303.35,-2.32,-31.01,2612288,5039538812.0,2.67,0.32
228,2025-01-09,保险,1341.56,1334.36,1352.57,1331.63,-0.91,-12.25,2343516,4167026527.0,1.56,0.29
227,2025-01-08,保险,1341.27,1346.61,1356.12,1317.17,0.38,5.1,3304349,5483813230.0,2.9,0.41
226,2025-01-07,保险,1335.63,1341.51,1342.95,1322.22,0.53,7.04,2738965,4438087067.0,1.55,0.34
225,2025-01-06,保险,1354.69,1334.47,1358.47,1328.11,-1.69,-22.89,3487196,5031152112.0,2.24,0.43
224,2025-01-03,保险,1400.64,1357.36,1403.63,1354.82,-3.19,-44.7,4056363,6526985997.0,3.48,0.5
223,2025-01-02,保险,1475.88,1402.06,1478.13,1389.37,-5.12,-75.64,4796288,10060057430.0,6.01,0.6
222,2024-12-31,保险,1526.83,1477.7,1531.48,1477.7,-3.44,-52.71,4105041,8309415895.0,3.51,0.51
221,2024-12-30,保险,1500.63,1530.41,1534.53,1500.63,1.45,21.94,3958998,7626878345.0,2.25,0.49
220,2024-12-27,保险,1505.79,1508.47,1517.52,1481.59,-0.1,-1.45,3994498,6783657542.0,2.38,0.5
219,2024-12-26,保险,1504.05,1509.92,1511.52,1493.55,-0.24,-3.63,3182489,5082763417.0,1.19,0.4
218,2024-12-25,保险,1492.17,1513.55,1534.55,1479.86,1.29,19.34,4519188,6512411056.0,3.66,0.56
217,2024-12-24,保险,1463.4,1494.21,1501.86,1462.12,1.74,25.5,3662058,7078189552.0,2.71,0.45
216,2024-12-23,保险,1455.32,1468.71,1488.31,1455.32,0.65,9.51,3806742,7012985147.0,2.26,0.47
215,2024-12-20,保险,1462.07,1459.2,1476.4,1451.28,-0.22,-3.27,3059273,5951106990.0,1.72,0.38
214,2024-12-19,保险,1454.03,1462.47,1467.13,1450.22,-0.95,-14.1,3110768,5149280104.0,1.15,0.39
213,2024-12-18,保险,1484.87,1476.57,1513.9,1470.47,-0.12,-1.74,4466692,6883005083.0,2.94,0.55
212,2024-12-17,保险,1484.9,1478.31,1499.8,1473.11,-0.59,-8.75,4327980,6949000475.0,1.79,0.54
211,2024-12-16,保险,1487.5,1487.06,1507.27,1478.96,-0.28,-4.13,5365340,8159927414.0,1.9,0.67
210,2024-12-13,保险,1539.48,1491.19,1543.2,1489.51,-4.01,-62.25,6572366,11210659093.0,3.46,0.82
209,2024-12-12,保险,1503.85,1553.44,1565.06,1495.21,3.19,48.04,6951533,9449462450.0,4.64,0.86
208,2024-12-11,保险,1536.41,1505.4,1552.11,1500.95,-3.36,-52.27,5424226,8177305627.0,3.28,0.67
207,2024-12-10,保险,1609.26,1557.67,1614.41,1556.17,1.83,28.02,9511638,15603216472.0,3.81,1.18
206,2024-12-09,保险,1517.85,1529.65,1552.84,1509.46,0.43,6.6,6519307,9774633406.0,2.85,0.81
205,2024-12-06,保险,1455.14,1523.05,1550.42,1454.91,4.95,71.88,6134244,12331914781.0,6.58,0.76
204,2024-12-05,保险,1431.8,1451.17,1456.57,1428.78,0.89,12.8,4011103,4667574418.0,1.93,0.5
203,2024-12-04,保险,1446.19,1438.37,1452.68,1430.3,-1.26,-18.3,2326535,4645326044.0,1.54,0.29
202,2024-12-03,保险,1439.02,1456.67,1461.6,1429.56,0.92,13.27,3032737,6301169784.0,2.22,0.38
201,2024-12-02,保险,1421.33,1443.4,1448.06,1415.32,1.29,18.36,2929127,5694274920.0,2.3,0.36
