,日期,板块,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
240,2025-01-27,医疗器械,757.33,754.92,764.9,754.15,0.05,0.4,4930854,8243173087.0,1.42,1.31
239,2025-01-24,医疗器械,749.26,754.52,755.38,744.79,0.48,3.62,4743953,9654153404.0,1.41,1.26
238,2025-01-23,医疗器械,756.51,750.9,763.18,750.9,-0.02,-0.14,5236648,10397193541.0,1.64,1.4
237,2025-01-22,医疗器械,758.09,751.04,758.09,747.58,-1.22,-9.27,4663382,9875991261.0,1.38,1.24
236,2025-01-21,医疗器械,765.17,760.31,765.95,754.17,-0.27,-2.03,4412420,7891012747.0,1.55,1.18
235,2025-01-20,医疗器械,759.33,762.34,765.76,758.41,0.84,6.34,4821241,9525896239.0,0.97,1.29
234,2025-01-17,医疗器械,751.6,756.0,759.17,745.94,0.46,3.45,4654243,8254156492.0,1.76,1.24
233,2025-01-16,医疗器械,753.28,752.55,763.33,747.39,0.13,1.01,5481055,8707660665.0,2.12,1.46
232,2025-01-15,医疗器械,758.38,751.54,758.38,749.79,-0.97,-7.36,4624322,8286559184.0,1.13,1.23
231,2025-01-14,医疗器械,733.59,758.9,758.9,733.59,3.72,27.2,6249220,11299905876.0,3.46,1.67
230,2025-01-13,医疗器械,720.98,731.7,733.93,716.59,1.01,7.3,5177047,8619016902.0,2.39,1.38
229,2025-01-10,医疗器械,743.05,724.4,747.29,724.4,-2.68,-19.95,5956546,9362435804.0,3.08,1.59
228,2025-01-09,医疗器械,742.24,744.35,753.29,737.37,-0.2,-1.49,4968645,8824480198.0,2.13,1.32
227,2025-01-08,医疗器械,746.7,745.84,750.49,729.01,-0.19,-1.4,6021478,10912746713.0,2.87,1.61
226,2025-01-07,医疗器械,743.72,747.24,747.55,733.05,0.24,1.76,6020664,10273861515.0,1.95,1.61
225,2025-01-06,医疗器械,739.02,745.48,755.14,730.84,1.17,8.63,6879223,10892358757.0,3.3,1.83
224,2025-01-03,医疗器械,752.55,736.85,759.01,735.51,-1.94,-14.54,5410817,10839791540.0,3.13,1.44
223,2025-01-02,医疗器械,767.82,751.39,772.66,746.32,-2.17,-16.66,5525615,12146068860.0,3.43,1.47
222,2024-12-31,医疗器械,784.58,768.05,786.71,767.12,-2.0,-15.66,5045251,10809865864.0,2.5,1.35
221,2024-12-30,医疗器械,792.7,783.71,792.7,781.47,-1.44,-11.41,4835995,9726547564.0,1.41,1.29
220,2024-12-27,医疗器械,789.12,795.12,800.45,785.89,0.77,6.09,5233169,10939666676.0,1.85,1.4
219,2024-12-26,医疗器械,784.81,789.03,793.14,783.59,0.24,1.88,4488072,9060926404.0,1.21,1.2
218,2024-12-25,医疗器械,803.07,787.15,807.32,782.5,-1.22,-9.74,5762977,11405799408.0,3.11,1.54
217,2024-12-24,医疗器械,794.69,796.89,800.67,787.05,0.52,4.1,5455245,10896621713.0,1.72,1.45
216,2024-12-23,医疗器械,823.63,792.79,824.28,792.1,-3.64,-29.97,7100914,12898681295.0,3.91,1.89
215,2024-12-20,医疗器械,813.71,822.76,827.97,813.71,0.97,7.88,6057628,13132350014.0,1.75,1.62
214,2024-12-19,医疗器械,815.25,814.88,819.64,804.45,-0.71,-5.79,6034726,12425426193.0,1.85,1.61
213,2024-12-18,医疗器械,817.64,820.67,827.22,807.54,0.56,4.53,5865092,11256965491.0,2.41,1.56
212,2024-12-17,医疗器械,844.98,816.14,845.24,814.77,-3.5,-29.58,7265694,13411625948.0,3.6,1.94
211,2024-12-16,医疗器械,845.4,845.72,851.27,841.87,0.08,0.69,7414159,15920893461.0,1.11,1.98
210,2024-12-13,医疗器械,863.14,845.03,863.14,844.5,-2.41,-20.87,8512969,20444707966.0,2.15,2.27
209,2024-12-12,医疗器械,858.27,865.9,865.9,855.64,0.86,7.39,8132081,17261183975.0,1.2,2.17
208,2024-12-11,医疗器械,851.24,858.51,859.62,851.24,0.66,5.65,7283781,14895988198.0,0.98,1.94
207,2024-12-10,医疗器械,872.42,852.86,873.8,851.53,0.4,3.39,10123647,20685055328.0,2.62,2.7
