,板块,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,半导体,688620,安凯微,12.49,10.53,1.19,448338.0,555115421.0,18.58,13.16,11.06,11.24,11.3,19.63,-164.07,3.31
1,半导体,603068,博通集成,40.47,10.0,3.68,190221.0,757057411.0,11.33,40.47,36.3,36.88,36.79,12.65,-134.07,3.65
2,半导体,688608,恒玄科技,397.01,5.53,20.81,30787.0,1210262872.0,7.85,402.52,373.0,380.61,376.2,2.56,123.64,7.54
3,半导体,603893,瑞芯微,164.5,4.6,7.24,179877.0,2893758646.0,10.56,168.6,152.0,154.91,157.26,4.3,146.95,20.86
4,半导体,688286,敏芯股份,70.38,4.45,3.0,21512.0,147799162.0,8.22,70.74,65.2,68.12,67.38,3.84,-61.45,3.89
5,半导体,001270,铖昌科技,27.15,3.11,0.82,98621.0,267424414.43,5.58,27.8,26.33,26.33,26.33,9.73,-133.85,4.13
6,半导体,688220,翱捷科技-U,69.52,3.01,2.03,86095.0,602458382.0,6.58,72.0,67.56,68.88,67.49,2.39,-52.88,4.95
7,半导体,600360,ST华微,4.98,2.68,0.13,334071.0,166724368.0,3.92,5.09,4.9,4.9,4.85,3.48,35.26,1.43
8,半导体,688728,格科微,13.83,2.67,0.36,178860.0,252527061.0,3.79,14.33,13.82,14.14,13.47,1.23,3325.53,4.72
9,半导体,688234,天岳先进,57.41,2.52,1.41,89509.0,515574960.0,6.18,59.15,55.69,56.08,56.0,2.98,129.36,4.67
10,半导体,001309,德明利,104.39,2.15,2.2,129317.0,1333401022.62,9.18,106.88,97.5,103.0,102.19,14.76,30.03,6.67
11,半导体,301536,星宸科技,81.4,1.88,1.5,113090.0,939404745.41,11.15,86.41,77.5,79.0,79.9,29.84,130.99,11.84
12,半导体,300613,富瀚微,63.15,1.71,1.06,189984.0,1189484338.96,5.88,63.9,60.25,62.92,62.09,8.69,59.13,5.72
13,半导体,688002,睿创微纳,49.82,0.16,0.08,58465.0,293256162.0,2.63,50.77,49.46,49.95,49.74,1.29,35.16,4.41
14,半导体,688593,新相微,20.54,0.15,0.03,38405.0,77782497.0,4.14,20.73,19.88,20.51,20.51,1.2,2068.13,6.03
15,半导体,688720,艾森股份,41.0,0.0,0.0,,,0.0,,,,41.0,0.0,113.73,3.56
16,半导体,688200,华峰测控,126.0,-0.4,-0.5,12956.0,164530244.0,3.15,129.0,125.02,125.5,126.5,0.96,60.06,4.97
17,半导体,002371,北方华创,377.0,-0.64,-2.41,44739.0,1689555230.72,1.28,380.19,375.33,379.41,379.41,0.84,33.78,6.92
18,半导体,300831,派瑞股份,15.38,-0.77,-0.12,130038.0,203270133.82,3.74,15.92,15.34,15.52,15.5,7.05,70.25,5.41
19,半导体,688120,华海清科,158.4,-0.88,-1.4,22084.0,351854387.0,2.95,162.39,157.67,159.55,159.8,1.3,39.02,6.08
20,半导体,688332,中科蓝讯,143.0,-0.94,-1.36,41665.0,607911931.0,6.93,149.88,139.88,145.11,144.36,9.46,62.42,4.42
21,半导体,003026,中晶科技,30.27,-0.95,-0.29,19055.0,58498707.7,3.37,31.3,30.27,31.14,30.56,2.37,229.67,6.11
22,半导体,300666,江丰电子,70.29,-0.99,-0.7,39833.0,281579180.4,2.06,71.46,70.0,71.01,70.99,1.81,48.77,4.23
23,半导体,688052,纳芯微,136.7,-1.16,-1.61,18504.0,253570945.0,3.83,140.0,134.7,138.56,138.31,1.98,-35.84,3.2
24,半导体,002049,紫光国微,59.12,-1.17,-0.7,120203.0,716320418.92,2.16,60.38,59.09,60.2,59.82,1.42,42.19,4.05
25,半导体,002079,苏州固锝,9.99,-1.19,-0.12,102406.0,102981147.2,2.37,10.18,9.94,10.13,10.11,1.27,150.19,2.72
26,半导体,688126,沪硅产业,17.83,-1.22,-0.22,121067.0,218106706.0,2.55,18.28,17.82,18.06,18.05,0.45,-68.48,3.78
27,半导体,688653,康希通信,12.01,-1.23,-0.15,26710.0,32326517.0,1.73,12.22,12.01,12.13,12.16,0.86,-112.91,3.21
28,半导体,300458,全志科技,47.16,-1.24,-0.59,783203.0,3753601112.46,8.9,49.95,45.7,47.77,47.75,15.13,148.31,9.89
29,半导体,688135,利扬芯片,16.8,-1.29,-0.22,44193.0,74704336.0,4.52,17.22,16.45,16.8,17.02,2.21,-206.9,3.07
30,半导体,688049,炬芯科技,45.26,-1.31,-0.6,98322.0,455676837.0,6.3,47.39,44.5,46.14,45.86,8.76,69.95,3.59
31,半导体,301095,广立微,48.08,-1.37,-0.67,31483.0,152716828.0,2.99,49.49,48.03,49.4,48.75,2.93,936.76,3.14
32,半导体,688591,泰凌微,36.0,-1.45,-0.53,125135.0,459825481.0,4.87,37.6,35.82,36.54,36.53,7.67,100.82,3.7
33,半导体,688213,思特威-W,79.2,-1.47,-1.18,82991.0,670841630.0,5.35,83.2,78.9,81.0,80.38,2.57,87.36,7.76
34,半导体,688469,芯联集成-U,4.61,-1.5,-0.07,479913.0,223214757.0,2.78,4.74,4.61,4.69,4.68,1.09,-35.69,2.71
35,半导体,688018,乐鑫科技,270.24,-1.59,-4.36,52464.0,1462798343.0,7.11,288.5,268.97,280.0,274.6,4.68,90.56,14.89
36,半导体,301297,富乐德,40.34,-1.63,-0.67,70175.0,288969652.84,5.51,42.6,40.34,42.6,41.01,5.07,128.9,9.33
37,半导体,603061,金海通,80.16,-1.64,-1.34,8730.0,70504482.0,3.35,82.47,79.74,81.5,81.5,2.09,80.29,3.76
38,半导体,600877,电科芯片,12.53,-1.65,-0.21,68944.0,87199330.0,2.2,12.8,12.52,12.74,12.74,0.58,188.74,6.05
39,半导体,603501,韦尔股份,105.51,-1.72,-1.85,131689.0,1401176059.0,2.6,108.29,105.5,107.83,107.36,1.08,40.51,5.72
40,半导体,688396,华润微,45.59,-1.79,-0.83,38818.0,179711888.0,2.69,46.81,45.56,46.81,46.42,0.29,90.63,2.73
41,半导体,688508,芯朋微,47.21,-1.89,-0.91,33834.0,160925900.0,2.49,48.3,47.1,47.88,48.12,2.58,60.19,2.52
42,半导体,300456,赛微电子,16.24,-1.93,-0.32,100631.0,166372862.23,3.99,16.88,16.22,16.71,16.56,1.7,-75.73,2.36
43,半导体,000670,盈方微,6.56,-1.94,-0.13,248951.0,166068777.95,3.89,6.82,6.56,6.75,6.69,3.45,-113.09,295.9
44,半导体,002156,通富微电,28.3,-1.97,-0.57,555318.0,1596800046.48,4.16,29.5,28.3,29.36,28.87,3.66,58.3,2.97
45,半导体,300604,长川科技,44.23,-2.1,-0.95,143147.0,640196289.06,2.81,45.5,44.23,45.37,45.18,2.97,58.18,8.41
46,半导体,300373,扬杰科技,43.2,-2.11,-0.93,53439.0,233444162.0,3.1,44.57,43.2,44.21,44.13,0.99,26.31,2.79
47,半导体,301369,联动科技,51.11,-2.14,-1.12,7319.0,37876850.0,3.66,52.92,51.01,52.4,52.23,3.02,176.11,2.41
48,半导体,688259,创耀科技,35.87,-2.15,-0.79,11958.0,43221785.0,4.36,37.1,35.5,37.1,36.66,1.07,64.09,2.68
49,半导体,688167,炬光科技,64.65,-2.16,-1.43,36921.0,244480144.0,5.24,68.11,64.65,65.8,66.08,4.09,-84.61,2.55
50,半导体,603933,睿能科技,15.77,-2.17,-0.35,34567.0,55178585.0,2.79,16.21,15.76,16.11,16.12,1.67,40.52,2.49
51,半导体,603160,汇顶科技,78.96,-2.19,-1.77,51164.0,408185328.0,3.34,81.5,78.8,81.0,80.73,1.11,61.04,4.21
52,半导体,605111,新洁能,32.08,-2.2,-0.72,73252.0,237868828.0,2.93,33.02,32.06,32.88,32.8,1.76,30.08,3.46
53,半导体,605588,冠石科技,41.3,-2.2,-0.93,12107.0,50218958.0,3.55,42.31,40.81,42.22,42.23,1.66,194.2,2.85
54,半导体,688099,晶晨股份,83.92,-2.21,-1.9,120405.0,1012770956.0,3.13,85.33,82.64,83.04,85.82,2.88,44.38,5.7
55,半导体,688045,必易微,32.63,-2.22,-0.74,7424.0,24551710.0,3.15,33.64,32.59,33.59,33.37,2.01,-82.92,1.67
56,半导体,688216,气派科技,20.28,-2.22,-0.46,9305.0,19123931.0,3.81,21.01,20.22,21.0,20.74,0.88,-26.75,3.14
57,半导体,688689,银河微电,21.14,-2.22,-0.48,9510.0,20340156.0,3.33,21.79,21.07,21.7,21.62,0.74,45.48,2.33
58,半导体,603290,斯达半导,84.0,-2.25,-1.93,19116.0,162529551.0,2.79,86.4,84.0,85.96,85.93,0.8,35.64,3.05
59,半导体,688439,振华风光,47.33,-2.25,-1.09,24494.0,117389995.0,3.18,48.87,47.33,48.57,48.42,2.15,28.58,1.96
60,半导体,688478,晶升股份,28.21,-2.29,-0.66,10081.0,29015038.0,3.95,29.35,28.21,28.87,28.87,0.99,53.83,2.48
61,半导体,688041,海光信息,128.0,-2.29,-3.0,175857.0,2263675771.0,3.6,130.72,126.01,128.1,131.0,1.98,146.25,15.01
62,半导体,688252,天德钰,24.53,-2.31,-0.58,65750.0,162848407.0,3.27,25.26,24.44,25.12,25.11,3.61,39.19,4.82
63,半导体,002077,大港股份,13.78,-2.34,-0.33,146285.0,204085937.1,3.26,14.24,13.78,14.23,14.11,2.52,151.12,2.42
64,半导体,688699,明微电子,33.45,-2.36,-0.81,6455.0,21897503.0,3.88,34.78,33.45,34.78,34.26,0.59,497.3,2.98
65,半导体,688230,芯导科技,46.04,-2.37,-1.12,7436.0,34717933.0,3.29,47.59,46.04,47.16,47.16,2.53,49.15,2.42
66,半导体,603986,兆易创新,127.4,-2.38,-3.1,223230.0,2862587665.0,3.8,131.45,126.49,129.34,130.5,3.37,76.25,5.29
67,半导体,688391,钜泉科技,28.79,-2.44,-0.72,8773.0,25575454.0,3.22,29.69,28.74,29.69,29.51,1.55,34.61,1.78
68,半导体,688403,汇成股份,8.49,-2.53,-0.22,69648.0,59874865.0,3.33,8.78,8.49,8.7,8.71,1.2,52.91,2.3
69,半导体,688416,恒烁股份,35.66,-2.54,-0.93,28739.0,104339921.0,5.82,37.5,35.37,37.1,36.59,6.01,-21.14,2.06
70,半导体,688432,有研硅,10.6,-2.57,-0.28,44586.0,48026166.0,3.58,10.99,10.6,10.95,10.88,0.88,50.95,3.08
71,半导体,301308,江波龙,83.11,-2.6,-2.22,49405.0,415447501.64,2.99,85.5,82.95,84.5,85.33,4.26,46.56,5.24
72,半导体,688401,路维光电,25.55,-2.63,-0.69,24595.0,63834891.0,3.05,26.35,25.55,26.28,26.24,2.13,30.6,3.75
73,半导体,688130,晶华微,24.05,-2.67,-0.66,14561.0,35510501.0,3.28,24.86,24.05,24.54,24.71,4.86,-234.29,1.76
74,半导体,688601,力芯微,39.98,-2.75,-1.13,25836.0,104775273.0,2.85,41.14,39.97,41.1,41.11,1.93,39.9,4.21
75,半导体,002185,华天科技,11.26,-2.76,-0.32,517356.0,590516939.69,3.45,11.66,11.26,11.6,11.58,1.61,75.79,2.19
76,半导体,688595,芯海科技,30.58,-2.77,-0.87,19220.0,59847841.0,4.58,31.96,30.52,31.7,31.45,1.35,-28.41,5.99
77,半导体,301050,雷电微力,49.77,-2.79,-1.43,41551.0,209618222.54,2.99,51.3,49.77,51.12,51.2,1.99,24.44,4.19
78,半导体,688652,京仪装备,54.84,-2.82,-1.59,26168.0,143783824.0,4.57,56.27,53.69,56.23,56.43,2.56,53.24,4.49
79,半导体,688233,神工股份,23.1,-2.86,-0.68,38038.0,88047110.0,3.45,23.6,22.78,23.5,23.78,2.23,107.35,2.21
80,半导体,688409,富创精密,50.44,-2.89,-1.5,26032.0,133488076.0,4.51,52.78,50.44,52.35,51.94,1.45,61.42,3.45
81,半导体,688209,英集芯,18.4,-2.9,-0.55,45267.0,84585005.0,3.75,19.11,18.4,18.99,18.95,1.51,66.52,4.07
82,半导体,688012,中微公司,180.09,-2.91,-5.39,59068.0,1083170868.0,3.92,187.29,180.01,186.0,185.48,0.95,92.07,5.96
83,半导体,688325,赛微微电,49.48,-2.94,-1.5,8515.0,42723559.0,3.28,51.15,49.48,51.0,50.98,2.22,52.48,2.49
84,半导体,002119,康强电子,17.13,-2.95,-0.52,354808.0,625339665.46,4.7,17.96,17.13,17.5,17.65,9.45,60.71,4.71
85,半导体,300671,富满微,31.8,-2.96,-0.97,39607.0,128761309.56,4.55,33.29,31.8,33.05,32.77,1.83,-80.13,3.93
86,半导体,300782,卓胜微,78.35,-3.01,-2.43,67271.0,534384508.52,3.16,80.9,78.35,80.78,80.78,1.5,73.84,4.1
87,半导体,600460,士兰微,25.07,-3.02,-0.78,248297.0,631527134.0,4.18,26.05,24.97,25.93,25.85,1.49,1083.47,3.46
88,半导体,688380,中微半导,31.08,-3.03,-0.97,85584.0,271632037.0,4.34,32.39,31.0,32.25,32.05,5.79,83.82,4.19
