,板块,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,塑料制品,301356,天振股份,18.48,8.64,1.47,41202,78197706.22,18.58,20.4,17.24,17.24,17.01,7.52,-70.62,1.35
1,塑料制品,301019,宁波色母,16.68,6.85,1.07,45558,74632773.71,6.41,16.88,15.88,16.06,15.61,4.1,29.32,2.53
2,塑料制品,300980,祥源新材,26.88,5.21,1.33,76198,201183224.76,8.53,27.5,25.32,25.66,25.55,7.75,133.45,2.71
3,塑料制品,603615,茶花股份,22.86,3.91,0.86,62226,144263130.0,10.41,24.0,21.71,22.13,22.0,2.57,-280.51,4.76
4,塑料制品,300478,杭州高新,9.27,3.58,0.32,36625,33810467.0,4.36,9.35,8.96,9.11,8.95,2.89,-54.61,15.42
5,塑料制品,003011,海象新材,15.09,3.57,0.52,44928,69464631.12,7.55,16.0,14.9,15.25,14.57,5.78,712.24,1.14
6,塑料制品,688669,聚石化学,15.4,2.87,0.43,18798,28566622.0,5.68,15.59,14.74,15.04,14.97,1.55,-149.24,1.22
7,塑料制品,688386,泛亚微透,33.8,2.86,0.94,14020,47796539.0,6.33,34.8,32.72,32.72,32.86,2.0,26.64,3.31
8,塑料制品,300221,银禧科技,6.48,2.69,0.17,334879,217137169.0,4.91,6.64,6.33,6.4,6.31,7.4,59.32,2.33
9,塑料制品,003018,金富科技,9.88,2.49,0.24,30892,30286097.0,3.01,9.93,9.64,9.64,9.64,2.33,16.61,1.65
10,塑料制品,603221,爱丽家居,9.55,1.81,0.17,102271,100129423.0,8.0,10.28,9.53,9.84,9.38,4.26,18.72,1.51
11,塑料制品,002768,国恩股份,24.07,1.56,0.37,24295,58758111.08,2.28,24.45,23.91,23.94,23.7,1.37,10.69,1.37
12,塑料制品,603181,皇马科技,11.12,1.46,0.16,22472,24982305.0,2.37,11.2,10.94,10.95,10.96,0.38,17.19,2.18
13,塑料制品,301193,家联科技,16.06,1.39,0.22,7866,12698802.0,2.71,16.35,15.92,15.99,15.84,0.82,34.45,1.96
14,塑料制品,600143,金发科技,9.3,1.31,0.12,755400,710265980.0,4.03,9.58,9.21,9.29,9.18,2.91,26.92,1.41
15,塑料制品,603879,ST永悦,3.75,1.08,0.04,52615,19794779.0,2.96,3.82,3.71,3.72,3.71,1.46,-29.86,3.57
16,塑料制品,002263,大东南,2.32,0.87,0.02,166537,39116342.0,3.91,2.4,2.31,2.31,2.3,0.89,-159.86,1.6
17,塑料制品,300920,润阳科技,17.84,0.73,0.13,8247,14772758.0,2.88,18.11,17.6,17.78,17.71,1.28,70.55,1.53
18,塑料制品,300717,华信新材,14.65,0.69,0.1,16029,23550696.0,2.96,14.83,14.4,14.57,14.55,1.57,32.8,2.19
19,塑料制品,603150,万朗磁塑,27.04,0.56,0.15,5742,15590046.0,1.6,27.33,26.9,26.9,26.89,1.07,16.19,1.51
20,塑料制品,605488,福莱新材,33.44,0.45,0.15,121422,414183284.0,9.49,35.88,32.72,34.0,33.29,6.34,69.69,4.98
21,塑料制品,002838,道恩股份,11.76,0.43,0.05,28436,33745519.0,2.73,12.03,11.71,11.71,11.71,0.73,40.23,1.77
22,塑料制品,300995,奇德新材,16.16,0.37,0.06,13448,21964538.0,2.98,16.6,16.12,16.32,16.1,2.24,182.96,2.17
23,塑料制品,301003,江苏博云,22.07,0.32,0.07,7296,16190263.7,1.91,22.39,21.97,22.12,22.0,0.95,16.3,1.88
24,塑料制品,002108,沧州明珠,3.41,0.29,0.01,149803,51435017.58,2.06,3.47,3.4,3.41,3.4,0.91,30.77,1.12
25,塑料制品,600135,乐凯胶片,6.29,0.16,0.01,59541,37967067.0,3.34,6.49,6.28,6.29,6.28,1.08,-45.51,1.43
26,塑料制品,001378,德冠新材,21.6,0.14,0.03,8826,19180385.85,1.72,21.92,21.55,21.55,21.57,1.36,29.85,1.54
