,板块,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,多元金融,600120,浙江东方,5.09,9.94,0.46,250824,127669579.0,0.0,5.09,5.09,5.09,4.63,0.73,31.17,1.12
1,多元金融,002647,*ST仁东,5.0,0.81,0.04,159428,79939372.26,2.82,5.09,4.95,4.97,4.96,2.85,-14.7,51.56
2,多元金融,600901,江苏金租,5.28,0.19,0.01,383573,202612344.0,1.52,5.32,5.24,5.27,5.27,0.66,10.3,1.31
3,多元金融,600053,九鼎投资,12.88,0.16,0.02,96855,128174723.0,8.86,13.95,12.81,12.81,12.86,2.23,597.94,1.93
4,多元金融,002961,瑞达期货,14.2,-0.21,-0.03,55179,79622667.52,3.72,14.73,14.2,14.46,14.23,1.24,17.46,2.32
5,多元金融,000563,陕国投Ａ,3.55,-0.84,-0.03,717965,257374494.8,3.07,3.64,3.53,3.6,3.58,1.4,13.71,1.02
6,多元金融,603123,翠微股份,7.6,-1.17,-0.09,78860,60820173.0,2.99,7.83,7.6,7.75,7.69,1.21,-12.0,2.48
7,多元金融,600816,建元信托,3.27,-1.21,-0.04,437516,145351968.0,3.63,3.39,3.27,3.33,3.31,0.8,581.74,2.37
8,多元金融,603093,南华期货,11.69,-1.35,-0.16,42535,50504735.0,3.54,12.1,11.68,11.92,11.85,0.7,14.93,1.8
9,多元金融,000415,渤海租赁,3.56,-1.39,-0.05,1071561,381520929.14,4.16,3.65,3.5,3.62,3.61,1.99,10.38,0.72
10,多元金融,600927,永安期货,12.41,-1.51,-0.19,25507,32003304.0,2.54,12.73,12.41,12.6,12.6,0.18,32.33,1.43
11,多元金融,600643,爱建集团,4.8,-1.64,-0.08,131786,64546095.0,4.3,5.0,4.79,4.9,4.88,0.83,23.14,0.61
12,多元金融,000987,越秀资本,6.45,-1.83,-0.12,198605,129482216.95,3.5,6.67,6.44,6.6,6.57,0.4,14.12,1.1
13,多元金融,600830,香溢融通,9.02,-2.17,-0.2,123458,113513747.0,3.58,9.35,9.02,9.29,9.22,2.72,53.66,1.89
14,多元金融,600517,国网英大,5.07,-2.31,-0.12,181692,93188503.0,3.08,5.23,5.07,5.19,5.19,0.32,14.97,1.36
15,多元金融,001236,弘业期货,9.45,-2.38,-0.23,221701,219262182.53,10.23,10.44,9.45,9.9,9.68,6.79,435.0,5.12
16,多元金融,000617,中油资本,6.53,-2.39,-0.16,646669,427919190.41,3.59,6.77,6.53,6.71,6.69,0.51,14.26,0.82
17,多元金融,000567,海德股份,5.99,-2.76,-0.17,172445,105518338.08,5.03,6.29,5.98,6.22,6.16,0.88,16.98,2.16
18,多元金融,600318,新力金融,7.8,-2.99,-0.24,172347,137391836.0,4.98,8.2,7.8,8.09,8.04,3.36,89.34,3.72
19,多元金融,600390,五矿资本,5.98,-3.86,-0.24,966472,587717583.0,4.5,6.26,5.98,6.2,6.22,2.15,16.57,0.63
20,多元金融,002423,中粮资本,12.68,-5.72,-0.77,813937,1061371506.44,6.99,13.62,12.68,13.53,13.45,3.53,17.16,1.34
21,多元金融,600705,中航产融,3.39,-7.12,-0.26,1873188,651694233.0,6.58,3.63,3.39,3.57,3.65,2.13,37.42,0.8
