,日期,板块,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
241,2025-01-24,电网设备,24059.44,24330.67,24383.76,24022.63,0.71,172.6,23458732,22617783896.0,1.49,2.61
240,2025-01-23,电网设备,24638.65,24158.07,24806.62,24158.07,-0.84,-204.91,27524507,26506881042.0,2.66,3.06
239,2025-01-22,电网设备,24409.99,24362.98,24574.96,24286.43,-0.21,-50.66,24770349,23552877633.0,1.18,2.75
238,2025-01-21,电网设备,24499.77,24413.64,24548.32,24186.44,0.32,78.22,18988200,18285736954.0,1.49,2.11
237,2025-01-20,电网设备,23987.75,24335.42,24473.26,23987.75,1.92,458.56,22355129,22268595624.0,2.03,2.49
236,2025-01-17,电网设备,23771.99,23876.86,24016.43,23567.63,0.08,20.27,16206709,16431750363.0,1.88,1.8
235,2025-01-16,电网设备,23779.64,23856.59,24189.21,23616.58,0.67,159.18,18860621,18210333820.0,2.42,2.1
234,2025-01-15,电网设备,23915.82,23697.41,23968.37,23641.8,-0.92,-218.99,19348416,18237025578.0,1.37,2.15
233,2025-01-14,电网设备,22839.83,23916.4,23916.4,22839.83,5.26,1194.35,21308906,20646717097.0,4.74,2.37
232,2025-01-13,电网设备,22618.65,22722.05,22912.25,22239.54,-0.98,-223.86,15362499,15062035789.0,2.93,1.71
231,2025-01-10,电网设备,23780.56,22945.91,23950.31,22945.56,-3.66,-871.59,20008258,18582683266.0,4.22,2.22
230,2025-01-09,电网设备,23709.96,23817.5,24059.64,23702.84,-0.03,-7.78,20270321,20243010149.0,1.5,2.25
229,2025-01-08,电网设备,23747.33,23825.28,23966.83,23035.55,-0.12,-27.45,24398262,23505601665.0,3.9,2.71
228,2025-01-07,电网设备,22985.26,23852.73,23853.98,22977.74,3.79,870.17,23236049,22016702640.0,3.81,2.58
227,2025-01-06,电网设备,22756.54,22982.56,23219.06,22193.56,0.64,145.37,23101565,21799263112.0,4.49,2.57
226,2025-01-03,电网设备,23829.67,22837.19,23903.11,22805.36,-4.02,-956.94,25388768,22335282140.0,4.61,2.82
225,2025-01-02,电网设备,24284.12,23794.13,24532.68,23576.49,-2.33,-568.55,28009521,25762862046.0,3.92,3.11
224,2024-12-31,电网设备,25093.06,24362.68,25218.85,24335.82,-2.64,-661.08,29763640,26619671579.0,3.53,3.31
223,2024-12-30,电网设备,25243.16,25023.76,25339.46,24887.23,-1.08,-272.97,29256441,27611903178.0,1.79,3.25
222,2024-12-27,电网设备,24932.79,25296.73,25583.44,24932.79,2.09,517.72,27832298,26829699881.0,2.63,3.09
221,2024-12-26,电网设备,24276.25,24779.01,24913.74,24230.02,1.93,468.04,22539603,21872986405.0,2.81,2.51
220,2024-12-25,电网设备,24851.02,24310.97,24884.38,24024.05,-2.32,-578.33,25046057,22498667531.0,3.46,2.78
219,2024-12-24,电网设备,24456.57,24889.3,24969.4,24456.57,2.23,543.5,22704845,22580424764.0,2.11,2.52
218,2024-12-23,电网设备,25402.55,24345.8,25564.94,24293.81,-4.46,-1135.72,26820464,25006311708.0,4.99,2.98
217,2024-12-20,电网设备,25371.74,25481.52,25725.9,25312.2,0.18,45.43,26357719,24936712229.0,1.63,2.93
216,2024-12-19,电网设备,24873.83,25436.09,25500.06,24758.46,1.43,359.27,27150885,26340645503.0,2.96,3.02
215,2024-12-18,电网设备,24810.95,25076.82,25277.65,24578.13,1.17,290.69,22406155,21560966342.0,2.82,2.49
214,2024-12-17,电网设备,25441.58,24786.13,25452.65,24739.26,-2.58,-657.42,24183972,22818023719.0,2.8,2.69
213,2024-12-16,电网设备,25578.05,25443.55,25834.74,25296.62,-0.4,-103.28,22849037,21905130767.0,2.11,2.54
212,2024-12-13,电网设备,25825.64,25546.83,25956.43,25540.66,-1.53,-397.53,24154970,24881146151.0,1.6,2.69
211,2024-12-12,电网设备,25823.36,25944.36,25944.61,25605.6,0.45,117.02,20966592,20153803534.0,1.31,2.33
210,2024-12-11,电网设备,25631.33,25827.34,25827.34,25613.27,0.58,148.73,20829147,20211340269.0,0.83,2.32
209,2024-12-10,电网设备,26333.84,25678.61,26389.9,25641.03,-0.06,-15.52,28461199,28289881026.0,2.91,3.16
208,2024-12-09,电网设备,25673.51,25694.13,25777.7,25398.81,-0.01,-2.49,22586316,22003355419.0,1.47,2.51
207,2024-12-06,电网设备,25544.07,25696.62,25783.13,25300.58,0.66,167.92,23368017,22202453916.0,1.89,2.6
206,2024-12-05,电网设备,25162.25,25528.7,25584.86,25162.25,1.14,287.28,21317569,20863055134.0,1.67,2.37
205,2024-12-04,电网设备,25572.59,25241.42,25598.21,25116.81,-1.55,-396.71,22582054,22217744478.0,1.88,2.51
204,2024-12-03,电网设备,25530.82,25638.13,25708.01,25409.26,0.55,139.86,24512832,24811913793.0,1.17,2.72
