,日期,板块,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
240,2025-01-27,综合行业,9551.84,9402.16,9596.39,9402.16,-0.33,-31.42,3573789,3339394401.0,2.06,1.58
239,2025-01-24,综合行业,9393.29,9433.58,9443.69,9314.53,0.12,11.01,4452842,4415149751.0,1.37,1.97
238,2025-01-23,综合行业,9499.41,9422.57,9680.62,9422.57,-0.14,-12.91,4931103,4867646570.0,2.73,2.18
237,2025-01-22,综合行业,9577.52,9435.48,9577.52,9407.21,-1.59,-152.43,3895135,3659655380.0,1.78,1.72
236,2025-01-21,综合行业,9716.59,9587.91,9733.9,9513.97,-1.01,-98.12,4758168,4585224806.0,2.27,2.1
235,2025-01-20,综合行业,9639.79,9686.03,9743.27,9521.76,1.19,113.68,4629999,4852903018.0,2.31,2.04
234,2025-01-17,综合行业,9586.85,9572.35,9611.94,9484.73,-0.49,-46.83,4713199,4971303927.0,1.32,2.08
233,2025-01-16,综合行业,9538.62,9619.18,9716.72,9538.62,1.4,133.07,5353595,5519613726.0,1.88,2.36
232,2025-01-15,综合行业,9553.35,9486.11,9553.35,9406.81,-0.42,-40.31,6878164,7913136294.0,1.54,3.04
231,2025-01-14,综合行业,9190.68,9526.42,9533.82,9190.68,3.89,356.27,4632707,4326370465.0,3.74,2.05
230,2025-01-13,综合行业,9042.43,9170.15,9216.04,8928.08,0.54,49.49,3577816,3425032816.0,3.16,1.58
229,2025-01-10,综合行业,9370.76,9120.66,9435.2,9120.66,-2.94,-275.9,4447442,4839856976.0,3.35,1.96
228,2025-01-09,综合行业,9361.62,9396.56,9484.94,9329.03,-0.18,-17.23,5143083,5573616469.0,1.66,2.27
227,2025-01-08,综合行业,9321.35,9413.79,9464.8,9128.53,0.79,74.17,6328549,6648464011.0,3.6,2.79
226,2025-01-07,综合行业,9137.8,9339.62,9341.37,9119.51,2.24,204.5,4126058,3958363215.0,2.43,1.82
225,2025-01-06,综合行业,9215.97,9135.12,9278.77,8991.26,-1.23,-113.69,4453603,4124225537.0,3.11,1.97
224,2025-01-03,综合行业,9681.8,9248.81,9690.08,9228.6,-4.0,-384.87,5498738,5264283242.0,4.79,2.43
223,2025-01-02,综合行业,9755.91,9633.68,9909.63,9555.11,-1.35,-131.9,4522779,4459066430.0,3.63,2.0
222,2024-12-31,综合行业,9992.9,9765.58,10070.92,9747.15,-2.18,-217.65,4221063,4333202759.0,3.24,1.86
221,2024-12-30,综合行业,10123.83,9983.23,10136.59,9938.84,-1.43,-144.4,4258598,4178678592.0,1.95,1.88
220,2024-12-27,综合行业,10000.22,10127.63,10197.96,9946.77,1.55,154.75,4577851,4609793007.0,2.52,2.02
219,2024-12-26,综合行业,9857.51,9972.88,10030.4,9853.77,0.85,84.16,4025920,3858484056.0,1.79,1.78
218,2024-12-25,综合行业,10131.06,9888.72,10152.28,9797.67,-2.41,-244.04,4981287,4672211461.0,3.5,2.2
217,2024-12-24,综合行业,10089.71,10132.76,10166.31,9983.09,0.15,14.7,5059125,4966701698.0,1.81,2.23
216,2024-12-23,综合行业,10612.1,10118.06,10617.59,10108.49,-5.03,-535.59,5866309,5370409749.0,4.78,2.59
215,2024-12-20,综合行业,10601.26,10653.65,10734.36,10601.26,0.06,6.19,5476557,5561229744.0,1.25,2.42
214,2024-12-19,综合行业,10690.08,10647.46,10762.31,10562.53,-0.81,-86.98,5248157,5450703324.0,1.86,2.32
