,板块,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,综合行业,000532,华金资本,14.62,10.01,1.33,61233,89523186.94,0.0,14.62,14.62,14.62,13.29,1.78,104.26,3.69
1,综合行业,000909,ST数源,5.21,2.96,0.15,83251,43331131.5,7.51,5.31,4.93,5.07,5.06,1.9,35.49,1.92
2,综合行业,600113,浙江东日,13.25,1.92,0.25,55170,74522003.0,8.08,14.26,13.21,14.26,13.0,1.34,39.77,2.35
3,综合行业,600051,宁波联合,6.61,1.69,0.11,33907,22547905.0,3.08,6.71,6.51,6.51,6.5,1.09,28.0,0.61
4,综合行业,002758,浙农股份,8.63,1.41,0.12,32775,28452845.3,2.82,8.75,8.51,8.51,8.51,0.63,21.03,1.0
5,综合行业,600805,悦达投资,4.28,0.47,0.02,57727,24918627.0,2.58,4.36,4.25,4.25,4.26,0.68,108.65,0.83
6,综合行业,600784,鲁银投资,5.86,0.34,0.02,64478,38146490.0,2.4,5.99,5.85,5.88,5.84,1.13,11.69,1.27
7,综合行业,000652,泰达股份,3.82,0.26,0.01,194129,75163467.31,3.94,3.97,3.82,3.87,3.81,1.32,30.76,0.98
8,综合行业,600568,ST中珠,1.26,0.0,0.0,79607,10061033.0,2.38,1.28,1.25,1.26,1.26,0.48,-20.38,1.1
9,综合行业,002053,云南能投,11.33,0.0,0.0,40252,45927191.0,1.77,11.5,11.3,11.35,11.33,0.44,13.75,1.43
10,综合行业,000632,三木集团,3.53,-0.56,-0.02,148967,53658376.61,4.51,3.68,3.52,3.64,3.55,3.2,-13.52,1.13
11,综合行业,000839,中信国安,2.88,-0.69,-0.02,440344,127961367.5,2.76,2.95,2.87,2.91,2.9,1.12,56.5,8.22
12,综合行业,200025,特  力Ｂ,4.56,-1.08,-0.05,158,72576.16,1.08,4.61,4.56,4.61,4.61,0.04,12.3,1.04
13,综合行业,600770,综艺股份,3.98,-1.73,-0.07,141675,57318698.0,3.7,4.13,3.98,4.09,4.05,1.09,53.79,1.56
14,综合行业,000803,山高环能,4.87,-1.81,-0.09,69077,34335760.16,5.44,5.12,4.85,4.99,4.96,1.51,-146.13,1.63
15,综合行业,600620,天宸股份,5.13,-1.91,-0.1,48253,25190212.0,4.78,5.36,5.11,5.23,5.23,0.7,-738.03,2.35
16,综合行业,000009,中国宝安,8.31,-2.69,-0.23,197030,165998310.1,3.28,8.59,8.31,8.53,8.54,0.77,41.71,2.11
17,综合行业,600624,复旦复华,5.81,-2.84,-0.17,209736,122710932.0,4.85,6.06,5.77,5.95,5.98,3.06,-92.63,5.15
18,综合行业,000833,粤桂股份,10.95,-3.01,-0.34,361840,406054886.45,6.91,11.73,10.95,11.45,11.29,7.98,29.31,2.51
19,综合行业,600673,东阳光,11.94,-4.56,-0.57,627353,746470944.0,7.19,12.3,11.4,12.3,12.51,2.09,86.38,3.96
20,综合行业,000158,常山北明,17.79,-5.17,-0.97,626827,1147028458.28,6.72,19.04,17.78,18.85,18.76,3.95,-74.96,5.11
