,板块,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,计算机设备,002512,达华智能,4.52,2.49,0.11,660196,301860230.0,3.85,4.66,4.49,4.55,4.41,6.3,66.88,11.58
1,计算机设备,002835,同为股份,19.47,2.26,0.43,102686,199253032.0,5.78,19.87,18.77,18.98,19.04,8.07,21.81,3.77
2,计算机设备,003004,声迅股份,24.67,2.03,0.49,31582,79200765.07,7.73,26.01,24.14,24.25,24.18,4.54,-53.5,2.96
3,计算机设备,688522,纳睿雷达,49.99,2.0,0.98,39804,200659150.0,4.67,51.64,49.35,50.0,49.01,4.7,312.14,4.96
4,计算机设备,603660,苏州科达,6.95,1.61,0.11,241777,169293009.0,4.39,7.14,6.84,6.94,6.84,4.54,-7.85,4.38
5,计算机设备,300368,ST汇金,4.26,1.43,0.06,73228,31154928.5,3.1,4.33,4.2,4.25,4.2,1.38,-58.05,6.75
6,计算机设备,300884,狄耐克,10.67,1.43,0.15,117172,126536328.48,5.42,11.08,10.51,10.56,10.52,6.12,115.7,2.08
7,计算机设备,002197,ST证通,3.82,1.06,0.04,60461,23113640.0,1.32,3.85,3.8,3.8,3.78,1.13,-30.98,0.97
8,计算机设备,301391,卡莱特,37.84,0.77,0.29,13197,49949446.8,3.65,38.51,37.14,37.92,37.55,2.68,230.42,1.66
9,计算机设备,603019,中科曙光,66.99,0.74,0.49,732829,4983512761.0,4.92,70.0,66.73,70.0,66.5,5.02,95.53,5.11
10,计算机设备,002970,锐明技术,44.89,0.61,0.27,40265,180909880.0,3.65,45.51,43.88,44.74,44.62,3.47,27.07,4.82
11,计算机设备,002180,纳思达,25.45,0.12,0.03,144507,372723249.14,3.34,26.25,25.4,25.85,25.42,1.06,25.12,3.47
12,计算机设备,002415,海康威视,29.03,0.03,0.01,268623,780936490.46,1.1,29.25,28.93,29.13,29.02,0.3,24.79,3.49
