,日期,板块,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
240,2025-01-27,钢铁行业,6765.47,6805.93,6886.56,6765.47,0.81,54.68,22628442,8509470113.0,1.79,1.16
239,2025-01-24,钢铁行业,6626.59,6751.25,6772.39,6602.99,1.91,126.22,19393236,6947480131.0,2.56,0.99
238,2025-01-23,钢铁行业,6690.36,6625.03,6763.71,6625.03,-0.3,-20.17,14459111,5183999234.0,2.09,0.74
237,2025-01-22,钢铁行业,6673.84,6645.2,6673.84,6600.8,-0.5,-33.57,11855665,4611163548.0,1.09,0.61
236,2025-01-21,钢铁行业,6806.19,6678.77,6811.14,6666.16,-1.62,-110.03,14159873,5512174516.0,2.14,0.72
235,2025-01-20,钢铁行业,6761.04,6788.8,6822.41,6717.51,0.76,51.02,16134619,5825266309.0,1.56,0.83
234,2025-01-17,钢铁行业,6756.38,6737.78,6757.2,6669.58,-0.74,-49.91,13811076,5081578024.0,1.29,0.71
233,2025-01-16,钢铁行业,6722.65,6787.69,6845.06,6719.71,1.19,79.52,18412002,6323070365.0,1.87,0.94
232,2025-01-15,钢铁行业,6716.01,6708.17,6743.82,6661.01,-0.3,-20.0,15258119,5579704661.0,1.23,0.78
231,2025-01-14,钢铁行业,6574.57,6728.17,6729.04,6566.4,2.68,175.38,19815272,6928090731.0,2.48,1.01
230,2025-01-13,钢铁行业,6477.22,6552.79,6574.43,6424.21,0.64,41.62,14408263,5118843512.0,2.31,0.74
229,2025-01-10,钢铁行业,6644.39,6511.17,6679.76,6511.17,-2.08,-138.4,14860854,4996753177.0,2.54,0.76
228,2025-01-09,钢铁行业,6660.45,6649.57,6706.25,6627.03,-0.62,-41.53,13776522,5030173530.0,1.18,0.7
227,2025-01-08,钢铁行业,6738.94,6691.1,6738.94,6556.78,-1.09,-73.51,18482213,6397187968.0,2.69,0.95
226,2025-01-07,钢铁行业,6710.15,6764.61,6764.95,6643.95,0.85,56.96,18517331,6749385013.0,1.8,0.95
225,2025-01-06,钢铁行业,6627.54,6707.65,6736.22,6572.45,1.13,74.74,19309248,6691231574.0,2.47,0.99
224,2025-01-03,钢铁行业,6791.45,6632.91,6831.17,6620.74,-2.16,-146.33,20388062,7098269030.0,3.1,1.04
223,2025-01-02,钢铁行业,6914.44,6779.24,6961.16,6731.48,-2.01,-139.01,21437308,7720191497.0,3.32,1.1
222,2024-12-31,钢铁行业,7049.83,6918.25,7070.82,6895.27,-1.81,-127.87,19756483,7454803282.0,2.49,1.01
221,2024-12-30,钢铁行业,7097.95,7046.12,7098.55,7005.98,-0.83,-59.0,18646302,7363871950.0,1.3,0.95
220,2024-12-27,钢铁行业,7074.65,7105.12,7175.26,7074.65,0.52,36.53,21658258,7910619616.0,1.42,1.11
219,2024-12-26,钢铁行业,7014.58,7068.59,7075.71,7013.91,0.62,43.86,13302287,5304218096.0,0.88,0.68
218,2024-12-25,钢铁行业,7133.33,7024.73,7134.7,6967.14,-1.54,-109.53,16396844,6031352619.0,2.35,0.84
217,2024-12-24,钢铁行业,7047.07,7134.26,7143.4,7025.73,1.17,82.68,19919342,7218000008.0,1.67,1.02
216,2024-12-23,钢铁行业,7223.27,7051.58,7231.49,7037.68,-2.35,-169.46,23459922,8388196021.0,2.68,1.2
215,2024-12-20,钢铁行业,7292.73,7221.04,7314.8,7199.83,-1.19,-86.93,22809486,8257830569.0,1.57,1.17
214,2024-12-19,钢铁行业,7274.86,7307.97,7324.23,7204.17,-0.31,-22.66,26109164,9044599429.0,1.64,1.34
213,2024-12-18,钢铁行业,7290.62,7330.63,7402.53,7290.62,1.05,76.03,25818219,9516331802.0,1.54,1.32
212,2024-12-17,钢铁行业,7410.57,7254.6,7424.52,7224.82,-2.22,-164.61,26787270,9674087658.0,2.69,1.37
211,2024-12-16,钢铁行业,7468.58,7419.21,7505.09,7387.41,-0.68,-50.43,28796290,10937489179.0,1.58,1.47
210,2024-12-13,钢铁行业,7622.94,7469.64,7623.11,7456.37,-2.13,-162.63,36517714,13789869603.0,2.18,1.87
209,2024-12-12,钢铁行业,7656.7,7632.27,7663.34,7544.55,-0.19,-14.84,35125291,12755494665.0,1.55,1.8
208,2024-12-11,钢铁行业,7465.75,7647.11,7684.45,7465.75,1.99,149.32,41440673,13570941636.0,2.92,2.12
207,2024-12-10,钢铁行业,7726.84,7497.79,7734.56,7482.74,-0.28,-20.74,50619634,17181867460.0,3.35,2.59
206,2024-12-09,钢铁行业,7552.43,7518.53,7663.74,7472.68,-0.2,-15.11,42501495,13420313232.0,2.54,2.17
205,2024-12-06,钢铁行业,7429.69,7533.64,7560.43,7404.76,1.47,109.42,40099511,13035953502.0,2.1,2.05
204,2024-12-05,钢铁行业,7319.15,7424.22,7429.68,7304.06,0.97,71.43,26726053,9358887547.0,1.71,1.37
203,2024-12-04,钢铁行业,7372.5,7352.79,7431.87,7308.17,-0.29,-21.27,28462844,9842053058.0,1.68,1.46
202,2024-12-03,钢铁行业,7407.74,7374.06,7417.6,7305.54,-0.19,-14.37,22164004,8406447319.0,1.52,1.13
201,2024-12-02,钢铁行业,7185.6,7388.43,7411.65,7184.24,3.17,226.85,31508541,11039303654.0,3.18,1.61
200,2024-11-29,钢铁行业,7129.56,7161.58,7215.92,7079.23,0.54,38.33,18014765,6984943494.0,1.92,0.92
199,2024-11-28,钢铁行业,7059.06,7123.25,7171.17,7049.71,0.79,55.75,17373231,6514978688.0,1.72,0.89
198,2024-11-27,钢铁行业,6986.51,7067.5,7069.87,6841.51,0.9,63.24,19280740,6561141100.0,3.26,0.99
197,2024-11-26,钢铁行业,7060.61,7004.26,7107.42,6997.48,-0.93,-65.46,15437378,5557533654.0,1.56,0.79
196,2024-11-25,钢铁行业,7040.96,7069.72,7118.2,6968.67,0.5,35.45,22624493,7619562765.0,2.13,1.16
195,2024-11-22,钢铁行业,7280.82,7034.27,7304.04,7030.84,-3.65,-266.41,27340971,9954191984.0,3.74,1.4
194,2024-11-21,钢铁行业,7261.6,7300.68,7323.53,7247.61,0.6,43.58,18348257,8098046395.0,1.05,0.94
193,2024-11-20,钢铁行业,7141.9,7257.1,7258.02,7118.54,1.16,83.16,21428866,8703284610.0,1.94,1.1
192,2024-11-19,钢铁行业,7109.16,7173.94,7173.94,6956.12,0.46,33.11,30923130,11280981438.0,3.05,1.58
191,2024-11-18,钢铁行业,7110.36,7140.83,7286.48,7105.47,1.56,109.5,38272490,13808406566.0,2.57,1.96
190,2024-11-15,钢铁行业,7111.95,7031.33,7201.7,7027.54,-1.59,-113.49,23592504,9057987250.0,2.44,1.21
189,2024-11-14,钢铁行业,7338.46,7144.82,7342.1,7137.97,-2.7,-198.13,26830518,10228790949.0,2.78,1.37
188,2024-11-13,钢铁行业,7308.9,7342.95,7413.81,7232.62,-0.08,-5.61,26030373,10669400881.0,2.47,1.33
187,2024-11-12,钢铁行业,7400.2,7348.56,7476.74,7293.05,-0.6,-44.4,35880928,14436152317.0,2.48,1.84
186,2024-11-11,钢铁行业,7378.68,7392.96,7424.1,7256.98,-0.15,-11.44,36114172,13107395677.0,2.26,1.85
185,2024-11-08,钢铁行业,7574.72,7404.4,7598.59,7380.28,-1.69,-127.5,48099136,16434328745.0,2.9,2.46
184,2024-11-07,钢铁行业,7296.91,7531.9,7580.83,7257.27,2.56,188.18,53953620,17713433164.0,4.41,2.76
183,2024-11-06,钢铁行业,7306.43,7343.72,7395.42,7211.06,0.66,48.14,60138498,18992532450.0,2.53,3.08
182,2024-11-05,钢铁行业,7021.33,7295.58,7295.58,7015.69,3.53,248.85,54422261,17167759615.0,3.97,2.78
181,2024-11-04,钢铁行业,7089.12,7046.73,7093.11,6941.37,-0.74,-52.64,45235919,13977419868.0,2.14,2.31
180,2024-11-01,钢铁行业,7035.0,7099.37,7234.63,7021.85,0.86,60.65,54308285,17582451768.0,3.02,2.78
179,2024-10-31,钢铁行业,6938.38,7038.72,7059.41,6895.43,1.33,92.67,38779066,13055054567.0,2.36,1.98
178,2024-10-30,钢铁行业,6845.66,6946.05,7025.09,6845.23,0.4,27.4,32535704,11290267625.0,2.6,1.66
177,2024-10-29,钢铁行业,7199.57,6918.65,7199.57,6906.06,-3.26,-232.81,43102455,14984666668.0,4.1,2.2
176,2024-10-28,钢铁行业,6841.76,7151.46,7152.27,6841.76,5.96,402.14,45132667,16955622877.0,4.6,2.31
175,2024-10-25,钢铁行业,6645.5,6749.32,6781.94,6645.5,1.5,99.7,22991007,8452365255.0,2.05,1.18
174,2024-10-24,钢铁行业,6689.02,6649.62,6689.02,6604.07,-0.94,-63.36,15469979,5952545306.0,1.27,0.79
173,2024-10-23,钢铁行业,6629.28,6712.98,6762.59,6618.76,1.11,73.85,23494701,9222690548.0,2.17,1.2
172,2024-10-22,钢铁行业,6600.71,6639.13,6639.13,6554.3,0.2,13.05,19605195,8239579003.0,1.28,1.0
171,2024-10-21,钢铁行业,6698.32,6626.08,6707.14,6580.69,-0.92,-61.73,25615571,11436172356.0,1.89,1.31
170,2024-10-18,钢铁行业,6553.39,6687.81,6775.49,6504.19,1.7,111.57,31383233,12901208040.0,4.13,1.61
169,2024-10-17,钢铁行业,6644.02,6576.24,6677.51,6569.19,-0.63,-41.53,26390338,9688337019.0,1.64,1.35
168,2024-10-16,钢铁行业,6444.25,6617.77,6680.45,6439.57,1.72,111.91,22472797,8198111099.0,3.7,1.15
167,2024-10-15,钢铁行业,6638.97,6505.86,6682.68,6505.86,-2.27,-151.34,19205011,7956801148.0,2.66,0.98
166,2024-10-14,钢铁行业,6531.69,6657.2,6675.64,6476.45,2.77,179.16,22663193,9688246192.0,3.07,1.16
165,2024-10-11,钢铁行业,6605.81,6478.04,6670.7,6428.43,-2.08,-137.29,24211514,10347069268.0,3.66,1.24
164,2024-10-10,钢铁行业,6551.2,6615.33,6803.96,6439.4,1.1,71.83,33142922,13417381862.0,5.57,1.7
163,2024-10-09,钢铁行业,7016.19,6543.5,7016.19,6543.5,-9.05,-650.98,41602373,16891420926.0,6.57,2.13
162,2024-10-08,钢铁行业,7623.09,7194.48,7623.09,6872.61,4.22,291.5,67011702,27502275058.0,10.87,3.43
161,2024-09-30,钢铁行业,6639.68,6902.98,6936.14,6492.72,9.32,588.65,53470770,20599361370.0,7.02,2.73
160,2024-09-27,钢铁行业,6223.58,6314.33,6337.16,6154.99,3.16,193.39,27331206,10749445313.0,2.98,1.4
159,2024-09-26,钢铁行业,5816.19,6120.94,6120.94,5816.08,4.99,291.17,30491176,10815034478.0,5.23,1.56
158,2024-09-25,钢铁行业,5866.6,5829.77,5999.84,5826.4,1.61,92.6,30698662,10900657794.0,3.02,1.57
157,2024-09-24,钢铁行业,5406.56,5737.17,5737.57,5406.56,6.48,349.11,23921045,8200882594.0,6.14,1.22
156,2024-09-23,钢铁行业,5329.23,5388.06,5407.77,5313.45,0.98,52.36,8535770,2896674269.0,1.77,0.44
155,2024-09-20,钢铁行业,5376.39,5335.7,5377.76,5307.61,-0.81,-43.54,8068436,2979343983.0,1.3,0.41
154,2024-09-19,钢铁行业,5286.1,5379.24,5407.45,5258.85,2.01,106.2,11339995,3789081360.0,2.82,0.58
153,2024-09-18,钢铁行业,5314.57,5273.04,5316.69,5199.15,-0.87,-46.05,9381012,3120139080.0,2.21,0.48
152,2024-09-13,钢铁行业,5294.52,5319.09,5365.09,5285.85,0.6,31.56,9617499,3333302552.0,1.5,0.49
151,2024-09-12,钢铁行业,5291.44,5287.53,5338.58,5275.9,-0.06,-3.01,8276119,3224867511.0,1.18,0.42
150,2024-09-11,钢铁行业,5307.56,5290.54,5318.81,5258.75,-0.55,-29.48,7733417,3379652725.0,1.13,0.4
149,2024-09-10,钢铁行业,5337.06,5320.02,5353.38,5255.4,-0.23,-12.18,8464280,3077285399.0,1.84,0.43
148,2024-09-09,钢铁行业,5370.36,5332.2,5370.36,5304.26,-1.01,-54.47,8408666,3059556720.0,1.23,0.43
147,2024-09-06,钢铁行业,5447.12,5386.67,5453.29,5380.97,-1.06,-57.81,6362025,2436018638.0,1.33,0.33
146,2024-09-05,钢铁行业,5420.72,5444.48,5464.61,5420.72,0.37,19.9,6195902,2559006592.0,0.81,0.32
145,2024-09-04,钢铁行业,5460.11,5424.58,5475.09,5418.02,-0.98,-53.93,6955578,2820094913.0,1.04,0.36
144,2024-09-03,钢铁行业,5468.96,5478.51,5514.85,5456.57,0.21,11.45,8455593,3413241636.0,1.07,0.43
143,2024-09-02,钢铁行业,5531.48,5467.06,5541.36,5465.01,-1.21,-67.18,8724315,3551577895.0,1.38,0.45
142,2024-08-30,钢铁行业,5469.88,5534.24,5602.47,5445.69,1.07,58.36,11431817,4879448503.0,2.86,0.58
141,2024-08-29,钢铁行业,5442.21,5475.88,5490.06,5416.44,0.47,25.84,6585538,2906680536.0,1.35,0.34
140,2024-08-28,钢铁行业,5425.89,5450.04,5483.76,5425.04,0.11,6.26,6421276,2502286431.0,1.08,0.33
139,2024-08-27,钢铁行业,5488.57,5443.78,5488.57,5422.32,-0.96,-52.74,6158608,2311872545.0,1.21,0.31
138,2024-08-26,钢铁行业,5447.14,5496.52,5512.94,5440.9,0.98,53.55,6804992,2523134430.0,1.32,0.35
137,2024-08-23,钢铁行业,5440.64,5442.97,5465.16,5405.82,-0.1,-5.45,7017131,2511225263.0,1.09,0.36
136,2024-08-22,钢铁行业,5525.56,5448.42,5533.05,5440.47,-1.29,-70.96,7216859,2832086550.0,1.68,0.37
135,2024-08-21,钢铁行业,5522.51,5519.38,5533.35,5496.25,-0.23,-12.93,6671690,2946616010.0,0.67,0.34
134,2024-08-20,钢铁行业,5616.25,5532.31,5620.69,5513.2,-1.29,-72.13,8370224,3363733412.0,1.92,0.43
133,2024-08-19,钢铁行业,5596.58,5604.44,5663.84,5594.71,0.02,1.34,7176064,2938019873.0,1.23,0.37
132,2024-08-16,钢铁行业,5676.34,5603.1,5683.01,5598.2,-1.07,-60.34,8626940,3635255380.0,1.5,0.44
131,2024-08-15,钢铁行业,5614.59,5663.44,5683.46,5590.04,0.67,37.87,8592107,3526576864.0,1.66,0.44
130,2024-08-14,钢铁行业,5711.12,5625.57,5714.41,5624.62,-1.48,-84.77,7836974,3408258611.0,1.57,0.4
129,2024-08-13,钢铁行业,5672.3,5710.34,5712.9,5644.67,0.71,40.15,7253155,2809161034.0,1.2,0.37
128,2024-08-12,钢铁行业,5696.04,5670.19,5706.41,5660.03,-0.48,-27.51,6338710,2483298254.0,0.81,0.32
127,2024-08-09,钢铁行业,5726.87,5697.7,5759.9,5696.92,-0.26,-15.08,6284996,2603320323.0,1.1,0.32
126,2024-08-08,钢铁行业,5672.58,5712.78,5730.29,5643.43,0.49,27.97,6794491,2840993815.0,1.53,0.35
125,2024-08-07,钢铁行业,5702.33,5684.81,5717.48,5658.69,-0.28,-16.04,6168669,2703960082.0,1.03,0.32
124,2024-08-06,钢铁行业,5682.1,5700.85,5725.18,5656.73,0.78,43.86,7796287,3360146814.0,1.21,0.4
123,2024-08-05,钢铁行业,5728.01,5656.99,5784.56,5656.99,-1.68,-96.72,10621790,4081686816.0,2.22,0.54
122,2024-08-02,钢铁行业,5773.48,5753.71,5822.46,5750.86,-0.84,-48.89,8854932,3182473615.0,1.23,0.45
121,2024-08-01,钢铁行业,5850.99,5802.6,5885.8,5790.73,-0.55,-31.92,9415013,3874574542.0,1.63,0.48
120,2024-07-31,钢铁行业,5696.18,5834.52,5842.0,5686.98,2.62,149.09,12421390,4820779288.0,2.73,0.64
119,2024-07-30,钢铁行业,5682.49,5685.43,5699.67,5646.3,-0.02,-0.93,7956241,3226636373.0,0.94,0.41
118,2024-07-29,钢铁行业,5681.62,5686.36,5711.01,5646.49,0.17,9.79,7241217,3053937281.0,1.14,0.37
117,2024-07-26,钢铁行业,5618.7,5676.57,5689.64,5618.7,1.23,68.73,6483112,2893972865.0,1.27,0.33
116,2024-07-25,钢铁行业,5587.89,5607.84,5637.62,5560.86,0.09,4.91,7870014,3285240413.0,1.37,0.4
115,2024-07-24,钢铁行业,5649.18,5602.93,5662.94,5583.25,-0.83,-47.09,8504144,3377330314.0,1.41,0.43
114,2024-07-23,钢铁行业,5753.78,5650.02,5764.42,5649.07,-1.81,-104.38,7989826,3376006660.0,2.0,0.41
113,2024-07-22,钢铁行业,5797.13,5754.4,5798.28,5727.36,-0.76,-43.82,7209142,3024338140.0,1.22,0.37
112,2024-07-19,钢铁行业,5836.05,5798.22,5837.0,5789.44,-0.94,-55.02,7716676,3337374915.0,0.81,0.39
111,2024-07-18,钢铁行业,5830.18,5853.24,5865.17,5763.57,0.19,11.09,8969697,3508278598.0,1.74,0.46
110,2024-07-17,钢铁行业,5871.84,5842.15,5873.9,5830.25,-0.38,-22.45,7378944,3262676832.0,0.74,0.38
109,2024-07-16,钢铁行业,5866.49,5864.6,5877.73,5835.93,-0.25,-14.43,6493690,3055169707.0,0.71,0.33
