,index,Datetime,code,name,bankuai,expext
0,4132,2025-01-27,603398,沐邦高科,光伏设备,20.255037
1,3623,2025-01-27,856,冀东装备,专用设备,19.538086
2,3091,2025-01-27,300344,立方数科,软件开发,19.2847
3,2123,2025-01-27,300634,彩讯股份,互联网服务,18.456926
4,2424,2025-01-27,668,荣丰控股,房地产开发,18.208532
5,3673,2025-01-14,300307,慈星股份,专用设备,17.52552
6,2354,2025-01-27,603777,来伊份,食品饮料,17.214602
7,107,2025-01-27,2496,辉丰股份,农药兽药,16.503544
8,3622,2025-01-27,301512,智信精密,专用设备,16.22797
9,2921,2025-01-27,301248,杰创智能,软件开发,16.204647
10,1085,2025-01-27,600539,狮头股份,环保行业,15.950529
11,4704,2025-01-27,300857,协创数据,消费电子,15.73071
12,1347,2025-01-27,300654,世纪天鸿,文化传媒,15.6136465
13,2855,2025-01-27,603261,立航科技,航天航空,15.293224
14,2098,2025-01-27,600892,大晟文化,游戏,15.223689
15,3131,2025-01-27,759,中百集团,商业百货,15.007149
16,3624,2025-01-27,2691,冀凯股份,专用设备,14.837291
17,4458,2025-01-27,1270,铖昌科技,半导体,14.370258
18,3121,2025-01-27,600128,苏豪弘业,贸易行业,14.202719
19,4453,2025-01-27,688620,安凯微,半导体,14.14574
20,3801,2025-01-27,300902,国安达,专用设备,14.081235
21,2918,2025-01-27,300996,普联软件,软件开发,14.068328
22,2586,2025-01-27,301356,天振股份,塑料制品,14.023431
23,2743,2025-01-27,16,深康佳Ａ,家电行业,13.843177
24,1829,2025-01-27,691,亚太实业,化学制品,13.789983
25,3625,2025-01-27,2529,海源复材,专用设备,13.566134
26,2879,2025-01-27,300159,新研股份,航天航空,13.503305
27,346,2025-01-27,600076,康欣新材,装修建材,13.154693
28,4363,2025-01-27,2122,汇洲智能,通用设备,13.137974
29,2937,2025-01-27,2253,川大智胜,软件开发,13.123555
30,3841,2025-01-27,2816,和科达,专用设备,13.055606
31,3090,2025-01-27,300249,依米康,软件开发,13.042768
32,4617,2025-01-27,600130,波导股份,消费电子,12.991519
33,4232,2025-01-27,890,法尔胜,通用设备,12.923713
34,2254,2025-01-27,688229,博睿数据,互联网服务,12.891359
35,2929,2025-01-27,300608,思特奇,软件开发,12.877096
36,4258,2025-01-27,600243,青海华鼎,通用设备,12.865613
37,2738,2025-01-27,2418,康盛股份,家电行业,12.689255
38,1082,2025-01-27,300055,万邦达,环保行业,12.66623
39,4825,2025-01-27,688143,长盈通,电子元件,12.332906
40,2133,2025-01-27,600228,返利科技,互联网服务,12.237538
41,3395,2025-01-27,300652,雷迪克,汽车零部件,12.198745
42,1588,2025-01-27,2789,建艺集团,装修装饰,12.133944
43,1606,2025-01-27,688426,康为世纪,生物制品,12.078859
44,3397,2025-01-27,605018,长华集团,汽车零部件,12.048
45,2661,2025-01-27,603928,兴业股份,塑料制品,12.039612
46,2703,2025-01-27,2848,高斯贝尔,家电行业,11.831482
47,4238,2025-01-27,816,智慧农业,通用设备,11.747326
48,144,2025-01-27,605033,美邦股份,农药兽药,11.744489
49,739,2025-01-27,301286,侨源股份,化学原料,11.608301
50,2995,2025-01-27,4,国华网安,软件开发,11.52903
51,1509,2025-01-27,603682,锦和商管,房地产服务,11.516185
52,3088,2025-01-27,300333,兆日科技,软件开发,11.491853
53,1332,2025-01-27,2667,威领股份,能源金属,11.480459
54,2423,2025-01-27,2306,中科云网,旅游酒店,11.458778
55,4229,2025-01-27,600421,华嵘控股,通用设备,11.4404125
56,2502,2025-01-27,736,中交地产,房地产开发,11.437734
57,3856,2025-01-27,300499,高澜股份,专用设备,11.252429
58,3182,2025-01-27,300222,科大智能,电网设备,11.175706
59,3172,2025-01-27,600778,友好集团,商业百货,11.120756
60,2559,2025-01-27,600238,海南椰岛,酿酒行业,11.086859
61,994,2025-01-27,300840,酷特智能,纺织服装,11.049144
62,4023,2025-01-27,301511,德福科技,电池,10.966211
63,4860,2025-01-27,600734,实达集团,通信设备,10.931449
64,4708,2025-01-27,2199,东晶电子,电子元件,10.819115
65,4192,2025-01-27,300093,金刚光伏,光伏设备,10.803339
66,3545,2025-01-27,2265,建设工业,汽车零部件,10.661326
67,475,2025-01-27,600052,东望时代,公用事业,10.648903
68,2852,2025-01-27,300959,线上线下,通信服务,10.645146
69,2360,2025-01-27,2820,桂发祥,食品饮料,10.462167
70,2662,2025-01-27,688716,中研股份,塑料制品,10.323384
71,4356,2025-01-27,300853,申昊科技,通用设备,10.294467
72,1430,2025-01-27,600556,天下秀,文化传媒,10.256598
73,3820,2025-01-27,301030,仕净科技,专用设备,10.189392
74,498,2025-01-27,600191,华资实业,农牧饲渔,10.16629
75,4315,2025-01-27,688165,埃夫特-U,通用设备,10.132119
76,4146,2025-01-27,688408,中信博,光伏设备,10.127771
77,1350,2025-01-27,603729,龙韵股份,文化传媒,10.0917845
78,4197,2025-01-27,300161,华中数控,通用设备,10.068382
79,1266,2025-01-27,300391,长药控股,中药,10.025377
80,1162,2025-01-27,826,启迪环境,环保行业,9.902339
81,4610,2025-01-27,301318,维海德,消费电子,9.888667
82,2359,2025-01-27,605179,一鸣食品,食品饮料,9.874863
83,2215,2025-01-27,600358,国旅联合,互联网服务,9.849687
84,3122,2025-01-27,300493,润欣科技,贸易行业,9.820739
85,496,2025-01-27,600187,国中水务,公用事业,9.819272
86,1083,2025-01-27,2973,侨银股份,环保行业,9.805615
87,3857,2025-01-27,301018,申菱环境,专用设备,9.797117
88,3175,2025-01-27,600858,银座股份,商业百货,9.769104
89,4584,2025-01-27,688362,甬矽电子,半导体,9.765875
90,3960,2025-01-27,627,天茂集团,保险,9.720686
91,2357,2025-01-27,716,黑芝麻,食品饮料,9.714598
92,1428,2025-01-27,300071,福石控股,文化传媒,9.675137
93,1422,2025-01-27,793,华闻集团,文化传媒,9.629454
94,705,2025-01-27,600714,金瑞矿业,化学原料,9.628874
95,3848,2025-01-27,603789,星光农机,专用设备,9.627684
96,3394,2025-01-27,301157,华塑科技,计算机设备,9.614226
97,2240,2025-01-27,300792,壹网壹创,互联网服务,9.600984
98,4358,2025-01-27,300607,拓斯达,通用设备,9.576921
99,3341,2025-01-27,600636,国新文化,教育,9.571786
100,4027,2025-01-27,2733,雄韬股份,电池,9.562495
101,4795,2025-01-27,2636,金安国纪,电子元件,9.558799
102,3125,2025-01-27,419,通程控股,商业百货,9.553264
103,4190,2025-01-27,300716,泉为科技,光伏设备,9.52194
104,4120,2025-01-27,300127,银河磁体,小金属,9.516907
105,3595,2025-01-27,301397,溯联股份,汽车零部件,9.512702
106,3630,2025-01-27,2757,南兴股份,专用设备,9.472982
107,4454,2025-01-27,603068,博通集成,半导体,9.466985
108,3177,2025-01-27,600693,东百集团,商业百货,9.463206
109,4778,2025-01-27,688053,思科瑞,电子元件,9.456068
110,1359,2025-01-27,603598,引力传媒,文化传媒,9.370056
111,3085,2025-01-27,688095,福昕软件,软件开发,9.329984
112,2936,2025-01-27,300378,鼎捷数智,软件开发,9.315676
113,2127,2025-01-27,2530,金财互联,互联网服务,9.310295
114,3850,2025-01-27,603015,弘讯科技,专用设备,9.257293
115,575,2025-01-27,600811,东方集团,农牧饲渔,9.223853
116,4863,2025-01-27,301600,慧翰股份,通信设备,9.184581
117,2446,2025-01-27,573,粤宏远Ａ,房地产开发,9.178533
118,4644,2025-01-27,2861,瀛通通讯,消费电子,9.169783
119,2156,2025-01-27,300170,汉得信息,互联网服务,9.110109
120,1546,2025-01-27,10,美丽生态,工程建设,9.106042
121,4194,2025-01-27,2760,凤形股份,通用设备,9.079782
122,3239,2025-01-27,2058,威尔泰,电网设备,9.079486
123,4745,2025-01-27,688511,天微电子,电子元件,9.029603
124,4845,2025-01-27,600405,动力源,电源设备,9.028994
125,3086,2025-01-27,300561,汇金科技,软件开发,9.023259
126,4809,2025-01-27,2137,实益达,电子元件,9.017548
127,3553,2025-01-27,1282,三联锻造,汽车零部件,9.003028
128,1120,2025-01-27,603177,德创环保,环保行业,8.995167
129,3858,2025-01-27,3015,日久光电,光学光电子,8.9670315
130,3626,2025-01-27,603800,洪田股份,专用设备,8.926025
131,3127,2025-01-27,603101,汇嘉时代,商业百货,8.923967
132,2911,2025-01-27,1236,弘业期货,多元金融,8.92282
133,3392,2025-01-27,300479,神思电子,计算机设备,8.890894
134,1976,2025-01-27,300697,电工合金,有色金属,8.8255825
135,2247,2025-01-27,301001,凯淳股份,互联网服务,8.822036
136,4186,2025-01-27,688429,时创能源,光伏设备,8.819741
137,4360,2025-01-27,300154,瑞凌股份,通用设备,8.813975
138,1826,2025-01-27,2549,凯美特气,化学制品,8.80621
139,3837,2025-01-27,300276,三丰智能,专用设备,8.762942
140,1917,2025-01-27,300798,锦鸡股份,化学制品,8.739998
141,3123,2025-01-27,2640,跨境通,贸易行业,8.739408
142,999,2025-01-27,2762,金发拉比,纺织服装,8.647232
143,2663,2025-01-27,301061,匠心家居,家电行业,8.634133
144,642,2025-01-27,301336,趣睡科技,家用轻工,8.62284
145,4080,2025-01-27,2175,东方智造,仪器仪表,8.613012
146,3077,2025-01-27,300377,赢时胜,软件开发,8.600638
147,1974,2025-01-27,2453,华软科技,化学制品,8.594605
148,3834,2025-01-27,2184,海得控制,专用设备,8.589268
149,3245,2025-01-27,688226,威腾电气,电网设备,8.5622635
150,1081,2025-01-27,605069,正和生态,环保行业,8.55986
151,2380,2025-01-27,2068,黑猫股份,橡胶制品,8.559444
152,267,2025-01-27,603716,塞力医疗,医药商业,8.559421
153,4118,2025-01-27,795,英洛华,小金属,8.5137205
154,3847,2025-01-27,688400,凌云光,专用设备,8.478027
155,4951,2025-01-27,688313,仕佳光子,通信设备,8.475639
156,3297,2025-01-27,301082,久盛电气,电网设备,8.469516
157,3849,2025-01-27,2009,天奇股份,专用设备,8.462353
158,4872,2025-01-27,600355,精伦电子,通信设备,8.461426
159,3346,2025-01-27,300688,创业黑马,教育,8.444503
160,1193,2025-01-27,301288,清研环境,环保行业,8.440752
161,729,2025-01-27,600423,柳化股份,化学原料,8.438307
162,1668,2025-01-27,2693,双成药业,生物制品,8.434355
163,3089,2025-01-27,301315,威士顿,软件开发,8.423522
164,4463,2025-01-27,301536,星宸科技,半导体,8.419718
165,579,2025-01-27,603429,集友股份,造纸印刷,8.333113
166,2150,2025-01-27,2657,中科金财,互联网服务,8.301498
167,2589,2025-01-27,603615,茶花股份,塑料制品,8.291147
168,4246,2025-01-27,300985,致远新能,通用设备,8.278558
169,2167,2025-01-27,600446,金证股份,互联网服务,8.2172785
170,1720,2025-01-27,600889,南京化纤,化纤行业,8.216058
171,1303,2025-01-27,300949,奥雅股份,工程咨询服务,8.209279
172,1630,2025-01-13,688073,毕得医药,生物制品,8.208461
173,746,2025-01-27,688085,三友医疗,医疗器械,8.193809
174,2120,2025-01-27,300299,富春股份,游戏,8.193409
175,2742,2025-01-27,2403,爱仕达,家电行业,8.190899
176,3949,2025-01-27,2449,国星光电,光学光电子,8.187051
177,4888,2025-01-27,600198,大唐电信,通信设备,8.183742
178,2237,2025-01-27,300250,初灵信息,互联网服务,8.159915
179,1187,2025-01-27,2717,岭南股份,环保行业,8.1514435
180,4187,2025-01-27,688717,艾罗能源,光伏设备,8.140355
181,4685,2025-01-27,300812,易天股份,消费电子,8.129263
182,1681,2025-01-27,300084,海默科技,采掘行业,8.11556
183,4462,2025-01-27,1309,德明利,半导体,8.107747
184,4608,2025-01-27,688766,普冉股份,半导体,8.103598
185,1827,2025-01-27,301220,亚香股份,化学制品,8.084713
186,2928,2025-01-27,688369,致远互联,软件开发,8.077577
187,363,2025-01-27,603389,亚振家居,装修建材,8.076644
188,372,2025-01-27,603838,四通股份,装修建材,8.07545
189,854,2025-01-27,300753,爱朋医疗,医疗器械,8.074917
190,3078,2025-01-27,300085,银之杰,软件开发,8.06764
191,2045,2025-01-27,603978,深圳新星,有色金属,8.067608
192,4371,2025-01-27,2552,宝鼎科技,通用设备,8.050383
193,3614,2025-01-27,300537,广信材料,电子化学品,8.042426
194,2253,2025-01-27,300399,天利科技,互联网服务,8.039199
195,4703,2025-01-27,301123,奕东电子,消费电子,8.03212
196,4930,2025-01-27,2583,海能达,通信设备,8.024626
197,728,2025-01-27,600610,中毅达,化学原料,8.010494
198,4028,2025-01-27,300068,南都电源,电池,7.9867096
199,1890,2025-01-23,688350,富淼科技,化学制品,7.9662547
200,2217,2025-01-27,688365,光云科技,互联网服务,7.9532547
201,415,2025-01-27,600802,福建水泥,水泥建材,7.9454155
202,1738,2025-01-27,158,常山北明,综合行业,7.928924
203,4448,2025-01-27,600172,黄河旋风,非金属材料,7.9200864
204,3954,2025-01-27,688502,茂莱光学,光学光电子,7.912403
205,2153,2025-01-27,2291,遥望科技,互联网服务,7.9063387
206,607,2025-01-27,2229,鸿博股份,造纸印刷,7.900384
207,4068,2025-01-27,688115,思林杰,仪器仪表,7.887083
208,3422,2025-01-27,300733,西菱动力,汽车零部件,7.884616
209,1569,2025-01-27,301024,霍普股份,工程建设,7.877518
210,1438,2025-01-27,300242,佳云科技,文化传媒,7.871184
211,106,2025-01-27,603718,海利生物,农药兽药,7.8709154
212,2899,2025-01-27,600053,九鼎投资,多元金融,7.8377023
213,3174,2025-01-27,2187,广百股份,商业百货,7.8373237
214,3073,2025-01-27,300386,飞天诚信,软件开发,7.779476
215,4705,2025-01-27,2134,天津普林,电子元件,7.77659
216,3376,2025-01-27,603106,恒银科技,计算机设备,7.772684
217,508,2025-01-27,1366,播恩集团,农牧饲渔,7.769248
218,2820,2025-01-27,300211,亿通科技,通信服务,7.749647
219,741,2025-01-27,301076,新瀚新材,化学原料,7.7439694
