,Datetime,code,name,expext
0,2025-01-27,603398,沐邦高科,0.2127111
1,2025-01-27,300344,立方数科,0.20853058
2,2025-01-27,603777,来伊份,0.19352654
3,2025-01-27,668,荣丰控股,0.18635663
4,2025-01-23,300344,立方数科,0.18302402
5,2025-01-27,2496,辉丰股份,0.17583317
6,2025-01-27,856,冀东装备,0.1747585
7,2025-01-24,688143,长盈通,0.17457265
8,2025-01-23,856,冀东装备,0.17089745
9,2025-01-27,600892,大晟文化,0.1697546
10,2025-01-27,300857,协创数据,0.1627073
11,2025-01-23,603838,四通股份,0.15731394
12,2025-01-27,603261,立航科技,0.15707502
13,2025-01-24,605033,美邦股份,0.15493035
14,2025-01-24,301248,杰创智能,0.15150467
15,2025-01-23,301310,鑫宏业,0.1507445
16,2025-01-24,301397,溯联股份,0.15004894
17,2025-01-27,1270,铖昌科技,0.14954725
18,2025-01-24,300688,创业黑马,0.1488902
19,2025-01-27,600128,苏豪弘业,0.14883482
20,2025-01-27,300634,彩讯股份,0.14873028
21,2025-01-24,688229,博睿数据,0.14801067
22,2025-01-27,300249,依米康,0.1476737
23,2025-01-27,600539,狮头股份,0.14766979
24,2025-01-27,2691,冀凯股份,0.14744803
25,2025-01-24,668,荣丰控股,0.1467121
26,2025-01-27,2253,川大智胜,0.14563453
27,2025-01-24,2122,汇洲智能,0.14555213
28,2025-01-24,688590,新致软件,0.14513463
29,2025-01-23,605162,新中港,0.1446085
30,2025-01-27,16,深康佳Ａ,0.14423907
31,2025-01-24,2529,海源复材,0.1438061
32,2025-01-23,2857,三晖电气,0.14210823
33,2025-01-24,688228,开普云,0.14197198
34,2025-01-27,300902,国安达,0.14046732
35,2025-01-27,605033,美邦股份,0.14019611
36,2025-01-27,2418,康盛股份,0.14007252
37,2025-01-27,301512,智信精密,0.13996002
38,2025-01-23,2358,森源电气,0.13948056
39,2025-01-23,603398,沐邦高科,0.13943636
40,2025-01-24,300391,长药控股,0.13914105
41,2025-01-24,600243,青海华鼎,0.13913697
42,2025-01-24,301396,宏景科技,0.1387868
43,2025-01-24,600539,狮头股份,0.13861707
44,2025-01-24,688031,星环科技-U,0.13859159
45,2025-01-27,300159,新研股份,0.13827321
46,2025-01-24,688522,纳睿雷达,0.1376341
47,2025-01-27,691,亚太实业,0.1374008
48,2025-01-23,736,中交地产,0.13627833
49,2025-01-13,300307,慈星股份,0.13627648
50,2025-01-24,603398,沐邦高科,0.1362747
51,2025-01-24,300250,初灵信息,0.13623443
52,2025-01-24,3033,征和工业,0.13593039
53,2025-01-27,301248,杰创智能,0.13592696
54,2025-01-24,300654,世纪天鸿,0.1356948
55,2025-01-27,600076,康欣新材,0.13513699
56,2025-01-24,1270,铖昌科技,0.13512799
57,2025-01-14,300307,慈星股份,0.1347737
58,2025-01-24,300378,鼎捷数智,0.13447526
59,2025-01-24,600130,波导股份,0.13361174
60,2025-01-27,688620,安凯微,0.13347775
61,2025-01-27,759,中百集团,0.13347137
62,2025-01-27,600130,波导股份,0.13244969
63,2025-01-24,600238,海南椰岛,0.13172826
64,2025-01-24,736,中交地产,0.1315831
65,2025-01-24,300496,中科创达,0.12991822
66,2025-01-23,688143,长盈通,0.12986332
67,2025-01-27,301356,天振股份,0.12975827
68,2025-01-24,688290,景业智能,0.12947223
69,2025-01-24,603286,日盈电子,0.12885696
70,2025-01-27,2816,和科达,0.12862426
71,2025-01-23,668,荣丰控股,0.12840056
72,2025-01-23,1208,华菱线缆,0.12784448
73,2025-01-27,600228,返利科技,0.12770098
74,2025-01-27,688229,博睿数据,0.1276266
75,2025-01-23,300987,川网传媒,0.12761027
76,2025-01-27,300654,世纪天鸿,0.12754998
77,2025-01-23,301600,慧翰股份,0.12717229
78,2025-01-24,300608,思特奇,0.12717089
79,2025-01-23,600130,波导股份,0.12716237
80,2025-01-27,2848,高斯贝尔,0.1270864
81,2025-01-27,300996,普联软件,0.12707496
82,2025-01-23,301413,安培龙,0.12697253
83,2025-01-24,688326,经纬恒润-W,0.12690839
84,2025-01-23,603042,华脉科技,0.12671793
85,2025-01-23,605018,长华集团,0.12659204
86,2025-01-27,890,法尔胜,0.12629941
87,2025-01-27,2529,海源复材,0.12625659
88,2025-01-27,603928,兴业股份,0.1258227
89,2025-01-27,300333,兆日科技,0.12576166
90,2025-01-23,2917,金奥博,0.12572598
91,2025-01-27,600243,青海华鼎,0.12541947
92,2025-01-24,2306,中科云网,0.12527981
93,2025-01-27,4,国华网安,0.12525272
94,2025-01-27,736,中交地产,0.12521386
95,2025-01-24,300634,彩讯股份,0.12486872
96,2025-01-23,301315,威士顿,0.12443504
97,2025-01-24,603211,晋拓股份,0.12421429
98,2025-01-23,300399,天利科技,0.12413183
99,2025-01-27,300055,万邦达,0.12403548
100,2025-01-24,688333,铂力特,0.12348321
101,2025-01-24,603687,大胜达,0.1227864
102,2025-01-24,600228,返利科技,0.1221405
