,index,Datetime,code,name,bankuai,expext
0,3124,2025-01-27,600753,庚星股份,贸易行业,0.07346384
1,4617,2025-01-27,600130,波导股份,消费电子,-0.34115016
2,4376,2025-01-27,595,宝塔实业,通用设备,-0.60106444
3,3848,2025-01-27,603789,星光农机,专用设备,-0.69353896
4,1192,2025-01-27,820,神雾节能,环保行业,-0.70301425
5,2703,2025-01-27,2848,高斯贝尔,家电行业,-0.7062856
6,2423,2025-01-27,2306,中科云网,旅游酒店,-0.85309035
7,2362,2025-01-27,639,西王食品,食品饮料,-0.8726511
8,107,2025-01-27,2496,辉丰股份,农药兽药,-0.8789636
9,2563,2025-01-27,600696,岩石股份,酿酒行业,-0.9279329
10,1588,2025-01-27,2789,建艺集团,装修装饰,-0.9431087
11,1193,2025-01-27,301288,清研环境,环保行业,-0.97926784
12,1491,2025-01-27,603813,原尚股份,物流行业,-1.052879
13,4708,2025-01-27,2199,东晶电子,电子元件,-1.103285
14,2559,2025-01-27,600238,海南椰岛,酿酒行业,-1.1051472
15,2879,2025-01-27,300159,新研股份,航天航空,-1.1373076
16,3801,2025-01-27,300902,国安达,专用设备,-1.1476715
17,4258,2025-01-27,600243,青海华鼎,通用设备,-1.2332761
18,1604,2025-01-27,600193,创兴资源,装修装饰,-1.3115778
19,2503,2025-01-27,600246,万通发展,房地产开发,-1.3526946
20,2501,2025-01-27,2305,南国置业,房地产开发,-1.3691244
21,2995,2025-01-27,4,国华网安,软件开发,-1.3899416
22,990,2025-01-27,300110,华仁药业,化学制药,-1.3917103
23,4458,2025-01-27,1270,铖昌科技,半导体,-1.401142
24,3239,2025-01-27,2058,威尔泰,电网设备,-1.4218316
25,2937,2025-01-27,2253,川大智胜,软件开发,-1.4918424
26,3348,2025-01-27,3032,传智教育,教育,-1.5178945
27,1191,2025-01-27,605081,太和水,环保行业,-1.5260293
28,1331,2025-01-27,600315,上海家化,美容护理,-1.5302732
29,3488,2025-01-27,903,云内动力,汽车零部件,-1.5428563
30,4958,2025-01-27,301502,华阳智能,电机,-1.5682356
31,575,2025-01-27,600811,东方集团,农牧饲渔,-1.6120539
32,1120,2025-01-27,603177,德创环保,环保行业,-1.6212258
33,4941,2025-01-27,2519,银河电子,通信设备,-1.6222358
34,4778,2025-01-27,688053,思科瑞,电子元件,-1.624532
35,2502,2025-01-27,736,中交地产,房地产开发,-1.6365621
36,4872,2025-01-27,600355,精伦电子,通信设备,-1.6569446
37,4229,2025-01-27,600421,华嵘控股,通用设备,-1.7126368
38,1266,2025-01-27,300391,长药控股,中药,-1.7195195
39,1668,2025-01-27,2693,双成药业,生物制品,-1.7388921
40,1752,2025-01-27,600655,豫园股份,珠宝首饰,-1.7523494
41,3820,2025-01-27,301030,仕净科技,专用设备,-1.7615209
42,3328,2025-01-27,300569,天能重工,风电设备,-1.817804
43,2133,2025-01-27,600228,返利科技,互联网服务,-1.8195338
44,3625,2025-01-27,2529,海源复材,专用设备,-1.8542181
45,2358,2025-01-27,300741,华宝股份,食品饮料,-1.8549852
46,2475,2025-01-27,600724,宁波富达,房地产开发,-1.8574883
47,3341,2025-01-27,600636,国新文化,教育,-1.8873066
48,1261,2025-01-27,600129,太极集团,中药,-1.9080635
49,1897,2025-01-27,300437,清水源,化学制品,-1.9146972
50,4325,2025-01-27,300091,金通灵,通用设备,-1.9171495
51,4745,2025-01-27,688511,天微电子,电子元件,-1.9190729
52,4695,2025-01-27,2055,得润电子,消费电子,-1.9344677
53,1829,2025-01-27,691,亚太实业,化学制品,-1.9388784
54,4790,2025-01-27,600884,杉杉股份,电子元件,-1.9480699
55,611,2025-01-27,488,晨鸣纸业,造纸印刷,-1.9519795
56,3844,2025-01-27,603690,至纯科技,专用设备,-1.9632319
57,2669,2025-01-27,603868,飞科电器,家电行业,-1.9743158
58,3584,2025-01-27,981,山子高科,汽车零部件,-1.9751983
59,97,2025-01-27,600725,云维股份,煤炭行业,-1.9786432
60,1605,2025-01-27,2713,东易日盛,装修装饰,-1.9840406
61,363,2025-01-27,603389,亚振家居,装修建材,-1.9890255
62,4724,2025-01-27,301566,达利凯普,电子元件,-1.9953675
63,4828,2025-01-27,600202,哈空调,电源设备,-1.9956479
64,729,2025-01-27,600423,柳化股份,化学原料,-2.0117574
65,999,2025-01-27,2762,金发拉比,纺织服装,-2.020973
66,1257,2025-01-27,2603,以岭药业,中药,-2.0239859
67,2500,2025-01-27,517,荣安地产,房地产开发,-2.0241659
68,1629,2025-01-27,688253,英诺特,生物制品,-2.0323176
69,3159,2025-01-27,600280,中央商场,商业百货,-2.0393503
70,131,2025-01-27,2004,华邦健康,农药兽药,-2.0505369
71,4145,2025-01-27,300827,上能电气,光伏设备,-2.0574172
72,3249,2025-01-27,300477,合纵科技,电网设备,-2.0615466
73,670,2025-01-27,830,鲁西化工,化学原料,-2.0650144
74,4645,2025-01-27,300256,星星科技,消费电子,-2.0841508
75,754,2025-01-27,2932,明德生物,医疗器械,-2.0907662
76,4718,2025-01-27,2724,海洋王,电子元件,-2.0936017
77,4310,2025-01-27,300420,五洋自控,通用设备,-2.0958185
78,2155,2025-01-27,2373,千方科技,互联网服务,-2.099683
79,4733,2025-01-27,2414,高德红外,电子元件,-2.1070108
80,853,2025-01-27,2030,达安基因,医疗器械,-2.1100717
81,967,2025-01-27,300583,赛托生物,化学制药,-2.1122773
82,2896,2025-01-27,688066,航天宏图,航天航空,-2.1131117
83,4238,2025-01-27,816,智慧农业,通用设备,-2.1187158
84,4584,2025-01-27,688362,甬矽电子,半导体,-2.1191072
85,952,2025-01-27,300705,九典制药,化学制药,-2.1209142
86,849,2025-01-27,300003,乐普医疗,医疗器械,-2.1298826
87,1263,2025-01-27,2317,众生药业,中药,-2.1322052
88,135,2025-01-27,600596,新安股份,农药兽药,-2.1360776
89,3725,2025-01-27,688420,美腾科技,专用设备,-2.1368976
90,2326,2025-01-27,300829,金丹科技,食品饮料,-2.1393628
91,901,2025-01-27,688658,悦康药业,化学制药,-2.1426597
92,1059,2025-01-27,3016,欣贺股份,纺织服装,-2.1474833
93,3433,2025-01-27,603107,上海汽配,汽车零部件,-2.1482067
94,2664,2025-01-27,600261,阳光照明,家电行业,-2.1504858
95,910,2025-01-27,300723,一品红,化学制药,-2.1573703
96,569,2025-01-27,2086,东方海洋,农牧饲渔,-2.1598704
97,3832,2025-01-27,688559,海目星,专用设备,-2.160379
98,4833,2025-01-27,301327,华宝新能,电源设备,-2.16283
99,2405,2025-01-27,600593,大连圣亚,旅游酒店,-2.1650581
100,2286,2025-01-27,600305,恒顺醋业,食品饮料,-2.1654599
101,3685,2025-01-27,688151,华强科技,专用设备,-2.1665025
102,1644,2025-01-27,688062,迈威生物-U,生物制品,-2.17417
103,2510,2025-01-27,600817,宇通重工,工程机械,-2.174618
104,4363,2025-01-27,2122,汇洲智能,通用设备,-2.1771722
105,3305,2025-01-27,600468,百利电气,电网设备,-2.1779954
106,600,2025-01-27,600567,山鹰国际,造纸印刷,-2.183742
107,4827,2025-01-27,600475,华光环能,电源设备,-2.186941
108,2310,2025-01-27,603288,海天味业,食品饮料,-2.1875625
109,2430,2025-01-27,600185,格力地产,房地产开发,-2.189536
110,1872,2025-01-27,301216,万凯新材,化学制品,-2.1901774
111,686,2025-01-27,822,山东海化,化学原料,-2.1915934
112,940,2025-01-27,300006,莱美药业,化学制药,-2.1929717
113,3637,2025-01-27,1239,永达股份,专用设备,-2.2009742
114,4137,2025-01-27,688223,晶科能源,光伏设备,-2.204968
115,1490,2025-01-27,603066,音飞储存,物流行业,-2.207056
116,213,2025-01-27,2039,黔源电力,电力行业,-2.208939
117,799,2025-01-27,2382,蓝帆医疗,医疗器械,-2.2095013
118,2577,2025-01-27,600166,福田汽车,汽车整车,-2.2114987
119,1155,2025-01-27,300190,维尔利,环保行业,-2.2135391
120,2283,2025-01-27,600597,光明乳业,食品饮料,-2.2137215
121,3349,2025-01-27,2512,达华智能,计算机设备,-2.2137752
122,2497,2025-01-27,600665,天地源,房地产开发,-2.2149866
123,1891,2025-01-27,600500,中化国际,化学制品,-2.2166624
124,3140,2025-01-27,600828,茂业商业,商业百货,-2.2204275
125,426,2025-01-27,3037,三和管桩,水泥建材,-2.2204413
126,160,2025-01-27,717,中南股份,钢铁行业,-2.2273154
127,560,2025-01-27,2567,唐人神,农牧饲渔,-2.2275965
128,4952,2025-01-27,603489,八方股份,电机,-2.229274
129,2088,2025-01-27,301062,上海艾录,包装材料,-2.2310798
130,4207,2025-01-27,603187,海容冷链,通用设备,-2.231786
131,93,2025-01-27,601699,潞安环能,煤炭行业,-2.232131
132,58,2025-01-27,600681,百川能源,燃气,-2.232355
133,1998,2025-01-27,600888,新疆众和,有色金属,-2.2326634
134,1850,2025-01-27,1333,光华股份,化学制品,-2.2327487
135,3208,2025-01-27,2121,科陆电子,电网设备,-2.2333484
136,1249,2025-01-27,2737,葵花药业,中药,-2.2334292
137,2526,2025-01-27,600984,建设机械,工程机械,-2.2337036
138,3161,2025-01-27,2697,红旗连锁,商业百货,-2.2344651
139,2743,2025-01-27,16,深康佳Ａ,家电行业,-2.2345786
140,3149,2025-01-27,2419,天虹股份,商业百货,-2.234945
141,2327,2025-01-27,300146,汤臣倍健,食品饮料,-2.2356431
142,4015,2025-01-27,301487,盟固利,电池,-2.2360406
143,3310,2025-01-27,688349,三一重能,风电设备,-2.2363532
144,2515,2025-01-27,688425,铁建重工,工程机械,-2.2394512
145,679,2025-01-27,600409,三友化工,化学原料,-2.2416468
146,520,2025-01-27,600251,冠农股份,农牧饲渔,-2.2423806
147,3319,2025-01-27,601615,明阳智能,风电设备,-2.2452273
148,2322,2025-01-27,2329,皇氏集团,食品饮料,-2.2458146
149,98,2025-01-27,983,山西焦煤,煤炭行业,-2.2488966
150,2873,2025-01-27,600118,中国卫星,航天航空,-2.2498522
151,369,2025-01-27,2918,蒙娜丽莎,装修建材,-2.2498593
152,2368,2025-01-27,589,贵州轮胎,橡胶制品,-2.2499442
153,4149,2025-01-27,688033,天宜上佳,光伏设备,-2.2528594
154,27,2025-01-27,600926,杭州银行,银行,-2.253153
155,3160,2025-01-27,701,厦门信达,商业百货,-2.253321
156,4231,2025-01-27,2342,巨力索具,通用设备,-2.2534661
157,1473,2025-01-27,603128,华贸物流,物流行业,-2.254001
158,894,2025-01-27,688566,吉贝尔,化学制药,-2.2550886
159,1068,2025-01-27,603511,爱慕股份,纺织服装,-2.2554073
160,4871,2025-01-27,2829,星网宇达,通信设备,-2.2569354
161,485,2025-01-27,601158,重庆水务,公用事业,-2.2601864
162,3316,2025-01-27,600072,中船科技,风电设备,-2.2604759
163,2686,2025-01-27,1387,雪祺电气,家电行业,-2.2666454
164,4093,2025-01-27,600549,厦门钨业,小金属,-2.2671452
165,4195,2025-01-27,39,中集集团,通用设备,-2.2696636
166,4191,2025-01-27,688556,高测股份,光伏设备,-2.2696888
167,2314,2025-01-27,2507,涪陵榨菜,食品饮料,-2.2747166
168,4059,2025-01-27,300370,安控科技,仪器仪表,-2.2750998
169,4715,2025-01-27,603678,火炬电子,电子元件,-2.2754972
170,3252,2025-01-27,300040,九洲集团,电网设备,-2.2761555
171,709,2025-01-27,601568,北元集团,化学原料,-2.277447
172,3127,2025-01-27,603101,汇嘉时代,商业百货,-2.2788374
173,1320,2025-01-27,300896,爱美客,美容护理,-2.2806923
174,620,2025-01-27,159,国际实业,石油行业,-2.2816873
175,187,2025-01-27,2075,沙钢股份,钢铁行业,-2.2826207
176,2261,2025-01-27,2732,燕塘乳业,食品饮料,-2.284848
177,3669,2025-01-27,688623,双元科技,专用设备,-2.2852826
178,1896,2025-01-27,2827,高争民爆,化学制品,-2.2854137
179,3691,2025-01-27,2430,杭氧股份,专用设备,-2.2866309
180,3099,2025-01-27,2091,江苏国泰,贸易行业,-2.2871327
181,4957,2025-01-27,2176,江特电机,电机,-2.2884297
182,3614,2025-01-27,300537,广信材料,电子化学品,-2.2885406
183,2888,2025-01-27,600038,中直股份,航天航空,-2.2887545
184,2841,2025-01-27,300025,华星创业,通信服务,-2.2909741
185,2609,2025-01-27,2108,沧州明珠,塑料制品,-2.2921472
186,489,2025-01-27,600168,武汉控股,公用事业,-2.2925262
187,555,2025-01-27,2100,天康生物,农牧饲渔,-2.2925806
188,3142,2025-01-27,501,武商集团,商业百货,-2.2934034
189,1991,2025-01-27,601388,怡球资源,有色金属,-2.2944515
190,553,2025-01-27,600965,福成股份,农牧饲渔,-2.2960577
191,618,2025-01-27,600028,中国石化,石油行业,-2.297076
192,3199,2025-01-27,601700,风范股份,电网设备,-2.2977161
193,704,2025-01-27,603276,恒兴新材,化学原料,-2.298104
194,2312,2025-01-27,2726,龙大美食,食品饮料,-2.2983265
195,2612,2025-01-27,605008,长鸿高科,塑料制品,-2.298686
196,3141,2025-01-27,600859,王府井,商业百货,-2.2991228
197,3132,2025-01-27,2818,富森美,商业百货,-2.2991903
198,2572,2025-01-27,800,一汽解放,汽车整车,-2.299617
199,4235,2025-01-27,301559,中集环科,通用设备,-2.2999384
200,4515,2025-01-27,2077,大港股份,半导体,-2.3011994
201,1735,2025-01-27,600624,复旦复华,综合行业,-2.3038046
202,4434,2025-01-27,600516,方大炭素,非金属材料,-2.303828
203,1655,2025-01-27,300601,康泰生物,生物制品,-2.3050911
204,776,2025-01-27,300396,迪瑞医疗,医疗器械,-2.3062558
205,490,2025-01-27,605011,杭州热电,公用事业,-2.3068807
206,2009,2025-01-27,603876,鼎胜新材,有色金属,-2.3091867
207,3215,2025-01-27,600089,特变电工,电网设备,-2.3093204
208,3326,2025-01-27,2202,金风科技,风电设备,-2.311017
209,2866,2025-01-27,738,航发控制,航天航空,-2.3117983
210,1159,2025-01-27,2210,飞马国际,环保行业,-2.3121412
211,3134,2025-01-27,600697,欧亚集团,商业百货,-2.3130999
212,1734,2025-01-27,9,中国宝安,综合行业,-2.3140101
213,275,2025-01-27,78,海王生物,医药商业,-2.3140352
214,826,2025-01-27,300529,健帆生物,医疗器械,-2.3143382
215,2581,2025-01-27,980,众泰汽车,汽车整车,-2.321085
216,2783,2025-01-27,300851,交大思诺,交运设备,-2.3224502
217,4252,2025-01-27,2158,汉钟精机,通用设备,-2.3228798
218,2304,2025-01-27,3000,劲仔食品,食品饮料,-2.3231819
219,1007,2025-01-27,603839,安正时尚,纺织服装,-2.3240397
220,1238,2025-01-27,2907,华森制药,中药,-2.3244011
221,154,2025-01-27,601003,柳钢股份,钢铁行业,-2.3252
222,2695,2025-01-27,2242,九阳股份,家电行业,-2.3261232
223,802,2025-01-27,603658,安图生物,医疗器械,-2.3263502
224,2262,2025-01-27,603057,紫燕食品,食品饮料,-2.327344
225,565,2025-01-27,605296,神农集团,农牧饲渔,-2.3284805
226,1135,2025-01-27,688057,金达莱,环保行业,-2.3285053
227,1235,2025-01-27,2275,桂林三金,中药,-2.3292172
228,2555,2025-01-27,603589,口子窖,酿酒行业,-2.329553
229,4014,2025-01-27,688779,五矿新能,电池,-2.329606
230,3719,2025-01-27,601606,长城军工,专用设备,-2.3304322
231,521,2025-01-27,876,新 希 望,农牧饲渔,-2.3313913
232,2533,2025-01-27,929,兰州黄河,酿酒行业,-2.332831
233,4215,2025-01-27,301151,冠龙节能,通用设备,-2.3335621
234,2026,2025-01-27,600497,驰宏锌锗,有色金属,-2.3341494
235,4099,2025-01-27,603399,永杉锂业,小金属,-2.3347528
236,4832,2025-01-27,300105,龙源技术,电源设备,-2.334832
237,830,2025-01-27,2022,科华生物,医疗器械,-2.3354597
238,4495,2025-01-27,670,盈方微,半导体,-2.3363204
239,2809,2025-01-27,8,神州高铁,交运设备,-2.3368711
240,4538,2025-01-27,300782,卓胜微,半导体,-2.3371475
241,3640,2025-01-27,600582,天地科技,专用设备,-2.338502
242,537,2025-01-27,600127,金健米业,农牧饲渔,-2.339356
243,845,2025-01-27,688656,浩欧博,医疗器械,-2.3397155
244,2366,2025-01-27,601163,三角轮胎,橡胶制品,-2.3399334
245,2482,2025-01-27,2146,荣盛发展,房地产开发,-2.3422885
246,2018,2025-01-27,601212,白银有色,有色金属,-2.3433118
247,2318,2025-01-27,300999,金龙鱼,食品饮料,-2.344537
248,3136,2025-01-27,601116,三江购物,商业百货,-2.3446627
249,3967,2025-01-27,300014,亿纬锂能,电池,-2.3453002
250,3891,2025-01-27,2189,中光学,光学光电子,-2.3453918
251,2076,2025-01-27,659,珠海中富,包装材料,-2.345929
252,3457,2025-01-27,605005,合兴股份,汽车零部件,-2.3462505
253,4748,2025-01-27,603375,盛景微,电子元件,-2.349085
254,3441,2025-01-27,603335,迪生力,汽车零部件,-2.3495703
255,1230,2025-01-27,600332,白云山,中药,-2.3497272
256,4476,2025-01-27,2049,紫光国微,半导体,-2.3497415
257,1860,2025-01-27,603977,国泰集团,化学制品,-2.3501966
258,439,2025-01-27,600881,亚泰集团,水泥建材,-2.3505847
259,652,2025-01-27,603899,晨光股份,家用轻工,-2.352267
260,3794,2025-01-27,2786,银宝山新,专用设备,-2.3526971
261,2255,2025-01-27,600300,维维股份,食品饮料,-2.3527048
262,4359,2025-01-27,2426,胜利精密,通用设备,-2.353172
263,4089,2025-01-27,601958,金钼股份,小金属,-2.3537123
264,4831,2025-01-27,301386,未来电器,电源设备,-2.3577466
265,544,2025-01-27,998,隆平高科,农牧饲渔,-2.3582892
266,3542,2025-01-27,2547,春兴精工,汽车零部件,-2.3588293
267,1206,2025-01-27,600329,达仁堂,中药,-2.3594382
268,3172,2025-01-27,600778,友好集团,商业百货,-2.3597765
269,122,2025-01-27,600195,中牧股份,农药兽药,-2.3602855
270,4086,2025-01-27,600459,贵研铂业,小金属,-2.3605418
271,1079,2025-01-27,601718,际华集团,纺织服装,-2.3606153
272,244,2025-01-27,600795,国电电力,电力行业,-2.3619208
273,210,2025-01-27,600452,涪陵电力,电力行业,-2.363119
274,4888,2025-01-27,600198,大唐电信,通信设备,-2.3637166
275,1152,2025-01-27,601033,永兴股份,环保行业,-2.3644705
276,3493,2025-01-27,600676,交运股份,汽车零部件,-2.3652315
277,2872,2025-01-27,300900,广联航空,航天航空,-2.365372
278,2694,2025-01-27,521,长虹美菱,家电行业,-2.3657076
279,3405,2025-01-27,600741,华域汽车,汽车零部件,-2.366474
280,1531,2025-01-27,601789,宁波建工,工程建设,-2.3668225
281,2859,2025-01-27,600893,航发动力,航天航空,-2.3669112
282,422,2025-01-27,789,万年青,水泥建材,-2.3670459
283,62,2025-01-27,600617,国新能源,燃气,-2.367275
284,2753,2025-01-27,300572,安车检测,专业服务,-2.3681324
285,1053,2025-01-27,2875,安奈儿,纺织服装,-2.368268
286,3409,2025-01-27,2048,宁波华翔,汽车零部件,-2.3695617
287,2395,2025-01-27,428,华天酒店,旅游酒店,-2.3704455
288,2557,2025-01-27,600199,金种子酒,酿酒行业,-2.371353
289,82,2025-01-27,600395,盘江股份,煤炭行业,-2.371697
290,4840,2025-01-27,2227,奥 特 迅,电源设备,-2.371759
291,701,2025-01-27,600955,维远股份,化学原料,-2.371924
292,1255,2025-01-27,2728,特一药业,中药,-2.3726907
293,261,2025-01-27,600310,广西能源,电力行业,-2.3727152
294,1568,2025-01-27,2542,中化岩土,工程建设,-2.3728776
295,2002,2025-01-27,600362,江西铜业,有色金属,-2.373437
296,1684,2025-01-27,601808,中海油服,采掘行业,-2.373752
